Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
trichostatin A CTD 00000660	2.8434170179990865e-11	10.546159441634062	1.1668702644043712e-09	8.932977427232586	1.6131820144014757	2.8434170179990865e-11
Allococaine CTD 00005697	0.0084150862594091	2.074941427900471	0.2722845581987212	0.5649769876693852	1.509964440231086	0.0084150862594091
chlorzoxazone HL60 UP	0.0338468120836197	1.4704822297762108	0.8348995754033506	0.07836575981110329	1.3921164699651074	0.0338468120836197
Fonofos CTD 00005884	0.0667813803662014	1.1753446083539965	0.5267862776030053	0.27836554661631624	0.8969790617376803	0.0667813803662014
TERBUFOS CTD 00000658	0.0687608808212586	1.162658568672565	0.4728591665197789	0.32526818761453563	0.8373903810580294	0.0687608808212586
trichostatin A MCF7 UP	0.1439064277951947	0.8419198072194863	0.88219992107564	0.054432985410950326	0.787486821808536	0.1439064277951947
Chloranil TTD 00007128	0.1429001969103028	0.8449671727695685	0.6410717642113902	0.19309335104831232	0.6518738217212561	0.1429001969103028
chlortetracycline HL60 UP	0.2368976763202625	0.6254391991600421	0.8178786902615556	0.08731110715622521	0.5381280920038168	0.2368976763202625
SARIN CTD 00006722	0.1519002362022913	0.8184415508161342	0.4641067845031286	0.3333820828398911	0.4850594679762431	0.1519002362022913
parathion CTD 00006472	0.1116222614421056	0.9522491830209472	0.3350792179030096	0.4748525069004144	0.47739667612053277	0.1116222614421056
Chlorpyrifos oxon CTD 00000500	0.3608509656252615	0.4426721282069684	0.9522078526582652	0.02126824131131857	0.42140388689564984	0.3608509656252615
retinol CTD 00006991	0.0011949046079444	2.922666764085699	0.0030595683058479	2.5143398465949076	0.40832691749079153	0.0011949046079444
POTASSIUM CTD 00006595	0.3258840117359008	0.4869369460251957	0.8035557793420535	0.09498397102303448	0.39195297500216125	0.3258840117359008
retinal CTD 00006694	0.4073284058606245	0.39005530246407005		0.0	0.39005530246407005	0.4073284058606245
cytarabine CTD 00005743	3.068172864462767e-09	8.513120175372542	6.789315245333145e-09	8.16817402544992	0.34494614992262207	3.068172864462767e-09
fluticasone HL60 UP	0.3142955156232243	0.5026618154634324	0.6327909377219025	0.19873974905139263	0.3039220664120397	0.3142955156232243
cimetidine PC3 UP	0.5220874990044779	0.28225670552203874	0.9896749768550608	0.0045074103868606805	0.27774929513517804	0.5220874990044779
alexidine HL60 UP	0.4202472431384396	0.37649512689191844	0.7782338962899485	0.10888985724971643	0.267605269642202	0.4202472431384396
danazol HL60 UP	0.5587404911699048	0.25278985476395205	0.9942278288039036	0.002514084964040975	0.25027576979991106	0.5587404911699048
rifabutin PC3 UP	0.1116222614421056	0.9522491830209472	0.1957203876426158	0.7083639327502239	0.24388525027072328	0.1116222614421056
Gallic acid TTD 00008156	0.4627677134860621	0.3346369486484907	0.8035557793420535	0.09498397102303448	0.23965297762545623	0.4627677134860621
Amentoflavone CTD 00000591	0.4767291461882421	0.3217282954365579	0.8123902867101396	0.09023527784897148	0.23149301758758642	0.4767291461882421
fluorometholone HL60 UP	0.4767291461882421	0.3217282954365579	0.8123902867101396	0.09023527784897148	0.23149301758758642	0.4767291461882421
Decabromodiphenyl oxide CTD 00000574	0.4767291461882421	0.3217282954365579	0.7998055579533525	0.09701558222289627	0.22471271321366162	0.4767291461882421
ZEARALENONE CTD 00007008	0.1769609392412112	0.7521225852997138	0.2959435292488259	0.5287911513577834	0.22333143394193034	0.1769609392412112
penicillin g CTD 00006476	0.4202472431384396	0.37649512689191844	0.6912905902158106	0.16033935465403787	0.21615577223788057	0.4202472431384396
scriptaid MCF7 UP	0.5781815785026859	0.2379357495420136	0.9429861858893288	0.02549466933688181	0.2124410802051318	0.5781815785026859
ajmaline HL60 UP	0.3608509656252615	0.4426721282069684	0.5432763858876927	0.26497917164868257	0.17769295655828582	0.3608509656252615
dantrolene CTD 00005750	0.4767291461882421	0.3217282954365579	0.7049381441698188	0.15184898914233425	0.16987930629422365	0.4767291461882421
diltiazem PC3 UP	0.7198724161044134	0.14274446730712703		0.0	0.14274446730712703	0.7198724161044134
Enkephalin BOSS	0.6032792711876136	0.21948159688398755	0.8337934135665185	0.07894153984418327	0.14054005703980427	0.6032792711876136
clindamycin HL60 UP	0.7178655161040384	0.14395690824292437	0.9909262249469764	0.003958677796362395	0.13999823044656198	0.7178655161040384
Carbidopa hydrate TTD 00002683	0.7491062273085943	0.12545659263060718		0.0	0.12545659263060718	0.7491062273085943
PANCURONIUM BROMIDE CTD 00006467	0.7491062273085943	0.12545659263060718		0.0	0.12545659263060718	0.7491062273085943
dnqx TTD 00007689	0.7491062273085943	0.12545659263060718		0.0	0.12545659263060718	0.7491062273085943
HC toxin MCF7 UP	0.3608509656252615	0.4426721282069684	0.4698009676717479	0.3280860930201678	0.1145860351868006	0.3608509656252615
Plumbagin TTD 00010275	0.3608509656252615	0.4426721282069684	0.4698009676717479	0.3280860930201678	0.1145860351868006	0.3608509656252615
fenoterol PC3 UP	0.6255837058775402	0.20371457155247388	0.8139849545341032	0.08938362241203225	0.11433094914044163	0.6255837058775402
AM 404 TTD 00001939	0.8470535740287914	0.07208912075633554		0.0	0.07208912075633554	0.8470535740287914
Norclozapine TTD 00009718	0.8470535740287914	0.07208912075633554		0.0	0.07208912075633554	0.8470535740287914
ammonia CTD 00005384	0.8470535740287914	0.07208912075633554		0.0	0.07208912075633554	0.8470535740287914
20255-95-2 BOSS	0.8706355116443664	0.060163622732653105	0.9596853422494396	0.017871138340753923	0.042292484391899185	0.8706355116443664
L-carnitine BOSS	0.659773600710281	0.18060506571583693	0.7199983228317441	0.1426685152156303	0.03793655050020664	0.659773600710281
oxybenzone CTD 00000215	0.9332985627861472	0.029979402953940148		0.0	0.029979402953940148	0.9332985627861472
8-Anilino-1-naphthalenesulfonic acid CTD 00001273	0.9954478035358462	0.0019815073398998843		0.0	0.0019815073398998843	0.9954478035358462
menadione PC3 UP	0.6255837058775402	0.20371457155247388	0.6259505751907186	0.20345995715594187	0.0002546143965320158	0.6255837058775402
(+)-isoprenaline PC3 UP	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
0316684-0000 MCF7 DOWN	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
1,3-Diphenylguanidine CTD 00001305	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
1,4-Dimethoxyanthracene TTD 00000189	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
1-(3-Chlorophenyl)piperazine CTD 00000782	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
1-Methyl-4-phenyl-2,3-dihydropyridinium CTD 00002003	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
16,16-dimethylprostaglandin E2 PC3 UP	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2'-Hydroxychalcone CTD 00000681	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2,3,4,7,8-PENTACHLORODIBENZOFURAN CTD 00001811	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2,3-diformyloxypropyl formate CTD 00006941	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2,4,6-tribromophenol CTD 00000150	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2,4-dichlorophenoxyacetic acid CTD 00007028	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2-Mercapto-4-phenylthiazole TTD 00000599	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2-NAPHTHOL CTD 00001340	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
2-Propenoicacid, 3-phenyl- CTD 00001365	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
3',4'-Dimethoxyflavone CTD 00004571	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
3,4-dichloroisocoumarin BOSS	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
3,4-dichloroisocoumarin TTD 00000692	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
3383-21-9 TTD 00000841	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4'-Methoxyflavone CTD 00004320	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-Aminodiphenylamine CTD 00001515	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-Hexylresorcinol CTD 00006098	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-Hexylresorcinol TTD 00000977	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-Methylpyrazole CTD 00000534	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-aminobutyric acid CTD 00006014	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-aminophenol CTD 00001254	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
4-aminophenol TTD 00000939	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
5,7-Dichloroisatin TTD 00001087	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
5-Hydroxyindole-3-acetic acid TTD 00001139	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
6-bromo-N-(3-chlorophenyl)quinazolin-4-amine TTD 00001209	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
678-39-7 CTD 00001619	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
7-ACA CTD 00001461	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
7-AMINO-4-HYDROXY-2-NAPHTHALENESULFONIC ACID TTD 00001268	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
7-Hydroxyflavone CTD 00003940	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
84625-61-6 BOSS	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
84625-61-6 CTD 00007215	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
A-987306 TTD 00001415	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
AC-42 TTD 00001459	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
AC1NRCGS TTD 00001522	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
ACETYLCHOLINE CHLORIDE TTD 00001569	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
ANILINE CTD 00001100	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
AT-7519 Kinome Scan	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Acamprosate calcium	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Acenaphthenequinone TTD 00001558	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Acitretin TTD 00001573	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Agroclavine TTD 00001847	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Alitretinoin TTD 00001891	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Alizarin CTD 00000524	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Apomorphine hydrochloride BOSS	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Arecoline hydrobromide TTD 00002125	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
B-Octylglucoside TTD 00002290	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
BP 897 TTD 00002536	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Bergamottin CTD 00002714	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Bis-gma CTD 00007186	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CALCIUM CARBONATE BOSS	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CARBARYL CTD 00006737	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CHEMBL1182312 CTD 00004324	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CHEMBL193888 TTD 00003699	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CID755673 CTD 00004896	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CP-55940 TTD 00007306	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CP-690334-01 MCF7 UP	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CUMENE HYDROPEROXIDE CTD 00000338	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CYHALOTHRIN CTD 00001754	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
CYPROHEPTADINE	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Caffeic acid phenethyl ester TTD 00002641	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Carnosic acid CTD 00000939	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Chlorpyrifos oxon TTD 00007150	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Chrysoeriol CTD 00000330	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Cianidanol TTD 00007173	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Cl-Apb CTD 00002758	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Cytomel TTD 00007391	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
DESFLURANE	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
DHEA sulfate CTD 00007274	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
DMPP CTD 00005865	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Desloratadine	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Deuterium hydride BOSS	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
Dihydroergotamine mesylate TTD 00007583	0.9999953852179154	2.0041790189463367e-06		0.0	2.0041790189463367e-06	0.9999953852179154
