Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
trichostatin A CTD 00000660	2.8434170179990865e-11	10.546159441634062	1.1668702644043712e-09	8.932977427232586	1.6131820144014757	2.8434170179990865e-11
Allococaine CTD 00005697	0.0084150862594091	2.074941427900471	0.2722845581987212	0.5649769876693852	1.509964440231086	0.0084150862594091
chlorzoxazone HL60 UP	0.0338468120836197	1.4704822297762108	0.8348995754033506	0.07836575981110329	1.3921164699651074	0.0338468120836197
Fonofos CTD 00005884	0.0667813803662014	1.1753446083539965	0.5267862776030053	0.27836554661631624	0.8969790617376803	0.0667813803662014
TERBUFOS CTD 00000658	0.0687608808212586	1.162658568672565	0.4728591665197789	0.32526818761453563	0.8373903810580294	0.0687608808212586
trichostatin A MCF7 UP	0.1439064277951947	0.8419198072194863	0.88219992107564	0.054432985410950326	0.787486821808536	0.1439064277951947
Chloranil TTD 00007128	0.1429001969103028	0.8449671727695685	0.6410717642113902	0.19309335104831232	0.6518738217212561	0.1429001969103028
chlortetracycline HL60 UP	0.2368976763202625	0.6254391991600421	0.8178786902615556	0.08731110715622521	0.5381280920038168	0.2368976763202625
SARIN CTD 00006722	0.1519002362022913	0.8184415508161342	0.4641067845031286	0.3333820828398911	0.4850594679762431	0.1519002362022913
parathion CTD 00006472	0.1116222614421056	0.9522491830209472	0.3350792179030096	0.4748525069004144	0.47739667612053277	0.1116222614421056
Chlorpyrifos oxon CTD 00000500	0.3608509656252615	0.4426721282069684	0.9522078526582652	0.02126824131131857	0.42140388689564984	0.3608509656252615
retinol CTD 00006991	0.0011949046079444	2.922666764085699	0.0030595683058479	2.5143398465949076	0.40832691749079153	0.0011949046079444
POTASSIUM CTD 00006595	0.3258840117359008	0.4869369460251957	0.8035557793420535	0.09498397102303448	0.39195297500216125	0.3258840117359008
retinal CTD 00006694	0.4073284058606245	0.39005530246407005		0.0	0.39005530246407005	0.4073284058606245
cytarabine CTD 00005743	3.068172864462767e-09	8.513120175372542	6.789315245333145e-09	8.16817402544992	0.34494614992262207	3.068172864462767e-09
fluticasone HL60 UP	0.3142955156232243	0.5026618154634324	0.6327909377219025	0.19873974905139263	0.3039220664120397	0.3142955156232243
cimetidine PC3 UP	0.5220874990044779	0.28225670552203874	0.9896749768550608	0.0045074103868606805	0.27774929513517804	0.5220874990044779
alexidine HL60 UP	0.4202472431384396	0.37649512689191844	0.7782338962899485	0.10888985724971643	0.267605269642202	0.4202472431384396
danazol HL60 UP	0.5587404911699048	0.25278985476395205	0.9942278288039036	0.002514084964040975	0.25027576979991106	0.5587404911699048
rifabutin PC3 UP	0.1116222614421056	0.9522491830209472	0.1957203876426158	0.7083639327502239	0.24388525027072328	0.1116222614421056
Gallic acid TTD 00008156	0.4627677134860621	0.3346369486484907	0.8035557793420535	0.09498397102303448	0.23965297762545623	0.4627677134860621
Amentoflavone CTD 00000591	0.4767291461882421	0.3217282954365579	0.8123902867101396	0.09023527784897148	0.23149301758758642	0.4767291461882421
fluorometholone HL60 UP	0.4767291461882421	0.3217282954365579	0.8123902867101396	0.09023527784897148	0.23149301758758642	0.4767291461882421
Decabromodiphenyl oxide CTD 00000574	0.4767291461882421	0.3217282954365579	0.7998055579533525	0.09701558222289627	0.22471271321366162	0.4767291461882421
ZEARALENONE CTD 00007008	0.1769609392412112	0.7521225852997138	0.2959435292488259	0.5287911513577834	0.22333143394193034	0.1769609392412112
