Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
ubiquinol 9962735 mouse GSE15129 sample 3451	2.313273484424339e-14	13.635773020167035	0.9999949656836392	2.1863813191167623e-06	13.635770833785715	2.313273484424339e-14
resveratrol DB02709 mouse GSE11291 sample 3505	2.0085827322031286e-10	9.697110275259512	0.9999949656836392	2.1863813191167623e-06	9.697108088878192	2.0085827322031286e-10
coenzyme Q10 5281915 mouse GSE15129 sample 3450	2.8622115743831715e-10	9.54329826638653	0.9999949656836392	2.1863813191167623e-06	9.543296080005211	2.8622115743831715e-10
candesartan DB00796 rat GSE2739 sample 2687	3.3378275061882633e-09	8.47653611075032	0.9999949656836392	2.1863813191167623e-06	8.476533924369	3.3378275061882633e-09
halothane 3562 rat GSE6433 sample 3652	3.236515006879576e-07	6.4899223749306545	0.9999949656836392	2.1863813191167623e-06	6.489920188549335	3.236515006879576e-07
cocaine 446220 human GSE54839 sample 2472	9.52214394884824e-07	6.0212652574637	0.9999949656836392	2.1863813191167623e-06	6.02126307108238	9.52214394884824e-07
corticosterone 5753 rat GSE37618 sample 3094	9.358610061676216e-07	6.028788647775613	0.7307409343831001	0.1362365638211135	5.8925520839545	9.358610061676216e-07
methamphetamine 10836 mouse GSE30305 sample 2616	9.358610061676216e-07	6.028788647775613	0.498394180929838	0.3024270369845497	5.726361610791064	9.358610061676216e-07
carboplatin DB00958 human GSE49577 sample 3175	6.624585785711291e-05	4.178841271595502	0.9999949656836392	2.1863813191167623e-06	4.178839085214182	6.624585785711291e-05
acrylamide 6579 rat GSE29004 sample 3109	6.624585785711291e-05	4.178841271595502	0.6088772456095164	0.2154702556890744	3.9633710159064277	6.624585785711291e-05
N-NITROSODIMETHYLAMINE 6124 rat GSE5509 sample 3569	0.00013640849559249909	3.865158580749586	0.9999949656836392	2.1863813191167623e-06	3.8651563943682667	0.00013640849559249909
estradiol DB00783 rat GSE5315 sample 2537	0.0001888693108093682	3.7238386044335163	0.9999949656836392	2.1863813191167623e-06	3.7238364180521972	0.0001888693108093682
methamphetamine 10836 mouse GSE30305 sample 2614	0.00011576329175719144	3.9364291324448377	0.4631823288755647	0.3342480179728178	3.60218111447202	0.00011576329175719144
d-serine 71077 rat GSE10748 sample 3389	0.00025975814399802646	3.5854308274552578	0.9999949656836392	2.1863813191167623e-06	3.5854286410739387	0.00025975814399802646
halothane 3562 rat GSE6433 sample 3651	0.00025975814399802646	3.5854308274552578	0.9999949656836392	2.1863813191167623e-06	3.5854286410739387	0.00025975814399802646
creatine 586 mouse GSE5140 sample 3205	0.00026813697266801664	3.5716432982192075	0.9999949656836392	2.1863813191167623e-06	3.5716411118378883	0.00026813697266801664
bleomycin DB00290 mouse GSE25640 sample 3121	0.00028388476700979133	3.546857910683304	0.9999949656836392	2.1863813191167623e-06	3.546855724301985	0.00028388476700979133
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	0.00028498328012306964	3.545180619160947	0.9999949656836392	2.1863813191167623e-06	3.545178432779628	0.00028498328012306964
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	0.00028498328012306964	3.545180619160947	0.9999949656836392	2.1863813191167623e-06	3.545178432779628	0.00028498328012306964
isoflurane DB00753 rat GSE1779 sample 2770	0.00028498328012306964	3.545180619160947	0.9999949656836392	2.1863813191167623e-06	3.545178432779628	0.00028498328012306964
levetiracetam 5284583 rat GSE2880 sample 2669	0.00028498328012306964	3.545180619160947	0.9999949656836392	2.1863813191167623e-06	3.545178432779628	0.00028498328012306964
morphine 5288826 mouse GSE7762 sample 3493	0.00028498328012306964	3.545180619160947	0.9999949656836392	2.1863813191167623e-06	3.545178432779628	0.00028498328012306964
morphine DB00295 human GSE7762 sample 3288	0.0002964572262687135	3.528037959080604	0.9999949656836392	2.1863813191167623e-06	3.528035772699285	0.0002964572262687135
coenzyme Q10 5281915 mouse GSE15129 sample 3460	0.00031057008135155134	3.5078403841830212	0.9999949656836392	2.1863813191167623e-06	3.507838197801702	0.00031057008135155134
CONCANAVALIN A 596316 mouse GSE17184 sample 3367	0.0003130382749039916	3.5044025584173095	0.9999949656836392	2.1863813191167623e-06	3.5044003720359904	0.0003130382749039916
