Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
morphine 5288826 mouse GSE7762 sample 3490	8.669257039820219e-13	12.062018120209162	0.9999928049133404	3.124797674681455e-06	12.062014995411488	8.669257039820219e-13
isoflurane 3763 rat GSE6433 sample 3653	5.099591648511268e-11	10.292464598784125	0.8712875921566	0.05983847062825743	10.232626128155868	5.099591648511268e-11
morphine 5288826 mouse GSE7762 sample 3492	1.5436120667703702e-09	8.81146183510757	0.9999928049133404	3.124797674681455e-06	8.811458710309896	1.5436120667703702e-09
vemurafenib DB08881 human GSE37441 sample 2564	3.1967025672914327e-09	8.495297770169744	0.90126942360592	0.04514536252331066	8.450152407646433	3.1967025672914327e-09
phenytoin 1775 rat GSE2880 sample 3033	5.370716803607509e-08	7.269967747247127	0.9999928049133404	3.124797674681455e-06	7.269964622449452	5.370716803607509e-08
isoflurane 3763 rat GSE6433 sample 3654	1.393572771078514e-07	6.855870347903201	0.9999928049133404	3.124797674681455e-06	6.855867223105526	1.393572771078514e-07
vemurafenib DB08881 human GSE37441 sample 2563	5.370716803607509e-08	7.269967747247127	0.1943481847629841	0.7114195113800313	6.558548235867096	5.370716803607509e-08
creatine 586 mouse GSE5140 sample 3205	7.64606794306248e-07	6.116561847153243	0.9999928049133404	3.124797674681455e-06	6.116558722355568	7.64606794306248e-07
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	1.1609987572960476e-06	5.935168245119099	0.9999928049133404	3.124797674681455e-06	5.935165120321424	1.1609987572960476e-06
morphine DB00295 human GSE7762 sample 3288	6.598541630087422e-06	5.180552039002279	0.9999928049133404	3.124797674681455e-06	5.180548914204604	6.598541630087422e-06
isoflurane DB00753 rat GSE1779 sample 2771	6.725361094474693e-06	5.172284392793547	0.9999928049133404	3.124797674681455e-06	5.1722812679958725	6.725361094474693e-06
