Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
morphine 5288826 mouse GSE7762 sample 3490	8.669257039820219e-13	12.062018120209162	0.9999928049133404	3.124797674681455e-06	12.062014995411488	8.669257039820219e-13
isoflurane 3763 rat GSE6433 sample 3653	5.099591648511268e-11	10.292464598784125	0.8712875921566	0.05983847062825743	10.232626128155868	5.099591648511268e-11
morphine 5288826 mouse GSE7762 sample 3492	1.5436120667703702e-09	8.81146183510757	0.9999928049133404	3.124797674681455e-06	8.811458710309896	1.5436120667703702e-09
vemurafenib DB08881 human GSE37441 sample 2564	3.1967025672914327e-09	8.495297770169744	0.90126942360592	0.04514536252331066	8.450152407646433	3.1967025672914327e-09
phenytoin 1775 rat GSE2880 sample 3033	5.370716803607509e-08	7.269967747247127	0.9999928049133404	3.124797674681455e-06	7.269964622449452	5.370716803607509e-08
isoflurane 3763 rat GSE6433 sample 3654	1.393572771078514e-07	6.855870347903201	0.9999928049133404	3.124797674681455e-06	6.855867223105526	1.393572771078514e-07
vemurafenib DB08881 human GSE37441 sample 2563	5.370716803607509e-08	7.269967747247127	0.1943481847629841	0.7114195113800313	6.558548235867096	5.370716803607509e-08
creatine 586 mouse GSE5140 sample 3205	7.64606794306248e-07	6.116561847153243	0.9999928049133404	3.124797674681455e-06	6.116558722355568	7.64606794306248e-07
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	1.1609987572960476e-06	5.935168245119099	0.9999928049133404	3.124797674681455e-06	5.935165120321424	1.1609987572960476e-06
morphine DB00295 human GSE7762 sample 3288	6.598541630087422e-06	5.180552039002279	0.9999928049133404	3.124797674681455e-06	5.180548914204604	6.598541630087422e-06
isoflurane DB00753 rat GSE1779 sample 2771	6.725361094474693e-06	5.172284392793547	0.9999928049133404	3.124797674681455e-06	5.1722812679958725	6.725361094474693e-06
PLX4032 DB05238 human GSE50649 sample 2557	1.9340933373295328e-05	4.7135225711480295	0.9159435846580594	0.03813127483238995	4.67539129631564	1.9340933373295328e-05
fluoxetine DB00472 mouse GSE35765 sample 2500	1.7236167212650738e-05	4.763559301356746	0.7611238087852329	0.11854469263971032	4.645014608717036	1.7236167212650738e-05
halothane 3562 rat GSE6433 sample 3651	2.7802707940781263e-05	4.555912902410545	0.9999928049133404	3.124797674681455e-06	4.55590977761287	2.7802707940781263e-05
nicotinamide riboside 439924 mouse GSE62194 sample 3469	2.9260195908867285e-05	4.5337227704234495	0.9999928049133404	3.124797674681455e-06	4.533719645625775	2.9260195908867285e-05
nicotinamide riboside 439924 mouse GSE62194 sample 3471	2.9260195908867285e-05	4.5337227704234495	0.9425389522335698	0.025700692697199837	4.50802207772625	2.9260195908867285e-05
morphine 5288826 mouse GSE7762 sample 3493	5.292618771622743e-05	4.276329387199606	0.9999928049133404	3.124797674681455e-06	4.276326262401931	5.292618771622743e-05
PLX4032 DB05238 human GSE54711 sample 2556	4.5678241249248936e-05	4.3402906260943155	0.8587974008009132	0.06610927865070391	4.274181347443611	4.5678241249248936e-05
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	5.8915071296519e-05	4.229773592417617	0.9999928049133404	3.124797674681455e-06	4.229770467619942	5.8915071296519e-05
dexamethasone DB01234 human GSE34313 sample 3169	7.899225166913364e-05	4.102415506461111	0.7353970269080432	0.13347813024638006	3.968937376214731	7.899225166913364e-05
morphine 5288826 mouse GSE7762 sample 3488	0.00011384147983979548	3.9436994674381776	0.9999928049133404	3.124797674681455e-06	3.9436963426405027	0.00011384147983979548
pioglitazone DB01132 rat GSE20219 sample 2795	0.0001542751588547066	3.8117039977271427	0.9999928049133404	3.124797674681455e-06	3.811700872929468	0.0001542751588547066
heroin 5462328 mouse GSE30305 sample 2620	0.00022007084213414207	3.6574374946529025	0.9999928049133404	3.124797674681455e-06	3.6574343698552276	0.00022007084213414207
resveratrol DB02709 mouse GSE62194 sample 3467	0.0002372960453057598	3.6247094995247497	0.9999928049133404	3.124797674681455e-06	3.624706374727075	0.0002372960453057598
trichostatin A 444732 mouse GSE1437 sample 3085	6.598541630087422e-06	5.180552039002279	0.0261668994486897	1.5822477344521777	3.5983043045501013	6.598541630087422e-06
