Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
LJP006 HS578T 3H-QL-X-138-1.11	0.0307895833180794	1.5115961884557927		0.0	1.5115961884557927	0.0307895833180794
LJP005 MCF10A 3H-SU-11274-10	0.0307895833180794	1.5115961884557927	0.7964177046469739	0.09885909401753205	1.4127370944382607	0.0307895833180794
LJP006 BT20 3H-torin-1-1.11	0.0408044000720427	1.389293002989197		0.0	1.389293002989197	0.0408044000720427
LJP005 HS578T 24H-SB590885-1.11	0.0408044000720427	1.389293002989197	0.3438433703428792	0.4636393448896815	0.9256536580995155	0.0408044000720427
LJP005 MCF10A 3H-nilotinib-10	0.1302989190023192	0.8850591873056436		0.0	0.8850591873056436	0.1302989190023192
LJP009 HA1E 24H-RAF 265-1.11	0.1202461623547576	0.9199287752015134	0.8785964423454368	0.0562105596330402	0.8637182155684732	0.1202461623547576
CPC006 NCIH596 6H-akt inhibitor iv-10.0	0.1202461623547576	0.9199287752015134	0.8622060252923678	0.0643889465226272	0.8555398286788862	0.1202461623547576
LJP007 HCC515 24H-idelalisib-3.33	0.1331540947398381	0.8756454736443201	0.9372832808121112	0.028129129816583505	0.8475163438277366	0.1331540947398381
CPC014 MCF7 6H-a-275-10.0	0.0972962635245149	1.011903837653986	0.6504706098210653	0.18677232136355795	0.825131516290428	0.0972962635245149
LJP006 MDAMB231 3H-THZ-2-98-01-10	0.1331540947398381	0.8756454736443201	0.8901743735788581	0.050524912382735335	0.8251205612615847	0.1331540947398381
LJP005 HS578T 3H-GDC-0980-0.37	0.126874185016272	0.8966267344496888	0.8443784180109107	0.07346287562320798	0.8231638588264808	0.126874185016272
LJP006 HS578T 3H-GSK-2126458-0.04	0.0307895833180794	1.5115961884557927	0.2006477235235293	0.6975657632502416	0.8140304252055511	0.0307895833180794
LJP005 BT20 24H-SB590885-1.11	0.1240961625367409	0.9062416481135658	0.7964882043090726	0.09882065155326175	0.8074209965603041	0.1240961625367409
LJP006 MCF10A 3H-CHIR-99021-0.04	0.1331540947398381	0.8756454736443201	0.8516350149387212	0.06974649086681375	0.8058989827775064	0.1331540947398381
CPC008 A375 6H-kuc104127 kuc104127n-10.0	0.1612074811969561	0.7926148076477686		0.0	0.7926148076477686	0.1612074811969561
CPC020 HT29 6H-metformin hydrochloride-10.0	0.1612074811969561	0.7926148076477686		0.0	0.7926148076477686	0.1612074811969561
LJP005 PC3 24H-HG-5-113-01-3.33	0.1490485227031663	0.8266723241267716	0.910207760474884	0.04085946599832369	0.7858128581284479	0.1490485227031663
LJP006 SKBR3 3H-geldanamycin-0.04	0.1490485227031663	0.8266723241267716	0.910207760474884	0.04085946599832369	0.7858128581284479	0.1490485227031663
LJP007 HEPG2 24H-DCC-2036-0.37	0.1240961625367409	0.9062416481135658	0.7358307672892197	0.1332220569716309	0.7730195911419349	0.1240961625367409
LJP006 HS578T 3H-WYE-125132-3.33	0.1302989190023192	0.8850591873056436	0.7490783962362045	0.12547272800000794	0.7595864593056356	0.1302989190023192
LJP006 HEPG2 24H-linifanib-0.37	0.1641055737149193	0.7848766682307262	0.9374633969712788	0.02804568019088661	0.7568309880398396	0.1641055737149193
LJP005 SKBR3 24H-GSK-1059615-1.11	0.1202461623547576	0.9199287752015134	0.6301802706459497	0.20053519761349622	0.7193935775880171	0.1202461623547576
LJP005 MCF7 3H-geldanamycin-3.33	0.1329726889786587	0.876237548836205	0.6828011892174854	0.16570573115697895	0.710531817679226	0.1329726889786587
LJP009 MCF7 24H-CG-930-10	0.1302989190023192	0.8850591873056436	0.666516431389586	0.17618913961266494	0.7088700476929787	0.1302989190023192
LJP009 HEPG2 24H-dabrafenib-0.04	0.1983863755618807	0.702488156886825	0.988885715408852	0.004853896507189551	0.6976342603796354	0.1983863755618807
