Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
LJP007 A375 24H-PD-0325901-0.12	1.1622447171852922e-09	8.934702419162935	0.9527515462788364	0.021020337712109864	8.913682081450826	1.1622447171852922e-09
LJP007 A375 24H-PD-0325901-0.37	9.310618698750424e-08	7.031021458811839	0.7614392833876711	0.11836472127210719	6.912656737539732	9.310618698750424e-08
LJP007 A375 24H-PD-0325901-0.04	6.908979175673625e-07	6.1605861163193865	0.6491391608869558	0.18766219021551606	5.972923926103871	6.908979175673625e-07
LJP007 A375 24H-AZ-628-3.33	4.352397611609704e-06	5.3612714366921805	0.9224035186845746	0.03507904901086433	5.326192387681316	4.352397611609704e-06
LJP008 A375 24H-PD-0325901-0.12	5.367126661033325e-06	5.270258155497619	0.7023925817359586	0.1534200838447661	5.116838071652853	5.367126661033325e-06
LJP007 A375 24H-AZ-628-1.11	8.474518273418148e-06	5.071884979513363	0.9572954593750996	0.018954001018943834	5.052930978494419	8.474518273418148e-06
LJP007 A375 24H-AZ-628-0.12	8.474518273418148e-06	5.071884979513363	0.6290310215050238	0.20132793621412645	4.870557043299236	8.474518273418148e-06
LJP006 A375 24H-PD-0325901-3.33	8.474518273418148e-06	5.071884979513363	0.5881668130941525	0.2304994839035704	4.841385495609792	8.474518273418148e-06
LJP008 A375 24H-PD-0325901-0.04	1.5284152647384473e-05	4.815758633533635	0.8901346747075459	0.05054428093087378	4.7652143526027615	1.5284152647384473e-05
LJP007 A375 24H-AZ-628-10	1.5284152647384473e-05	4.815758633533635	0.8585131198612134	0.06625306353184705	4.749505570001788	1.5284152647384473e-05
LJP006 HME1 24H-BI-2536-0.37	2.050784946332379e-05	4.688079879133323	0.9951344371375236	0.0021182445175445498	4.685961634615778	2.050784946332379e-05
LJP005 HS578T 24H-PD-0325901-1.11	2.050784946332379e-05	4.688079879133323	0.8399949121736298	0.07572334444003412	4.612356534693289	2.050784946332379e-05
LJP006 A375 24H-AS-605240-0.12	2.298826456738374e-05	4.638493813300404	0.7412566125315494	0.13003141939745622	4.508462393902948	2.298826456738374e-05
LJP006 A375 24H-selumetinib-3.33	2.486886420978145e-05	4.604344049015886	0.6544043141379252	0.18415384625586662	4.420190202760019	2.486886420978145e-05
LJP005 MCF10A 24H-trametinib-0.37	1.5284152647384473e-05	4.815758633533635	0.3885866654768916	0.41051210648756387	4.405246527046071	1.5284152647384473e-05
LJP008 A375 24H-PD-0325901-3.33	2.298826456738374e-05	4.638493813300404	0.5425576012726848	0.2655541476418136	4.372939665658591	2.298826456738374e-05
LJP006 MCF10A 24H-canertinib-3.33	1.5284152647384473e-05	4.815758633533635	0.2904942104520141	0.5368625186739895	4.278896114859646	1.5284152647384473e-05
LJP006 HS578T 24H-PD-0325901-0.04	4.930423861558713e-05	4.3071157434361105	0.8247274109752188	0.08368957080918799	4.223426172626922	4.930423861558713e-05
LJP006 MCF10A 3H-PI-103-3.33	2.050784946332379e-05	4.688079879133323	0.3299434881184772	0.4815604386069652	4.206519440526358	2.050784946332379e-05
LJP008 A375 24H-PD-0325901-0.37	4.633806088607981e-05	4.334062144134644	0.730393979159569	0.13644281546903797	4.197619328665606	4.633806088607981e-05
LJP005 A375 24H-trametinib-10	2.699627034673481e-05	4.568696231386062	0.397964766711427	0.4001553759166165	4.168540855469446	2.699627034673481e-05
LJP005 MCF10A 24H-AZD-8330-1.11	1.5284152647384473e-05	4.815758633533635	0.2151910620414105	0.6671757710479677	4.148582862485667	1.5284152647384473e-05
LJP006 HA1E 24H-nintedanib-10	6.798644844558332e-05	4.167577645408798	0.8347932458204965	0.07842107340001261	4.089156572008785	6.798644844558332e-05
LJP005 A375 24H-trametinib-0.37	4.177212398059282e-05	4.379113441670494	0.4765868414365698	0.3218579526953497	4.057255488975144	4.177212398059282e-05
LJP005 HT29 24H-vemurafenib-1.11	8.877090372151011e-05	4.051729358814453	0.920342319881446	0.036050607454681305	4.015678751359771	8.877090372151011e-05
