Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
Allococaine CTD 00005697	0.00036798810216804494	3.4341662227566356	0.1152452496474669	0.9383769669744152	2.4957892557822206	0.00036798810216804494
trichostatin A MCF7 UP	0.0075160432907241	2.1240107271254702	0.544914144493412	0.263671918842613	1.8603388082828571	0.0075160432907241
trichostatin A CTD 00000660	1.0689700114785592e-14	13.971034478170141	5.208812275784573e-13	12.283261294143417	1.6877731840267245	1.0689700114785592e-14
chlortetracycline HL60 UP	0.0649476449981042	1.1874365918252985	0.9187722778034482	0.036792117284829104	1.1506444745404694	0.0649476449981042
chlorzoxazone HL60 UP	0.0665917299129176	1.1765797029047866	0.9265993814599816	0.033107994040705704	1.143471708864081	0.0665917299129176
retinal CTD 00006694	0.0665917299129176	1.1765797029047866	0.7828125196861213	0.10634223719503028	1.0702374657097564	0.0665917299129176
arsenite CTD 00000779	9.544153358174152e-05	4.020262590914235	0.0010984223810443	2.9592306266589445	1.0610319642552901	9.544153358174152e-05
ajmaline HL60 UP	0.0705933039749602	1.1512364913651987	0.7435460927934909	0.12869210417578936	1.0225443871894093	0.0705933039749602
cytarabine CTD 00005743	1.3674300915657874e-08	7.864094867278471	1.3075449330885177e-07	6.883543377904592	0.9805514893738794	1.3674300915657874e-08
diethylstilbestrol CTD 00005818	0.0133546050231347	1.874368952180964	0.1084528354913025	0.9647590889044851	0.909609863276479	0.0133546050231347
4-aminobutyric acid CTD 00006014	0.2004518843214951	0.6979898568662855		0.0	0.6979898568662855	0.2004518843214951
corbadrine PC3 UP	0.2302904905039295	0.6377239951965911		0.0	0.6377239951965911	0.2302904905039295
isoxsuprine PC3 UP	0.1992023446830385	0.7007055540804293	0.7916073681630995	0.10149017209868393	0.5992153819817454	0.1992023446830385
diltiazem PC3 UP	0.25226288795243	0.5981466366920704		0.0	0.5981466366920704	0.25226288795243
Saracatinib TTD 00010821	0.2844378646017373	0.5460125904563352		0.0	0.5460125904563352	0.2844378646017373
4-aminobutyric acid BOSS	0.1614972210016914	0.7918349464846716	0.5660210163599506	0.2471674431585377	0.5446675033261339	0.1614972210016914
alexidine HL60 UP	0.1892410703817255	0.722984604168377	0.5992515387767514	0.22239084209798982	0.5005937620703871	0.1892410703817255
VALPROIC ACID CTD 00006977	0.0723951616477398	1.1402904578346644	0.2191477755379079	0.659262933298933	0.4810275245357314	0.0723951616477398
Plumbagin TTD 00010275	0.3423642123363919	0.46551163884630725		0.0	0.46551163884630725	0.3423642123363919
20255-95-2 BOSS	0.3218793888524032	0.4923068319327581	0.925623703208103	0.03356553257761654	0.4587412993551416	0.3218793888524032
pentobarbital CTD 00006484	0.2266837155061293	0.6445796775790454	0.6432720022527835	0.19160535040551993	0.4529743271735255	0.2266837155061293
HC toxin MCF7 UP	0.1099013861255747	0.9589968300251716	0.305924376732537	0.5143859160894261	0.4446109139357455	0.1099013861255747
orciprenaline PC3 UP	0.3679225573800174	0.43424358470122454		0.0	0.43424358470122454	0.3679225573800174
SARIN CTD 00006722	0.1890095907592803	0.7235161582174707	0.4895945678873048	0.3101634093871194	0.41335274883035134	0.1890095907592803
clindamycin HL60 UP	0.3214977082016482	0.4928221185995581	0.7796585011648279	0.10809558132986889	0.3847265372696892	0.3214977082016482
