Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
resveratrol DB02709 mouse GSE11291 sample 3505	3.4898369582304626e-22	21.45719486238032	0.999994269670928	2.4886574258917733e-06	21.457192373722894	3.4898369582304626e-22
ubiquinol 9962735 mouse GSE15129 sample 3451	6.174470417344766e-22	21.209400285791034	0.999994269670928	2.4886574258917733e-06	21.209397797133608	6.174470417344766e-22
coenzyme Q10 5281915 mouse GSE15129 sample 3450	8.880374264789638e-15	14.051568730425487	0.999994269670928	2.4886574258917733e-06	14.051566241768061	8.880374264789638e-15
candesartan DB00796 rat GSE2739 sample 2687	2.0612967613030988e-11	10.685859479099735	0.999994269670928	2.4886574258917733e-06	10.685856990442309	2.0612967613030988e-11
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	5.577883571418698e-08	7.253530555114449	0.999994269670928	2.4886574258917733e-06	7.253528066457023	5.577883571418698e-08
cocaine 446220 human GSE54839 sample 2472	3.397696893286508e-07	6.468815366916232	0.999994269670928	2.4886574258917733e-06	6.468812878258806	3.397696893286508e-07
fluoxetine 62857 mouse GSE6476 sample 2618	1.1645849998437168e-06	5.933828808017325	0.999994269670928	2.4886574258917733e-06	5.933826319359899	1.1645849998437168e-06
halothane 3562 rat GSE6433 sample 3652	3.2696864051079687e-06	5.485493898429026	0.999994269670928	2.4886574258917733e-06	5.4854914097716	3.2696864051079687e-06
ubiquinol 9962735 mouse GSE15129 sample 3453	3.320398582831444e-06	5.478809780171204	0.999994269670928	2.4886574258917733e-06	5.478807291513778	3.320398582831444e-06
d-serine 71077 rat GSE10748 sample 3389	3.7535401096430008e-06	5.42555893898141	0.999994269670928	2.4886574258917733e-06	5.425556450323984	3.7535401096430008e-06
carboplatin DB00958 human GSE49577 sample 3175	3.7535401096430008e-06	5.42555893898141	0.9754932787160168	0.010775718608367704	5.4147832203730415	3.7535401096430008e-06
levetiracetam 5284583 rat GSE2880 sample 2669	5.063497704111444e-06	5.295549382602118	0.999994269670928	2.4886574258917733e-06	5.295546893944692	5.063497704111444e-06
