Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
resveratrol DB02709 mouse GSE11291 sample 3505	3.4898369582304626e-22	21.45719486238032	0.999994269670928	2.4886574258917733e-06	21.457192373722894	3.4898369582304626e-22
ubiquinol 9962735 mouse GSE15129 sample 3451	6.174470417344766e-22	21.209400285791034	0.999994269670928	2.4886574258917733e-06	21.209397797133608	6.174470417344766e-22
coenzyme Q10 5281915 mouse GSE15129 sample 3450	8.880374264789638e-15	14.051568730425487	0.999994269670928	2.4886574258917733e-06	14.051566241768061	8.880374264789638e-15
candesartan DB00796 rat GSE2739 sample 2687	2.0612967613030988e-11	10.685859479099735	0.999994269670928	2.4886574258917733e-06	10.685856990442309	2.0612967613030988e-11
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	5.577883571418698e-08	7.253530555114449	0.999994269670928	2.4886574258917733e-06	7.253528066457023	5.577883571418698e-08
cocaine 446220 human GSE54839 sample 2472	3.397696893286508e-07	6.468815366916232	0.999994269670928	2.4886574258917733e-06	6.468812878258806	3.397696893286508e-07
fluoxetine 62857 mouse GSE6476 sample 2618	1.1645849998437168e-06	5.933828808017325	0.999994269670928	2.4886574258917733e-06	5.933826319359899	1.1645849998437168e-06
halothane 3562 rat GSE6433 sample 3652	3.2696864051079687e-06	5.485493898429026	0.999994269670928	2.4886574258917733e-06	5.4854914097716	3.2696864051079687e-06
ubiquinol 9962735 mouse GSE15129 sample 3453	3.320398582831444e-06	5.478809780171204	0.999994269670928	2.4886574258917733e-06	5.478807291513778	3.320398582831444e-06
d-serine 71077 rat GSE10748 sample 3389	3.7535401096430008e-06	5.42555893898141	0.999994269670928	2.4886574258917733e-06	5.425556450323984	3.7535401096430008e-06
carboplatin DB00958 human GSE49577 sample 3175	3.7535401096430008e-06	5.42555893898141	0.9754932787160168	0.010775718608367704	5.4147832203730415	3.7535401096430008e-06
levetiracetam 5284583 rat GSE2880 sample 2669	5.063497704111444e-06	5.295549382602118	0.999994269670928	2.4886574258917733e-06	5.295546893944692	5.063497704111444e-06
corticosterone 5753 rat GSE37618 sample 3094	3.3845329919254884e-06	5.47050124810791	0.6168880327451073	0.20979365472469544	5.260707593383215	3.3845329919254884e-06
levetiracetam DB01202 rat GSE2880 sample 2777	3.3751541871282e-05	4.471706382510169	0.999994269670928	2.4886574258917733e-06	4.471703893852743	3.3751541871282e-05
Lipopolysaccharide 11970143 mouse GSE367 sample 3656	4.118446813951133e-05	4.385266538168019	0.999994269670928	2.4886574258917733e-06	4.385264049510593	4.118446813951133e-05
NICKEL 935 human GSE6281 sample 3481	5.279003370861544e-05	4.277448060684001	0.999994269670928	2.4886574258917733e-06	4.277445572026575	5.279003370861544e-05
Rosiglitazone DB00412 mouse GSE11343 sample 3255	0.0001105234729536701	3.956545476805496	0.999994269670928	2.4886574258917733e-06	3.9565429881480703	0.0001105234729536701
estradiol DB00783 rat GSE5315 sample 2537	0.00011831805639025348	3.9269489731044773	0.999994269670928	2.4886574258917733e-06	3.9269464844470514	0.00011831805639025348
morphine 5288826 mouse GSE7762 sample 3493	0.0001480098214505534	3.829709465278979	0.999994269670928	2.4886574258917733e-06	3.8297069766215532	0.0001480098214505534
methamphetamine 10836 mouse GSE30305 sample 2614	8.743688499735142e-05	4.058305322839677	0.5557913216936317	0.25508823872092223	3.8032170841187543	8.743688499735142e-05
formaldehyde 712 rat GSE7002 sample 3536	0.00016167885139638127	3.791346784809337	0.999994269670928	2.4886574258917733e-06	3.791344296151911	0.00016167885139638127
formaldehyde 712 rat GSE7002 sample 3538	4.118446813951133e-05	4.385266538168019	0.1572812252038543	0.8033231163913863	3.581943421776633	4.118446813951133e-05
levetiracetam 5284583 rat GSE2880 sample 2671	0.0002620562840763051	3.5816054215101736	0.999994269670928	2.4886574258917733e-06	3.5816029328527477	0.0002620562840763051
pioglitazone DB01132 rat GSE20219 sample 2794	0.0002620562840763051	3.5816054215101736	0.999994269670928	2.4886574258917733e-06	3.5816029328527477	0.0002620562840763051
heroin 5462328 mouse GSE30305 sample 2668	0.0003583209451339917	3.4457278050344113	0.999994269670928	2.4886574258917733e-06	3.4457253163769854	0.0003583209451339917
