Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
morphine 5288826 mouse GSE7762 sample 3490	6.6961633494182905e-15	14.174173960497818	0.999996025944829	1.7259136610073338e-06	14.174172234584157	6.6961633494182905e-15
isoflurane 3763 rat GSE6433 sample 3653	9.342964502298715e-14	13.02951530120962	0.999996025944829	1.7259136610073338e-06	13.02951357529596	9.342964502298715e-14
phenytoin 1775 rat GSE2880 sample 3033	1.0880910815800604e-10	9.963334749332695	0.999996025944829	1.7259136610073338e-06	9.963333023419034	1.0880910815800604e-10
morphine 5288826 mouse GSE7762 sample 3492	2.4997733589664566e-10	9.60209936469281	0.8711701689805061	0.05989700431399687	9.542202360378813	2.4997733589664566e-10
creatine 586 mouse GSE5140 sample 3205	9.007155050608925e-10	9.045412361177162	0.999996025944829	1.7259136610073338e-06	9.0454106352635	9.007155050608925e-10
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	1.6343028487829335e-09	8.786667462266161	0.999996025944829	1.7259136610073338e-06	8.7866657363525	1.6343028487829335e-09
fluoxetine DB00472 mouse GSE35765 sample 2500	1.7187609102483435e-09	8.764784532028214	0.999996025944829	1.7259136610073338e-06	8.764782806114553	1.7187609102483435e-09
isoflurane DB00753 rat GSE1779 sample 2771	4.008851590949791e-09	8.396980021181406	0.999996025944829	1.7259136610073338e-06	8.396978295267745	4.008851590949791e-09
vemurafenib DB08881 human GSE37441 sample 2563	1.6500932089809965e-08	7.782491523057132	0.501862591943338	0.2994151747464187	7.483076348310713	1.6500932089809965e-08
morphine 5288826 mouse GSE7762 sample 3488	4.1473344733563984e-08	7.382230938333734	0.999996025944829	1.7259136610073338e-06	7.382229212420073	4.1473344733563984e-08
alpha-Tocopherol 14985 mouse GSE8150 sample 3477	7.084861375255248e-08	7.149668642883095	0.999996025944829	1.7259136610073338e-06	7.1496669169694345	7.084861375255248e-08
isoflurane 3763 rat GSE6433 sample 3654	7.520939761149322e-08	7.123727889783126	0.999996025944829	1.7259136610073338e-06	7.123726163869465	7.520939761149322e-08
morphine DB00295 human GSE7762 sample 3288	7.520939761149322e-08	7.123727889783126	0.999996025944829	1.7259136610073338e-06	7.123726163869465	7.520939761149322e-08
PLX4032 DB05238 human GSE50649 sample 2557	1.051705985276466e-07	6.978105654496651	0.999996025944829	1.7259136610073338e-06	6.97810392858299	1.051705985276466e-07
halothane 3562 rat GSE6433 sample 3651	2.519685383423441e-07	6.5986536833348035	0.999996025944829	1.7259136610073338e-06	6.598651957421143	2.519685383423441e-07
morphine 5288826 mouse GSE7762 sample 3493	3.1943588590377215e-07	6.495616296167073	0.999996025944829	1.7259136610073338e-06	6.495614570253412	3.1943588590377215e-07
pioglitazone DB01132 rat GSE20219 sample 2795	6.4790452874922e-07	6.1884889843949695	0.999996025944829	1.7259136610073338e-06	6.188487258481309	6.4790452874922e-07
d-serine 71077 rat GSE10748 sample 3388	6.696837732352069e-07	6.174130224103669	0.999996025944829	1.7259136610073338e-06	6.174128498190008	6.696837732352069e-07
vemurafenib DB08881 human GSE37441 sample 2564	5.622480176669604e-07	6.25007206709343	0.8358950979898269	0.0778482216312582	6.172223845462171	5.622480176669604e-07
d-serine 71077 rat GSE10748 sample 3391	2.976828671268081e-06	5.526246160067431	0.999996025944829	1.7259136610073338e-06	5.52624443415377	2.976828671268081e-06
Coenzyme Q10 5281915 mouse GSE15129 sample 3452	6.739308009871397e-06	5.171384694402795	0.999996025944829	1.7259136610073338e-06	5.171382968489134	6.739308009871397e-06
nicotinamide riboside 439924 mouse GSE62194 sample 3471	8.112074249431124e-06	5.090868082915739	0.7560611474014974	0.12144307896288088	4.969425003952858	8.112074249431124e-06
doxorubicin DB00997 human GSE58074 sample 3179	9.735800882869123e-06	5.011628316901604	0.3431054824267436	0.4645723423674367	4.5470559745341665	9.735800882869123e-06
heroin 5462328 mouse GSE30305 sample 2620	3.5733842481997595e-05	4.446920281334552	0.999996025944829	1.7259136610073338e-06	4.446918555420891	3.5733842481997595e-05
resveratrol DB02709 mouse GSE62194 sample 3467	5.878008117899459e-05	4.230769818474957	0.999996025944829	1.7259136610073338e-06	4.230768092561296	5.878008117899459e-05
rosiglitazone 77999 mouse GSE11343 sample 2672	7.088124932522842e-05	4.149468636348557	0.999996025944829	1.7259136610073338e-06	4.149466910434896	7.088124932522842e-05
d-serine 71077 rat GSE10748 sample 3390	8.46564822370348e-05	4.072339781890658	0.999996025944829	1.7259136610073338e-06	4.0723380559769975	8.46564822370348e-05
estradiol DB00783 rat GSE5315 sample 2537	0.0001065810702870442	3.9723199228882815	0.999996025944829	1.7259136610073338e-06	3.9723181969746206	0.0001065810702870442
dexamethasone DB01234 human GSE34313 sample 3169	6.739308009871397e-06	5.171384694402795	0.0530624542288999	1.2752126670295416	3.896172027373253	6.739308009871397e-06
d-serine 71077 rat GSE10748 sample 3387	0.00013546255665309914	3.8681807319936836	0.999996025944829	1.7259136610073338e-06	3.8681790060800227	0.00013546255665309914
metoprolol DB00264 human GSE11223 sample 3287	0.00013546255665309914	3.8681807319936836	0.999996025944829	1.7259136610073338e-06	3.8681790060800227	0.00013546255665309914
dexamethasone DB01234 mouse GSE11056 sample 3358	0.00013546255665309914	3.8681807319936836	0.9887456272650414	0.004915424160626182	3.8632653078330574	0.00013546255665309914
morphine 5288826 mouse GSE7762 sample 3489	7.088124932522842e-05	4.149468636348557	0.4793812553332934	0.31931895166338253	3.830149684685174	7.088124932522842e-05
PLX4032 DB05238 human GSE54711 sample 2556	0.0001065810702870442	3.9723199228882815	0.705052670488934	0.1517784381174386	3.820541484770843	0.0001065810702870442
isoflurane DB00753 rat GSE1779 sample 2770	0.0002213492432765854	3.654921958398777	0.999996025944829	1.7259136610073338e-06	3.654920232485116	0.0002213492432765854
acrylamide 6579 rat GSE29004 sample 3131	0.00033215928307804847	3.478653605533935	0.999996025944829	1.7259136610073338e-06	3.478651879620274	0.00033215928307804847
trichostatin A 444732 mouse GSE1437 sample 3085	2.792219495777476e-07	6.554050444910592	0.0008032639382735653	3.0951417298128243	3.4589087150977678	2.792219495777476e-07
ubiquinol 9962735 mouse GSE15129 sample 3455	0.00045034497730332993	3.346454676578739	0.6981247695442366	0.1560669529038722	3.1903877236748666	0.00045034497730332993
nicotinamide riboside 439924 mouse GSE62194 sample 3469	0.0006646299333975475	3.17742010299617	0.999996025944829	1.7259136610073338e-06	3.177418377082509	0.0006646299333975475
acrylamide 6579 rat GSE29004 sample 3110	0.0006646299333975475	3.17742010299617	0.7931182979141731	0.10066203046342947	3.0767580725327406	0.0006646299333975475
heroin 5462328 mouse GSE30305 sample 2666	0.0010250999606515	2.989233783151984	0.9999308092229692	3.005021227384314e-05	2.9892037329397105	0.0010250999606515
heroin 5462328 mouse GSE30305 sample 2611	0.0010286572604616	2.9877293042319693	0.999996025944829	1.7259136610073338e-06	2.9877275783183084	0.0010286572604616
methamphetamine 10836 mouse GSE30305 sample 2612	0.0017138315828237	2.7660318581678083	0.999996025944829	1.7259136610073338e-06	2.7660301322541474	0.0017138315828237
methylprednisolone 6741 rat GSE490 sample 3660	0.0020914974389032	2.6795426628887005	0.999996025944829	1.7259136610073338e-06	2.6795409369750396	0.0020914974389032
rosiglitazone DB00412 rat GSE7193 sample 2811	0.0020914974389032	2.6795426628887005	0.999996025944829	1.7259136610073338e-06	2.6795409369750396	0.0020914974389032
isotretinoin 5282379 human GSE10433 sample 2498	0.00044187885429317406	3.354696780704102	0.1996124133326315	0.699812454660704	2.654884326043398	0.00044187885429317406
levetiracetam DB01202 rat GSE2880 sample 2777	0.0027157087679057	2.566116805552485	0.999996025944829	1.7259136610073338e-06	2.566115079638824	0.0027157087679057
halothane 3562 rat GSE6433 sample 3652	0.0027413977093008	2.562027954454953	0.999996025944829	1.7259136610073338e-06	2.562026228541292	0.0027413977093008
fluoxetine 62857 mouse GSE6476 sample 2618	0.0032418727738158	2.4892040328909406	0.999996025944829	1.7259136610073338e-06	2.4892023069772797	0.0032418727738158
methamphetamine 10836 mouse GSE30305 sample 2621	0.0037359351028689	2.427600676529397	0.6987132199741687	0.15570103961739376	2.271899636912003	0.0037359351028689
d-serine 71077 rat GSE10748 sample 3389	0.006161399671988	2.21032061887918	0.999996025944829	1.7259136610073338e-06	2.2103188929655193	0.006161399671988
olanzapine 4585 rat GSE2547 sample 2511	0.0064433842526443	2.1908859686339346	0.999996025944829	1.7259136610073338e-06	2.1908842427202737	0.0064433842526443
troglitazone DB00197 rat GSE21329 sample 2834	0.0065780134037517	2.1819052459081725	0.999996025944829	1.7259136610073338e-06	2.1819035199945116	0.0065780134037517
NICKEL 935 human GSE6281 sample 3479	0.0013446254400901	2.8713986762240653	0.196415395140747	0.7068244749877624	2.164574201236303	0.0013446254400901
methamphetamine 10836 mouse GSE30305 sample 2619	0.0072585121556702	2.1391523915316966	0.999996025944829	1.7259136610073338e-06	2.1391506656180357	0.0072585121556702
heroin 5462328 mouse GSE30305 sample 2617	0.0075515612560415	2.121963250385745	0.999996025944829	1.7259136610073338e-06	2.121961524472084	0.0075515612560415
morphine 5288826 mouse GSE7762 sample 3487	0.0086681060322492	2.0620757848304057	0.999996025944829	1.7259136610073338e-06	2.062074058916745	0.0086681060322492
PLX4032 DB05238 human GSE24862 sample 2567	0.0113977452364635	1.9431810546472055	0.8949232385802136	0.04821421439439758	1.894966840252808	0.0113977452364635
heroin 5462328 mouse GSE30305 sample 2613	0.0070177755297186	2.1538005272240097	0.5148570710189051	0.28831331830453083	1.865487208919479	0.0070177755297186
quercetin DB04216 mouse GSE38141 sample 3435	0.0145828428256444	1.836157805020661	0.999996025944829	1.7259136610073338e-06	1.836156079107	0.0145828428256444
imatinib DB00619 human GSE1922 sample 2517	0.0157936715787722	1.801516897158079	0.9844874034683068	0.006789836294987998	1.794727060863091	0.0157936715787722
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3516	0.0175995448687572	1.754498563068979	0.999996025944829	1.7259136610073338e-06	1.7544968371553178	0.0175995448687572
