Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
LJP009 HEPG2 24H-dabrafenib-0.04	0.0025841026328964	2.5876902414449856	0.7759279556018626	0.11017860082567205	2.4775116406193134	0.0025841026328964
LJP005 HEPG2 24H-WZ-3105-0.12	0.0175817804302973	1.7549371479254245	0.9033959505192568	0.0441218604993124	1.7108152874261122	0.0175817804302973
LJP005 BT20 24H-SB590885-1.11	0.0175817804302973	1.7549371479254245	0.8538950967053799	0.06859548027163903	1.6863416676537855	0.0175817804302973
LJP009 HA1E 24H-RAF 265-1.11	0.0175817804302973	1.7549371479254245	0.8315808582505071	0.08009551603592224	1.6748416318895023	0.0175817804302973
LJP005 MCF10A 3H-SU-11274-10	0.0175817804302973	1.7549371479254245	0.7269534704505997	0.13849338580291537	1.6164437621225092	0.0175817804302973
LJP006 HME1 3H-WYE-125132-3.33	0.0326808114580193	1.4857071685605252	0.9198346903189836	0.03629021562519812	1.4494169529353271	0.0326808114580193
LJP005 MCF7 3H-geldanamycin-3.33	0.0373003099927994	1.428287558872203	0.9229033579889676	0.0348437738273278	1.3934437850448753	0.0373003099927994
LJP005 HS578T 3H-buparlisib-1.11	0.0152990568849117	1.815335340574756	0.375440148122578	0.425459287453122	1.389876053121634	0.0152990568849117
LJP007 HEPG2 24H-ALW-II-49-7-3.33	0.02834305578279	1.547553328468925	0.5718498846646471	0.24271796214764227	1.3048353663212826	0.02834305578279
LJP005 A549 24H-PD-0325901-0.04	0.0287557033286223	1.5412760056352315	0.5779481975980698	0.23811108632950634	1.303164919305725	0.0287557033286223
LJP006 HS578T 3H-QL-X-138-1.11	0.0255711985021136	1.592248916453269	0.488864720223284	0.3108113032254259	1.281437613227843	0.0255711985021136
LJP005 PC3 24H-PF-431396-0.37	0.0454692060629868	1.3422826289370533	0.8381885046335585	0.0766582996086489	1.2656243293284044	0.0454692060629868
LJP005 MDAMB231 3H-PF-477736-1.11	0.0326808114580193	1.4857071685605252	0.5213301612300069	0.2828871485108496	1.2028200200496757	0.0326808114580193
LJP009 MCF7 24H-CC-401-10	0.0454692060629868	1.3422826289370533	0.7038184238756289	0.15253936881257235	1.189743260124481	0.0454692060629868
LJP006 HEPG2 24H-linifanib-0.37	0.0660170083730948	1.1803441600495537	0.9705622853781318	0.012976588737194324	1.1673675713123592	0.0660170083730948
LJP005 HS578T 24H-GDC-0980-10	0.0087229673126905	2.059335754939595	0.1247579495070333	0.9039317718204626	1.1554039831191325	0.0087229673126905
LJP009 HCC515 24H-KIN001-220-1.11	0.0636782887567934	1.1960086160220773	0.889924162031147	0.05064700168624438	1.145361614335833	0.0636782887567934
LJP009 HA1E 24H-PD-0325901-10	0.0454692060629868	1.3422826289370533	0.6155164108317868	0.21076036346592864	1.1315222654711246	0.0454692060629868
LJP007 HEPG2 24H-DCC-2036-0.37	0.0625459275423274	1.203800962604827	0.8113276346888505	0.09080373123466905	1.112997231370158	0.0625459275423274
LJP009 A375 24H-sunitinib-0.37	0.0569968352071332	1.2441492581913063	0.7038184238756289	0.15253936881257235	1.0916098893787338	0.0569968352071332
LJP009 HA1E 24H-ON-01910-1.11	0.0569968352071332	1.2441492581913063	0.6907068609414578	0.16070623003089243	1.083443028160414	0.0569968352071332
LJP006 LNCAP 3H-AZD-8055-3.33	0.0454692060629868	1.3422826289370533	0.5403586911275182	0.26731785894884863	1.0749647699882048	0.0454692060629868
LJP006 SKBR3 24H-GW-843682X-1.11	0.0843966398236353	1.0736748440746235		0.0	1.0736748440746235	0.0843966398236353
LJP005 HS578T 3H-BYL719-10	0.0730626475479711	1.1363045944476524	0.8188095706681543	0.08681708972218967	1.0494875047254628	0.0730626475479711
LJP005 MCF10A 3H-nilotinib-10	0.0569968352071332	1.2441492581913063	0.637244999395744	0.19569356385140668	1.0484556943398995	0.0569968352071332
