Term	FDR_DOWN	score_DOWN	FDR_UP	score_UP	ReversalScore	minFDR
LJP006 HME1 24H-BI-2536-0.37	5.9580222847537494e-08	7.224897876728984	0.586778886079111	0.23152552165954268	6.993372355069441	5.9580222847537494e-08
LJP005 SKBR3 24H-withaferin-a-0.12	3.355228747580622e-07	6.474277865830166		0.0	6.474277865830166	3.355228747580622e-07
LJP007 A375 24H-PD-0325901-0.12	2.6878884648202745e-07	6.570588756495474	0.7119183475190012	0.14756981430617935	6.4230189421892945	2.6878884648202745e-07
LJP006 HME1 24H-BI-2536-1.11	3.7115490896396056e-06	5.4304447910135965	0.9308392008241352	0.031125335373362338	5.399319455640234	3.7115490896396056e-06
LJP007 A375 24H-AZ-628-1.11	7.79325355586385e-06	5.108281193628501	0.8826481712862067	0.054212374245615834	5.054068819382885	7.79325355586385e-06
LJP009 PC3 24H-KI20227-10	9.74920251032806e-06	5.011030908355733	0.7943048232951653	0.10001280025544987	4.911018108100283	9.74920251032806e-06
LJP008 HA1E 24H-mocetinostat-10	5.140009896889679e-06	5.28903604478674	0.2334041303993901	0.6318914627988271	4.657144581987913	5.140009896889679e-06
LJP006 MCF10A 3H-AS-605240-0.37	1.2377674015815534e-05	4.907360959274224	0.520652439705044	0.2834520922244949	4.623908867049729	1.2377674015815534e-05
LJP006 HME1 3H-dasatinib-1.11	1.094098153696037e-05	4.960943714843167	0.4438361485222737	0.3527773292684466	4.60816638557472	1.094098153696037e-05
LJP006 MDAMB231 24H-HG-6-64-01-3.33	6.53870302916983e-06	5.184508386711496	0.216569176835773	0.6644033541866761	4.520105032524819	6.53870302916983e-06
LJP007 A375 24H-PD-0325901-0.04	1.0317206697092872e-05	4.986437868624008	0.3228845892125747	0.490952682699336	4.495485185924672	1.0317206697092872e-05
LJP005 MCF7 3H-CP-724714-1.11	1.2377674015815534e-05	4.907360959274224	0.3007705302871211	0.5217647184815618	4.385596240792663	1.2377674015815534e-05
LJP005 MCF7 3H-erlotinib-0.37	1.0317206697092872e-05	4.986437868624008	0.2123815082886115	0.6728832992564031	4.3135545693676045	1.0317206697092872e-05
LJP008 HT29 24H-pracinostat-0.37	1.6511475744099448e-05	4.78221410911897	0.3007705302871211	0.5217647184815618	4.260449390637408	1.6511475744099448e-05
LJP007 HCC515 24H-XMD-885-3.33	5.3167912937179136e-05	4.274350387224965	0.9392097391278892	0.02723741265994979	4.247112974565015	5.3167912937179136e-05
LJP006 MCF10A 3H-canertinib-3.33	5.666140474919635e-05	4.246712662656	0.9649519500650348	0.015494311880208295	4.231218350775792	5.666140474919635e-05
LJP005 SKBR3 24H-pelitinib-0.04	4.5995593860532536e-05	4.337283769486012	0.7733667015671929	0.11161453104359265	4.2256692384424195	4.5995593860532536e-05
LJP006 HS578T 24H-selumetinib-0.04	5.329794518661402e-05	4.273289534150107	0.7771197931744892	0.10951202945574927	4.163777504694358	5.329794518661402e-05
LJP007 A375 24H-AZ-628-10	5.329794518661402e-05	4.273289534150107	0.7119183475190012	0.14756981430617935	4.125719719843928	5.329794518661402e-05
LJP006 PC3 24H-celastrol-1.11	3.372034577852597e-05	4.472107980638759	0.4350684598361046	0.36144239962071034	4.110665581018049	3.372034577852597e-05
LJP007 A375 24H-AZ-628-3.33	7.301886322283528e-05	4.136564932546149	0.9361434071388852	0.028657616904571814	4.107907315641577	7.301886322283528e-05
LJP006 MCF10A 3H-ZSTK-474-0.37	5.140009896889679e-06	5.28903604478674	0.0591190746812907	1.2282723720414166	4.060763672745323	5.140009896889679e-06
LJP008 A375 24H-PD-0325901-0.04	3.372034577852597e-05	4.472107980638759	0.3435092231898263	0.46406159768253297	4.008046382956226	3.372034577852597e-05
LJP006 HA1E 24H-nintedanib-10	9.559925554858802e-05	4.019545489652761	0.788553872833949	0.10316863096503746	3.9163768586877237	9.559925554858802e-05
LJP009 HEPG2 24H-RAF 265-10	5.329794518661402e-05	4.273289534150107	0.3136997663571386	0.5034858047636616	3.769803729386446	5.329794518661402e-05
