Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
DSigDB	7646-79-9 CTD 00000928	315/3094	8.160943760702884e-31	2.8938706575452427e-27	0	0	2.343441193567138	162.3554292365719	CYFIP1;IPO11;TES;CCNF;SERPINE1;COL12A1;ICAM2;NUDT5;ELK3;SMC2;CDC20;TIAL1;PPP4R1;LGALS1;CHEK1;FBXO5;LGALS8;SPA17;GTSE1;PELO;EPHB4;MBNL1;ACTN1;HLA-B;KRT7;ATG12;RUNX1;TAGLN2;C3ORF21;FAM64A;KDELR3;KIF20A;PFN1;TP53;PRR11;ASF1B;LXN;TTYH3;SHMT2;CDCA8;HIF1A;NUAK1;HSPH1;ARSJ;SERPINH1;PRKCDBP;STK38L;SSR1;S100A11;HOXC6;VASP;PLK2;FN1;IFI44;MICAL2;PARVB;SMARCA1;PARP12;ZWINT;ANLN;BST1;EHD2;TPX2;EHD4;TNFSF4;CALU;NOX4;MPHOSPH10;ALDH18A1;ADA;FKBP11;ACVRL1;TOP2A;NRP1;COL18A1;CDKN1A;ROBO4;FKBP14;PAK1IP1;TGFB1I1;GDI2;SNX13;KIF11;LRRC32;PRSS23;SYNCRIP;GLIPR1;ESM1;ENC1;STAB1;CD36;TK1;CEP55;HTATIP2;CAP1;TNFRSF12A;TUBB;KIF23;GMIP;GNL2;UCHL3;GNL3;UGDH;HCK;RAP2A;NR5A2;PXDN;AGPS;RHOJ;CKS2;TAX1BP3;ARHGEF2;CEP63;PLCB1;FJX1;DBN1;GRN;SP100;WDR26;PKN3;CRIP2;TYMS;FSTL1;GNAI2;LIMA1;FGD5;MTHFD1L;AP2S1;SPP1;BID;ANKRD50;LRRC25;ATAD2;VEGFC;GPR4;KLHL4;DCBLD2;FKBP1A;SPCS3;CENPF;RIT1;ABI3;ZYX;CENPM;MSRB3;FAS;TRIP13;SIPA1;LIMS1;CDKN3;CD86;RIF1;ZWILCH;GPR65;FHOD1;PLOD2;ARID4B;TNF;CMIP;CTGF;CDH5;TUBB6;CCND1;CDH2;PTTG1;PLAU;ARHGDIB;CAPN2;PAPOLA;NUSAP1;SACS;PLS3;OIP5;KNTC1;PHLDA2;STK32B;SH3GLB1;IL4R;IGFBP3;F2R;FRMD4A;PUS7;SPOCD1;RAB32;RAB31;MELK;COL4A2;COL4A1;HAT1;FSCN1;S100A4;S100A3;PHLDB2;VCL;PPIC;RAI14;RNASEH2A;NNMT;PSMD14;FBLIM1;SHC1;TROAP;HTRA1;ARHGAP18;SLC1A5;HMMR;CORO1C;RASGRP3;CCNB2;GRK5;IRAK1;CALD1;ZMAT3;COBLL1;SMYD2;ECT2;TBC1D15;CPA4;TXNDC5;UBE2C;LHFP;ATP8B1;CBX3;FBXO38;CAV1;CCDC14;TBCD;TNFRSF10B;ARPC5;SYNJ2;DAP;BMP1;CDK6;TP53I3;UBLCP1;ARPC2;UBE2T;COL5A2;MAFF;ANXA2P1;GNB4;PHF14;TCF4;MAN2B1;TGFBI;ACBD3;EIF4G3;NES;EIF4G2;DOCK6;BMPR2;DYSF;FHL3;CLEC14A;TRIAP1;TNFAIP1;FOXM1;RND3;HHEX;CLEC1A;RB1CC1;CASP3;CASP1;PGM2;ARHGEF15;DYNLT1;ITGA2;ITGA1;PLAUR;GPX7;CKAP4;ETV6;ASPM;TBC1D4;CDH11;PECAM1;BIRC5;MYH9;ITGA5;DOCK1;TNFRSF21;TMEM45A;PRKAA1;LUZP1;ROCK2;LAMA4;SEMA3F;TTL;THBS1;AURKB;AURKA;PDLIM1;CHSY1;KDELC2;CCL2;MAPK1;ASCC3;BUB1;CMTM7;MARCKSL1;ANGPT2;LAMB3;CMTM3;TIE1;GALNT1;CDC42BPA;CHFR;APLN;FMNL3;MARCKS;PRC1;MGAT4A;SEC24D;CKLF;METAP2
DSigDB	troglitazone CTD 00002415	111/651	2.4142901842809205e-27	4.280536496730072e-24	0	0	3.8364103432700993	235.1274217066443	SERPINE1;CCNF;NUDT1;PRDM1;CLDN1;SMC4;TNF;SMC2;CTGF;CDC20;CCND1;PTTG1;PLAU;CHEK1;NUSAP1;KNTC1;PHLDA2;GTSE1;SEMA6B;IGFBP3;CYBA;RUNX1;MELK;FANCD2;PAPPA;HAT1;FSCN1;KIF20A;TP53;RNASEH2A;CFH;CDCA5;CSTF3;TXN;HIF1A;NID2;CCNB2;HSPH1;TBXA2R;STC2;PLK4;STIL;UBE2C;PLK2;HSPA6;FN1;LIF;TNFRSF10B;EIF2S1;ZWINT;COL1A1;EFNA1;TPX2;ANLN;BST1;COL1A2;CDK6;DIAPH3;MAFF;FBN1;TOP2A;NRP1;CDKN1A;TNFAIP6;KIF11;FOXM1;KIF15;SGOL2;CASP3;TK1;TIMP1;CD36;TOPBP1;RIPK2;ITGA3;ITGA2;KIF23;MMP9;ASPM;IRF1;CKS2;ANGPTL2;BIRC5;ITGA5;ARHGEF2;FJX1;TNFRSF21;ITGB3BP;PKN3;LAMA4;CXCR4;TTK;TYMS;PAPSS2;AURKB;SPP1;CCL3;CCL2;E2F2;MAPK1;FILIP1L;BUB1;VEGFC;CENPE;CENPF;KLHL5;PRC1;FAS;TRIP13;NUCB2;CDKN3
DSigDB	Dasatinib CTD 00004330	94/502	2.4042944974806084e-26	2.841876096022079e-23	0	0	4.257306419071125	251.13831793747764	TOP2A;CDKN1A;ZWILCH;MCM10;FOXM1;HAPLN3;SMC4;TNF;SMC2;CDC20;HERC4;SGOL2;CCND1;PTTG1;PLAU;CASP3;NUSAP1;KNTC1;TK1;FBXO5;LMCD1;EPHB4;PDGFRB;KIF23;ASPM;HCK;MELK;COL4A2;KIFC1;COL4A1;FANCD2;C18ORF54;CKS2;ANGPTL2;BIRC5;FAM64A;PRR11;ITGB3BP;ASF1B;EPHA2;RNASEH2A;NNMT;CDCA5;C1ORF198;HTRA1;CDCA8;ARHGAP18;TTK;HMMR;CACNA1C;THBS2;C1ORF112;AURKB;AURKA;THBS3;NUAK1;RACGAP1;TP53INP1;CCL3;ABL2;CCL2;STK38L;MAPK1;A2M;ECT2;BUB1;CPA4;PLK4;STIL;JAG1;YES1;STAT1;LUM;MCAM;ATAD2;LAMB1;SULF1;PTK2;ZWINT;DCBLD2;CENPE;TPX2;ANLN;CENPF;COL3A1;CDK6;DIAPH3;KIAA0101;PRC1;UBE2T;ITGA11;TACC3;TRIP13;CDKN3
DSigDB	estradiol CTD 00005920	379/4336	2.92983676495765e-24	2.597300292134957e-21	0	0	1.999600453478243	108.35254077845732	TES;RPL34;SERPINE1;COL12A1;NUDT1;ANTXR2;CLDN1;LIPA;SMC4;IL27RA;ELK3;SMC2;CDC20;LGALS1;GOLGA5;GJA4;CHEK1;FBXO5;LGALS8;PELO;SOX7;EPHB4;CCRN4L;ARRDC4;MEF2C;ENTPD1;MBNL1;HLA-H;STARD5;RECQL;HLA-B;DDX10;KRT7;TM4SF1;RUNX2;INPP4B;CLDN5;FNDC1;MTHFD2;CD109;PAPPA;PSME4;RIN3;C3ORF21;FAM64A;KIF20A;TP53;LXN;SHMT2;CDCA5;PDGFB;C1ORF198;CDCA8;IQGAP1;THY1;TXN;HSD11B2;HSPH1;PRDX4;RACGAP1;S100A16;ARSJ;STC2;GRPEL2;ST8SIA4;SERPINH1;PLEK2;LYAR;S100A11;S100A10;PLK4;STARD13;JAG1;MCAM;PLK2;FN1;LIF;IFI44;MICAL2;NMI;PARP14;PTK2;PARP12;ZWINT;COL1A1;ANLN;EHD2;TPX2;COL1A2;PAM;ADA;TOP2A;NRP1;COL18A1;ECM1;CDKN1A;KIF11;PTPRK;LRRC32;PRSS23;TRAM2;MEOX1;KIF15;LFNG;GLIPR1;TMEM44;SEC61G;HEY2;ENC1;CD36;TK1;TIMP1;JAK2;LMCD1;CD34;CEP55;HAVCR2;CAP1;CHST7;ANXA1;TNFRSF12A;ANXA2;RIPK2;SLC39A10;KIF23;BAZ1A;GNL2;PARP9;ENAH;MMP11;BACE2;UGDH;NR5A2;KIFC1;PTRH2;PXDN;MMP23A;CKS2;ANGPTL2;GARS;ARHGEF2;PLCB1;FJX1;DBN1;SDCCAG8;GRN;SP100;SAMD9;LRRC17;RPS27L;NEXN;CXCR4;TYMS;CRIP1;PAPSS2;LIMA1;FGD5;MTHFD1L;GPC1;OLFML1;STAT4;SPP1;ZNF469;CD58;BID;FILIP1L;ANKRD50;MAP4K4;IL32;CDKN2B;STAT1;CDKN2A;ATAD2;SULF1;CENPF;KRT18;TACC3;ZYX;CENPM;FAS;TRIP13;SPC24;CDKN3;CD86;SAMD9L;RIF1;ZWILCH;TNC;PLOD2;ARID4B;PLOD1;HNMT;ETS1;TNF;CTGF;CDH5;TUBB6;CCND1;PTTG1;PLAU;CAPN2;PAPOLA;NUSAP1;SACS;PLS3;OIP5;PHLDA2;TNFRSF4;TMSB10;ZNF443;PDGFRB;CAST;POSTN;IL4R;TPM4;TPM3;IGFBP3;TAP2;CYBB;TAP1;CYBA;VASH1;PUS7;SPOCD1;RAB32;RAB31;MELK;LOX;FANCD2;HAT1;FSCN1;S100A4;VCL;RAI14;COPB2;RNASEH2A;NNMT;NOTCH1;PSMD14;SHC1;CCL3L3;TARS;ARHGAP18;SLC1A5;HMMR;CSF2RA;FUT4;HSP90B1;SOCS3;CCNB2;SCIN;IRAK1;ECT2;KCNF1;STIL;UBE2C;ATP8B1;TGFB3;CAV1;CBX2;HSPA6;TRPV2;ISG15;SYNJ2;EIF2S1;NFKB2;EFNA1;PTPRE;DAP;MAFB;CDK6;TP53I3;COL5A1;UBE2T;COL5A2;MAFF;GNB4;HLA-DRA;ANXA2P3;TCF4;TGFBI;XAF1;ITGB1;KCNK6;DYRK2;MCTP1;TNFAIP6;PZP;MCM10;LAMC1;FOXM1;RND3;LASP1;SGOL2;CASP3;CASP4;PGM3;CASP1;ADAMTS9;TRPC6;APAF1;VWF;ITGA3;DDX58;ITGA2;ITGA1;SH2D3C;PLAUR;MMP9;ASPM;OAS2;OAS3;COL6A1;CDH11;BIRC5;COL6A3;MYH9;ITGA5;MNS1;BIRC2;TNFRSF21;CREB5;TMEM45A;PRKAA1;COL15A1;HDAC2;RGS19;LAMA4;TTK;GLRX;SEMA3F;MTIF3;TFPI;THBS2;TTL;THBS1;PPM1F;AURKB;AURKA;PDLIM1;PDLIM3;IFI16;CHSY1;SLITRK4;MKNK1;TP53INP1;CCL3;RBBP8;WBP5;CCL2;MAPK1;ASCC3;GBP1;BUB1;CMTM7;PPP1R14A;ANGPT2;KCNJ8;LAMB3;CMTM3;TMEM30B;LUM;TIE1;GALNT1;MX2;SPRY4;PTPN12;CDC42BPA;MYO1B;MARCKS;EVI2A;KIAA0101;PRC1;MGAT4A;IL2RB;RGS10;CEBPZ;ERCC6;CKLF
DSigDB	genistein CTD 00007324	149/1231	1.2106664972880461e-20	8.586046798766822e-18	0	0	2.5944701496328544	118.98377827882447	SERPINE1;COL12A1;PLOD1;CLDN1;SMC4;TNF;ACTB;CTGF;SMC2;CDC20;TUBB6;LGALS1;CCND1;CDH2;PLAU;CHEK1;FBXO5;PHLDA2;GTSE1;EPHB4;PDGFRB;IL4R;TPM3;IGFBP3;CYBA;INPP4B;MELK;C3ORF21;KIF20A;TP53;VCL;LXN;SHC1;CDCA5;SLC1A5;TXN;HIF1A;CORO1C;HSD11B2;SOCS3;CCNB2;RACGAP1;S100A16;STC2;TPR;ECT2;PLK4;VASP;KCNF1;MLKL;UBE2C;TGFB3;CAV1;PLK2;TNFRSF10B;INHBB;ISG15;SYNJ2;PTK2;ZWINT;NFKB2;COL1A1;PPFIBP1;MAFB;CDK6;TP53I3;ARPC2;UBE2T;TNFSF4;MAFF;PHF14;HLA-DRA;TCF4;FBN1;TOP2A;NRP1;COL18A1;CDKN1A;TNFAIP6;SCHIP1;PZP;MCM10;KIF11;LAMC1;PRSS23;MEOX1;KIF15;LFNG;ESM1;CASP3;ENC1;TK1;TIMP1;ADAMTS9;ADAMTS7;ANXA1;PLEKHG2;APAF1;TNFRSF12A;ITGA2;TUBB;KIF23;BAZ1A;MMP9;ASPM;UGDH;RCN1;COL6A1;BIRC5;MYH9;PLCB1;PRKAA1;CXCR4;TTK;TFPI;TYMS;CRIP1;THBS1;AURKB;PAPSS2;AURKA;CHSY1;TP53INP1;RBBP8;CCL2;E2F2;MAPK1;CD58;BID;GBP1;BUB1;CMTM7;PPP1R14B;CDKN2B;STAT1;ATAD2;VEGFC;CENPE;CENPF;KRT18;KIAA0101;PRC1;PPP2R2B;TACC3;RGS10;FAS;TRIP13;SEC24D;CDKN3
DSigDB	progesterone CTD 00006624	199/1915	1.1959876488722402e-19	7.068287004834938e-17	0	0	2.224735550907426	96.9320492903726	SPON2;SERPINE1;COL12A1;ANTXR2;CLDN1;SMC4;SMC2;CDC20;GJA4;LGALS8;GTSE1;PELO;SOX7;ACTN1;KRT7;RUNX2;INPP4B;CLDN5;FNDC1;MTHFD2;PAPPA;KIF20A;TP53;ENPEP;LXN;CFH;PDGFB;THY1;HSD11B2;RACGAP1;STC2;PLEK2;S100A10;VASP;PLK2;FN1;LIF;MICAL2;COL1A1;ANLN;EHD2;TPX2;PPFIBP1;COL1A2;ADA;TOP2A;NRP1;ECM1;CDKN1A;PAK1IP1;LRRC32;PRSS23;LFNG;GLIPR1;KCNT2;ENC1;TK1;TIMP1;JAK2;LMCD1;CEP55;CHST7;IFNGR1;TUBB;GNL2;MMP11;NR5A2;HCLS1;ANGPTL2;TAX1BP3;GARS;PLCB1;FJX1;TLR4;DBN1;SAMD9;LRRC17;CXCR4;TYMS;CRIP1;PAPSS2;LIMA1;OLFML1;SPP1;BID;FILIP1L;ANKRD50;MAP4K4;CDKN2B;ATAD2;PLXDC1;DCBLD2;CENPF;KRT18;CDKN3;F2RL3;OLFML2B;RIF1;TNC;TNF;CDH5;CCND1;PLAU;NUSAP1;PHLDA2;TNFRSF4;PDGFRB;IL4R;IGFBP3;F2R;TAP2;FRMD4A;VASH1;RAB31;COL4A1;FSCN1;RAI14;ARHGAP18;HMMR;CSF2RA;SOCS3;CCNB2;SCIN;IRAK1;LHFP;ATP8B1;TGFB3;CAV1;HSPA6;INHBB;SYNJ2;EFNA1;DIAPH2;MAFB;TP53I3;DIAPH3;COL5A2;HLA-DRA;TCF4;NES;KCNK6;DYRK2;TNFAIP6;LAMC1;RND3;TNFSF13B;SGOL2;ADAMTS2;RB1CC1;CASP3;PGM3;ADAMTS9;TRPC6;ITGA4;VWF;ITGA3;ITGA2;ITGA1;CKAP2;PLAUR;IRAK3;MMP9;ASPM;COL6A1;PECAM1;BIRC5;ITGA5;TNFRSF21;CREB5;TMEM45A;COL15A1;LAMA4;SEMA3F;TFPI;THBS2;THBS1;AURKA;PDLIM1;PPP2R3C;SLITRK4;RBBP8;CCL2;MAPK1;PPP1R14A;MARCKSL1;ANGPT2;KCNJ8;LAMB3;CMTM3;LUM;SPRY4;MYO1B;SNRK;MARCKS;EVI2A;KIAA0101;PRC1;IL2RB;METAP2
DSigDB	Enterolactone CTD 00001393	125/971	1.4718490937807134e-19	7.455966980780586e-17	0	0	2.750816455850454	119.28254613776237	ZWILCH;CSE1L;CCNF;NUDT1;PLOD2;CLDN1;SMC4;SMC2;LGALS1;PTTG1;ZC3H12A;CHEK1;NUSAP1;OIP5;FBXO5;PHLDA2;GTSE1;CAST;TM4SF1;SYTL2;RAB32;MELK;RAB31;FANCD2;FSCN1;FAM64A;KIF20A;PHLDB2;ASF1B;RNASEH2A;SHMT2;CDCA5;GMPS;CDCA8;HMMR;C1ORF112;CCNB2;NUAK1;PRDX4;RACGAP1;SMYD2;ST8SIA4;STK38L;ECT2;SNX6;S100A10;HOXC6;PLK4;STIL;JAG1;FBXO38;MCAM;CCDC14;TBCD;INHBB;ZWINT;EFNA1;FAM111A;ANLN;TPX2;DIAPH3;COL5A1;UBE2T;MAFF;CALU;ACBD3;FKBP11;TOP2A;CDKN1A;BMPR2;SH3KBP1;ICA1;MCM10;KIF11;TNFAIP1;FOXM1;PRSS23;SGOL2;RB1CC1;ENC1;PGM3;TK1;TOPBP1;CEP55;TNFRSF12A;ANXA2;ITGA2;TUBB;BACE2;ASPM;KIFC1;CKS2;BIRC5;TNFRSF21;DBN1;ITGB3BP;ROCK2;TTK;TYMS;TFPI;THBS1;AURKB;PAPSS2;AURKA;PDLIM1;TP53INP1;RBBP8;E2F2;CD59;FILIP1L;MAP4K4;CDKN2B;GALNT1;ATAD2;PTPN12;CENPF;MYO1B;KLHL5;KIAA0101;TACC3;TRIP13;CKLF;SPC24;CDKN3;METAP2
DSigDB	5-Fluorouracil CTD 00005987	143/1202	3.907645380924581e-19	1.7320638150948206e-16	0	0	2.5313023226287683	107.29224038367354	GUCY1B3;SPARC;CSE1L;CCNF;COL12A1;PLOD2;EPRS;ETS1;TNF;CTGF;IL27RA;CDC20;TIAL1;CCND1;PTTG1;PLAU;CHEK1;FBXO5;LGALS8;TMSB10;ENTPD1;MBNL1;POSTN;UNC5B;TAP2;TAP1;ATG12;SYTL2;MELK;COL4A2;SMS;S100A4;S100A3;TP53;VCL;EPHA2;LXN;SHMT2;CDCA5;TROAP;CSTF3;HTRA1;CDCA8;HMMR;HIF1A;CCNB2;IRAK1;ZMAT3;ECT2;CPA4;SNX6;S100A10;JAG1;YES1;UBE2C;CAV1;PLK2;TBCD;TNFRSF10B;ISG15;SMARCA1;PARP14;PTK2;TNFRSF10D;ANLN;EHD2;PPFIBP1;TP53I3;UBE2T;COL5A2;MAFF;TGFBI;XAF1;FKBP11;TOP2A;AVEN;NRP1;CDKN1A;FHL3;MCM10;PTPRK;TRIAP1;LAMC1;KIF15;SYNCRIP;LASP1;CASP3;CASP4;CASP1;TK1;TOPBP1;JAK2;ADAMTS9;CLIC1;CEP55;HTATIP2;CHST7;ANXA1;APAF1;ANXA2;TUBB;KIF23;MMP9;ENAH;UGDH;OAS2;CKS2;BIRC5;ANGPTL2;COL6A3;TAX1BP3;BIRC2;SDCCAG8;RPS27L;CXCR4;TFPI;TYMS;THBS1;AURKA;IFI16;TP53INP1;AP2S1;E2F2;MAPK1;BID;FILIP1L;MAP4K5;BUB1;MICB;ANGPT2;CDKN2A;NPM3;COL3A1;RIT1;MARCKS;KRT18;KIAA0101;PRC1;NEDD4;APOC1;FAS;CDKN3;METAP2
DSigDB	LUCANTHONE CTD 00006227	50/213	8.524563900901296e-19	3.35867817695511e-16	0	0	5.501511726891127	228.89680411021544	TOP2A;CDKN1A;MCM10;KIF11;IFI30;FOXM1;CLDN1;SMC4;KIF15;CDC20;SGOL2;NUSAP1;FBXO5;CEP55;ITGA3;KIF23;ASPM;MELK;KIFC1;PXDN;BIRC5;KIF20A;SPATA18;PRR11;TMEM45A;LXN;TTK;HMMR;AURKB;AURKA;CCNB2;RACGAP1;TP53INP1;ECT2;GBP1;BUB1;PLK4;ATAD2;GPR1;ZWINT;TPX2;ANLN;CENPE;CENPF;TP53I3;DIAPH3;KIAA0101;PRC1;UBE2T;CDKN3
DSigDB	resveratrol CTD 00002483	173/1601	9.94160729430796e-19	3.5252939465616027e-16	0	0	2.296433432375119	95.19264979199454	CD86;SPARC;ZWILCH;CSE1L;SERPINE1;NUDT1;PLOD2;CLDN1;SMC4;TNF;SMC2;CDH5;LGALS1;CCND1;CDH2;PTTG1;PLAU;CHEK1;NUSAP1;SACS;OIP5;KNTC1;FBXO5;GTSE1;PDGFRB;DAXX;MEF2C;IGFBP3;RUNX2;SYTL2;INPP4B;RAB31;MELK;FANCD2;PAPPA;FAM64A;KIF20A;TP53;PHLDB2;VCL;ASF1B;ZCCHC7;RNASEH2A;NOTCH1;SHMT2;CDCA5;TROAP;PDGFB;CDCA8;SLC1A5;HMMR;TXN;HIF1A;C1ORF112;HSP90B1;CORO1C;SOCS3;CCNB2;RACGAP1;ST8SIA4;STK38L;ECT2;HOXC6;PLK4;VASP;STIL;CAV1;MCAM;CCDC14;FN1;LIF;TNFRSF10B;EIF2S1;PTK2;ZWINT;NFKB2;COL1A1;EFNA1;FAM111A;ANLN;TPX2;CDK6;TP53I3;DIAPH3;COL5A1;UBE2T;NOX4;TCF4;NES;EIF4G2;ITGB1;FKBP11;TOP2A;CDKN1A;BMPR2;PLEK;MCM10;KIF11;FOXM1;PRSS23;PIK3CG;SGOL2;CASP3;ENC1;CASP4;CASP1;CD36;TK1;TOPBP1;LMCD1;CEP55;APAF1;ANXA2;ITGA2;DYNLT3;ITGA1;CKAP2;PLAUR;KIF23;MMP9;ASPM;HCK;RAP2A;CKS2;PECAM1;BIRC5;ITGA5;TLR4;BIRC2;TNFRSF21;DBN1;ITGB3BP;PRKAA1;GRN;SP100;LEF1;CXCR4;CRIP2;TTK;TYMS;UACA;CRIP1;AURKB;AURKA;PDLIM1;WRN;TP53INP1;SPP1;CCL3;RBBP8;CCL2;E2F2;MAPK1;BID;BUB1;MICB;CDKN2B;STAT1;CDKN2A;ATAD2;PTPN12;SULF1;CENPE;NECAP2;CENPF;MYO1B;KIAA0101;TACC3;CENPM;FAS;TRIP13;SPC24;CDKN3
