Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_down	ubiquinol 9962735 mouse GSE15129 sample 3451	69/381	2.5617646560623912e-17	2.313273484424339e-14	0	0	3.730410186352809	142.51379385119975	CYFIP2;THRA;PTPRN;CPNE6;DIRAS2;STMN4;FAIM2;SCAMP5;BZRAP1;DBP;BASP1;BSG;NEFH;SULT4A1;GABARAPL1;APLP1;SDHC;MAPK8IP2;SYN1;DNM1;BCAN;PCP4;MAG;EEF1A2;SNURF;ALDOC;FLYWCH1;VAMP2;CAMK2B;GPM6A;BRSK1;NDRG4;NDRG3;RTN1;WBP2;STXBP1;USP11;HPCA;ABHD8;PDXP;NDRG2;SYNGR1;PENK;NNAT;MBP;CKB;SNCB;CAMK2G;RHBDL1;SPTBN2;PRNP;CBX6;STARD10;TMEM132A;FBXL16;CORO2B;MT3;GRIN1;QDPR;NELL2;NSFL1C;PPP1R1B;PLP1;CNTN1;CSPG5;TMCC2;OSBPL1A;PFKM;ITM2C
Drug_Perturbations_from_GEO_down	resveratrol DB02709 mouse GSE11291 sample 3505	59/359	4.4486882219338404e-13	2.0085827322031286e-10	0	0	3.28955174488568	93.558131102992	THRA;PTPRN;CPNE6;HDAC11;STMN2;FAIM2;SCAMP5;C1QTNF4;BZRAP1;CAMKV;BASP1;FTH1;BSG;NEFL;PTGDS;SULT4A1;ELMOD1;APLP1;ATP1B1;SYN2;SYN1;DNM1;MAPK8IP1;PCP4;GAP43;VGF;EEF1A2;FLYWCH1;INA;VAMP2;SPTBN4;NDRG4;RTN1;WBP2;STXBP1;HPCA;PDXP;GNG3;PCBP4;NPY;GNG7;PENK;NNAT;CKB;SNCB;RHBDL1;ATP6V0A1;MPP2;GOT1;GAD1;FBXL16;MT3;GRIN1;NELL2;DLG4;SST;PPP1R1B;CSPG5;TMCC2
Drug_Perturbations_from_GEO_down	coenzyme Q10 5281915 mouse GSE15129 sample 3450	65/426	9.509008552768012e-13	2.8622115743831715e-10	0	0	3.0181337382045235	83.54606642768258	THRA;PTPRN;CPNE6;HDAC11;DIRAS2;STMN4;FAIM2;SCAMP5;BZRAP1;CAMKV;BASP1;BAI3;PHACTR3;NEFL;NEFM;NEFH;GLUL;SULT4A1;GABARAPL1;SLC6A17;ELMOD1;APLP1;SYN2;SYN1;KCTD6;DNM1;PCP4;EEF1A2;CRY2;SCG5;INA;VAMP2;CAMK2B;GPM6A;RTN1;WBP2;ARL3;STXBP1;GPR88;HPCA;ABHD8;NDRG2;TTR;SV2B;NNAT;PENK;CKB;NPTX1;SNCB;RAB6B;SPTBN2;PRNP;CBX6;ATP2B2;FBXL16;CORO2B;NELL2;PPP1R1A;SST;PPP1R1B;CSPG5;KCNK1;PFKM;HSPA1B;ITM2C
Drug_Perturbations_from_GEO_down	candesartan DB00796 rat GSE2739 sample 2687	57/369	1.478550390338101e-11	3.3378275061882633e-09	0	0	3.048328135828136	76.0172984355341	ATP2A2;STMN4;FAIM2;GRM3;FTH1;BSG;ENPP2;PTGDS;GLUL;CHGB;SREBF1;SNRPN;MAPK8IP2;ATP1B1;SOX10;DNM1;MAPK8IP1;BCAN;MAG;ERP29;MAL;MAPT;UBA52;SLC25A4;CAMK2B;NDRG4;RTN1;SDC4;SLC20A2;STXBP1;HPCA;PPAP2C;SLC3A2;NDRG2;TTR;PCBP4;APOD;MBP;CKB;DYNC1I1;SPTBN2;PRNP;GOT1;SSH3;MT3;QDPR;GNAO1;NELL2;SLC6A9;DLG4;DNAJA4;REEP2;PLP1;PMP22;CSPG5;HSPA1B;HSPA1A
Drug_Perturbations_from_GEO_down	halothane 3562 rat GSE6433 sample 3652	41/250	1.792090258515823e-09	3.236515006879576e-07	0	0	3.244682026396526	65.34751689060519	FKBP2;NDRG4;NDRG3;PTPRN;HPCA;PRKAG1;FAIM2;CAMKV;BASP1;NPY;BSG;NNAT;CKMT1B;ST3GAL5;NEFL;APOD;NEFM;MBP;CKB;HES5;CHGA;SREBF1;MECR;SVOP;SLC32A1;B3GAT1;CCK;MT3;SYN1;DNM1;DLK1;BCAN;MAG;VGF;SST;EEF1A2;PLP1;MAL;CSPG5;HAGH;VAMP2
Drug_Perturbations_from_GEO_down	corticosterone 5753 rat GSE37618 sample 3094	43/281	6.3247119413267635e-09	9.358610061676216e-07	0	0	2.988968719160262	56.42814667916149	GRP;HSPB6;C1R;STXBP1;SLC2A1;TGFA;GRIK1;FAIM2;NOL3;SULT1A1;CALB2;GABRR1;RELN;AKR7A3;TTR;DPYSL4;CYP11A1;PENK;NNAT;PDK4;ACP5;APOD;NEFM;HMGCS2;GLUL;NEFH;PRPH;GSTM2;GAD1;NOG;F3;QDPR;PKIB;GAP43;VGF;SST;EEF1A2;PLP1;MAL;CSPG5;CYCS;KCNK1;INA
Drug_Perturbations_from_GEO_down	methamphetamine 10836 mouse GSE30305 sample 2616	38/232	7.254736481919546e-09	9.358610061676216e-07	0	0	3.233780464419749	60.606256408127535	CDKN1C;SLC22A6;FKBP2;GRP;IGSF1;FBLN1;NCALD;FOXQ1;CALB2;PANX2;RIMS3;GPC3;PIP5K1B;OTX2;PTGDS;RXRG;GALNT9;RPRM;NTNG1;GSTM2;SLC13A4;IRX6;TNNC1;ECEL1;SLC6A13;IGF2;SLC6A12;CCK;DLK1;MYL4;TMEM178;PCP4;SLC25A18;OPN1MW;DCT;ALDH1A2;RDH5;PVALB
Drug_Perturbations_from_GEO_down	cocaine 446220 human GSE54839 sample 2472	44/294	8.436007928104754e-09	9.52214394884824e-07	0	0	2.9123846838824576	54.143434884208894	CYFIP2;BRSK1;NDRG4;WBP2;MT1M;STMN2;SLC2A1;ATP2A2;NDRG2;THBS4;CYB5R2;BCL2L13;RIMS3;BASP1;GNG7;BSG;NEFL;CAPN3;NRIP3;APOD;NEFM;MBP;STXBP6;CKB;KIF3C;PTGDS;NEFH;RAB6B;PRNP;CBX6;GOT2;OMG;CRYBB2;ATP1B1;MT3;PCP4;MAG;TMEM98;ALDH1A1;MT1G;MAL;ALDOC;INA;PVALB
Drug_Perturbations_from_GEO_down	carboplatin DB00958 human GSE49577 sample 3175	37/264	6.785559331641684e-07	6.624585785711291e-05	0	0	2.6838018010993725	38.118839235315846	CLIC6;HIST2H2AA3;PTPRU;MESP1;PFKFB3;GLDC;MAGEF1;SLC2A1;SAT2;OGDHL;C1ORF53;HIST2H2AC;TM7SF2;FOXQ1;CYP4X1;CRTAC1;RAB26;SOX15;CHCHD6;CA4;MFSD3;RSPO3;HMGCS2;PTGDS;HIST1H2AC;GARNL3;MOAP1;PRRT3;PNMA2;PRSS33;NIPSNAP1;PCP4;HIST3H2A;SCG5;MAL;ALDOC;ATP6V1B1
Drug_Perturbations_from_GEO_down	acrylamide 6579 rat GSE29004 sample 3109	32/212	7.336196883401209e-07	6.624585785711291e-05	0	0	2.921664219285365	41.26931078408664	CFD;NDRG4;RETSAT;SEMA3B;ART3;TM7SF2;CYB5R2;ALDH2;FTH1;PRX;PMVK;NNAT;MBP;NEFH;FDFT1;PRNP;ACSL1;TSC22D3;RARRES2;HSPA12A;MT3;MAPK8IP1;NET1;RBP7;RBP4;ALDH6A1;MAG;SLC6A8;PMP22;MAL;CDO1;HSPA1B
