Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_down	vemurafenib DB08881 human GSE37441 sample 2564	92/358	4.548338051410674e-37	4.107149260423839e-34	0	0	6.427289559891753	537.841288407968	TOP2A;CSE1L;SCHIP1;NUDT1;TNC;MCM10;KIF11;FOXM1;SMC4;RND3;KIF15;CTGF;CDC20;TUBB6;SPRED1;CCND1;PTTG1;CHEK1;NUSAP1;KNTC1;OIP5;TK1;GTSE1;LMCD1;ADAMTS9;CEP55;CCRN4L;ANXA1;TNFRSF12A;ACTN1;TUBB;PLAUR;KIF23;SERPINB8;ASPM;MELK;LOX;KIFC1;CKS2;BIRC5;FAM64A;KIF20A;MNS1;RPL29;PFN1;PRR11;TNFRSF21;ASF1B;RNASEH2A;NNMT;PSMD14;CDCA5;TROAP;CDCA8;TTK;HMMR;TYMS;HIF1A;C1ORF112;AURKB;AURKA;CCNB2;RACGAP1;IRAK1;CHSY1;KDELC2;PRKCDBP;E2F2;ECT2;LYAR;BUB1;PLK4;CMTM7;STIL;UBE2C;ATAD2;RPP40;ZWINT;DCBLD2;TPX2;ANLN;CENPE;CENPF;KIAA0101;PRC1;UBE2T;TACC3;CENPM;TRIP13;CKLF;SPC24;CDKN3
Drug_Perturbations_from_GEO_down	VX 39793 human GSE33606 sample 3376	91/367	2.4599675114716787e-35	1.1106753314294631e-32	0	0	6.117699491887523	487.5214920324108	OLFML2B;TGFB1I1;GPR65;SERPINE1;GIMAP4;PRSS23;ETS1;KIF15;CTGF;CDC20;HERC4;GLIPR1;LGALS1;CCND1;CDH2;PPP1R13L;ADORA3;ENC1;EPSTI1;LMCD1;CEP55;ANXA1;TPM4;ITGA3;ITGA2;C10ORF54;RNASE6;KRT7;MMP9;SYTL2;HCK;MS4A6A;SLC7A7;TYROBP;MELK;COL4A1;SMS;HCLS1;MYH9;S100A4;KIF20A;ITGA5;FJX1;TLR4;TNFRSF21;FAM60A;EPHA2;RAI14;CREB5;LXN;IGSF6;C5AR1;NEXN;ARHGAP18;IQGAP1;HMMR;ARHGAP15;FSTL1;THBS1;CORO1C;PDLIM1;IFI16;ARSJ;STAT4;STK38L;CCL2;FILIP1L;GBP1;CDKN2B;CD163;MLKL;LAMB3;MCAM;PLK2;CAV1;HSPA6;LAPTM5;LY86;VEGFC;TPX2;ANLN;CENPE;MARCKS;DIAPH3;EVI2A;PRC1;MAFF;ZYX;HLA-DRA;TRIP13;PAM
Drug_Perturbations_from_GEO_down	cisplatin DB00515 mouse GSE6206 sample 2692	77/307	2.236481847809434e-30	6.731810361906396e-28	0	0	6.141517895276331	419.2976941315921	ITGB1;NRP1;SPARC;SH3KBP1;TGFB1I1;SERPINE1;COL12A1;TNC;PRSS23;RND3;CTGF;GLIPR1;CDH2;TMSB10;CCRN4L;CAP1;SH3GLB1;ACTR3;MBNL1;POSTN;ANXA1;UNC5B;ACTN1;F2R;REXO2;HSPG2;ENAH;ADAM19;RCN3;RCN1;COL4A2;LOX;MTHFD2;COL4A1;PAPPA;CDH11;FSCN1;MYH9;TAGLN2;GARS;KDELR3;ITGA5;TLN1;PFN1;PHLDB2;VCL;PPIC;MEG3;HTRA1;IQGAP1;NID1;THBS2;FSTL1;THBS1;HSP90B1;PDLIM1;CALD1;SERPINH1;PRKCDBP;WBP5;TXNDC5;TGFB3;FN1;MSN;CDC42BPA;COL1A1;SPCS3;COL3A1;DAP;COL1A2;COL5A1;NEDD4;COL5A2;CALU;ZYX;CD248;FBN1
Drug_Perturbations_from_GEO_down	cisplatin DB00515 mouse GSE6206 sample 3412	78/321	9.336699435286837e-30	2.1077598975160036e-27	0	0	5.890139237894072	393.7181110416634	ITGB1;NRP1;TES;SPARC;SH3KBP1;TGFB1I1;SERPINE1;COL12A1;TNC;LOXL3;PRSS23;CTGF;GLIPR1;LASP1;CDH2;CAPN2;TIMP1;CAP1;ACTR3;MBNL1;POSTN;ANXA1;ANXA2;UNC5B;ACTN1;F2R;REXO2;HSPG2;ENAH;ADAM19;RCN3;RCN1;COL4A2;LOX;COL4A1;PAPPA;CDH11;FSCN1;MYH9;GARS;ITGA5;TLN1;PFN1;PHLDB2;VCL;PPIC;MEG3;HTRA1;IQGAP1;NID1;THBS2;FSTL1;THBS1;FAM129B;HSP90B1;CALD1;SERPINH1;WBP5;TXNDC5;VASP;TGFB3;CAV1;FN1;MSN;COL1A1;FKBP1A;SPCS3;COL3A1;DAP;COL1A2;COL5A1;NEDD4;COL5A2;CALU;ZYX;CD248;SEC24D;FBN1
Drug_Perturbations_from_GEO_down	BPDE 41322 human GSE19510 sample 3379	74/300	9.983196961591627e-29	1.8029653712634483e-26	0	0	5.990335693793175	386.2212888258117	TOP2A;SPON2;CSE1L;SERPINE1;GDI2;TNC;SMC4;CDC20;TUBB6;PTTG1;PLAU;SEC61G;NUSAP1;SACS;SH3BGRL3;TIMP1;CEP55;POSTN;TPM4;TUBB;IGFBP3;PLAUR;MELK;COL4A2;LOX;MTHFD2;COL4A1;PXDN;CKS2;SMS;COL6A3;BIRC5;TAGLN2;GARS;KIF20A;ITGA5;PFN1;PRR11;COL15A1;RNASEH2A;NNMT;PSMD14;SHMT2;HTRA1;CDCA8;SLC1A5;HMMR;TYMS;THBS1;AURKA;RACGAP1;S100A16;SERPINH1;CCL2;RPL17;TXNDC5;CTHRC1;UBE2C;FN1;ZWINT;COL1A1;TPX2;ANLN;COL3A1;COL1A2;COL5A1;KIAA0101;PRC1;UBE2T;CALU;ZYX;TRIP13;TGFBI;CDKN3
Drug_Perturbations_from_GEO_down	vemurafenib DB08881 human GSE37441 sample 2561	77/335	1.1122743062897304e-27	1.6739728309660444e-25	0	0	5.466787743104735	339.28738339449325	TOP2A;CSE1L;SERPINE1;CCNF;MCM10;KIF11;FOXM1;SMC4;SMC2;KIF15;CDC20;SYNCRIP;TUBB6;PTTG1;NUSAP1;OIP5;FBXO5;TK1;GTSE1;CEP55;TNFRSF12A;TUBB;CKAP2;KRT7;KIF23;ASPM;MELK;KIFC1;CKS2;SMS;BIRC5;FAM64A;KIF20A;RPL29;PRR11;ASF1B;RNASEH2A;CDCA5;TROAP;CDCA8;TTK;HMMR;TYMS;THBS1;C1ORF112;AURKB;AURKA;CCNB2;RACGAP1;IRAK1;S100A16;PRKCDBP;E2F2;ECT2;LYAR;BUB1;PLK4;STIL;UBE2C;ATAD2;LIF;MICAL2;ZWINT;TPX2;FAM111A;ANLN;CENPE;CENPF;DIAPH3;KIAA0101;PRC1;UBE2T;TACC3;CENPM;TRIP13;SPC24;CDKN3
Drug_Perturbations_from_GEO_down	BPDE 41322 human GSE19510 sample 3377	68/274	1.1974352763530032e-26	1.5446915064953742e-24	0	0	6.01020977302162	358.73157354076693	TOP2A;SPARC;CSE1L;SERPINE1;GDI2;TNC;SMC4;ACTB;CDC20;TUBB6;LASP1;PTTG1;RARS;NUSAP1;CAPN2;SACS;CLIC1;CEP55;CAP1;ACTR3;ANXA2;TNFRSF12A;TPM4;ACTN1;TUBB;CKAP4;MELK;COL4A2;LOX;MTHFD2;PXDN;CKS2;SMS;COL6A3;KDELR2;TAGLN2;GARS;KIF20A;ITGA5;PFN1;PRR11;DYNC1I2;PSMD14;LRRC17;CDCA8;HMMR;HSP90B1;CORO1C;AURKA;RACGAP1;S100A16;SERPINH1;UBE2C;CAV1;FN1;VEGFC;MSN;ZWINT;COL1A1;TPX2;ANLN;COL3A1;MARCKS;COL1A2;KIAA0101;PRC1;UBE2T;CDKN3
Drug_Perturbations_from_GEO_down	sunitinib 5329102 rat GSE6929 sample 2491	84/414	4.2561706503406045e-26	4.804152621571957e-24	0	0	4.676737703443935	273.2096036395869	NRP1;PLVAP;TES;SPARC;SCHIP1;PLEK;DYSF;PLOD2;MCM10;SLC2A5;PRSS23;ETS1;SMC2;PYCARD;STK10;GLIPR1;CCND1;PTTG1;GJA4;CHEK1;STAB1;ARHGDIB;NUSAP1;TMSB10;SOX7;CLIC1;CCRN4L;ARRDC4;EGFL7;TRPC6;IFNGR1;F2R;ITGA1;CKAP2;GPX7;IRAK3;RUNX1;TLR1;CLDN5;FNDC1;COL4A2;LOX;MTHFD2;KIFC1;COL4A1;COL6A3;TAGLN2;PPIC;C5AR1;HMMR;AURKA;CCNB2;FGD5;PDLIM3;RACGAP1;SMYD2;WBP5;ECT2;BUB1;S100A11;S100A10;CTHRC1;PLK4;ANGPT2;UBE2C;LUM;CAV1;LY86;ISG15;COL1A1;FAM111A;CENPF;COL1A2;PRC1;FES;MAFF;COL5A2;ALOX5AP;GNB4;RGS10;FXYD5;ALDH18A1;CDKN3;FBN1
Drug_Perturbations_from_GEO_down	rosiglitazone DB00412 mouse GSE35011 sample 3267	66/271	2.1555051340305777e-25	2.1626901511440133e-23	0	0	5.850814193273128	332.306366444222	SPARC;RPL34;SERPINE1;TNC;LOXL3;PLOD2;PRSS23;ACTB;CTGF;TUBB6;LASP1;LGALS1;PLS3;SH3BGRL3;TIMP1;CLIC1;PDGFRB;ACTR3;ANXA1;TPM4;ACTN1;F2R;TM4SF1;CKAP4;RCN3;RCN1;COL4A2;LOX;COL4A1;RHOJ;CDH11;COL6A3;MYH9;KDELR2;TAGLN2;S100A4;PHLDB2;VCL;PPIC;TMEM45A;HTRA1;THY1;THBS2;FSTL1;CRIP1;NID2;THBS1;FAM129B;HSP90B1;S100A16;CALD1;SERPINH1;SPP1;WBP5;PLK2;FN1;MSN;COL1A1;COL3A1;COL1A2;COL5A1;ARPC2;COL5A2;CALU;FXYD5;FBN1
Drug_Perturbations_from_GEO_down	BPDE 41322 human GSE19510 sample 3378	61/248	8.466632426184738e-24	7.645369080844818e-22	0	0	5.905098315042563	313.71371802789207	TOP2A;CSE1L;SERPINE1;GDI2;TNC;SMC4;RND3;CTGF;CDC20;TUBB6;PTTG1;RARS;NUSAP1;SACS;TIMP1;CLIC1;CEP55;CAP1;ACTR3;TPM4;DYNLT1;TUBB;IGFBP3;MELK;COL4A2;LOX;PXDN;CKS2;SMS;COL6A3;GARS;KIF20A;ITGA5;NNMT;PSMD14;POMP;CDCA8;GLRX;HMMR;CORO1C;AURKA;RACGAP1;CHSY1;S100A16;SERPINH1;CCL2;RPL17;UBE2C;CBX3;CAV1;FN1;VEGFC;COL1A1;TPX2;ANLN;COL3A1;MARCKS;COL1A2;PRC1;TGFBI;CDKN3
Drug_Perturbations_from_GEO_down	Y15 23627197 human GSE43452 sample 2553	58/235	9.119717619830388e-23	7.486459100642583e-21	0	0	5.917896583473623	300.32744200033943	TOP2A;FHOD1;CCNF;PLOD2;MCM10;KIF11;FOXM1;KIF15;CHEK1;TNFAIP8L1;NUSAP1;PGM2;OIP5;TK1;TOPBP1;GTSE1;PLEKHG1;ITGA4;ACTN1;TUBB;FRMD4A;TM4SF1;ASPM;MELK;KIFC1;SMS;BIRC5;FAM64A;KIF20A;PRR11;CDCA8;NEXN;HMMR;FSTL1;THBS1;AURKB;AURKA;LIMA1;CCNB2;KDELC2;SMYD2;E2F2;CCL2;ECT2;BUB1;PLK4;ATAD2;SYNJ2;TPX2;FAM111A;ANLN;CENPE;CENPF;MARCKS;PRC1;COL5A2;TRIP13;NES
Drug_Perturbations_from_GEO_down	hydrocortisone DB00741 human GSE7890 sample 2751	65/295	1.8545190876034376e-22	1.3955256134215872e-20	0	0	5.123997467285775	256.40097302461123	ITGB1;ECM1;SPARC;SERPINE1;TNC;PLOD2;PLOD1;RND3;ACTB;CTGF;CCND1;CDH2;SEC61G;SH3BGRL3;TIMP1;CLIC1;POSTN;TNFRSF12A;DYNLT1;ACTN1;IGFBP3;HLA-B;HSPG2;CKAP4;FNDC1;COL4A2;LOX;MTHFD2;COL6A3;GARS;S100A4;PFN1;PPIC;COL15A1;HTRA1;THY1;SLC1A5;THBS2;THBS1;HSP90B1;LIMA1;PRDX4;SERPINH1;S100A11;HOXC6;OSBPL8;LUM;MICAL2;VEGFC;SULF1;COL1A1;COL3A1;MARCKS;COL1A2;FAP;COL5A1;ARPC2;COL5A2;ITGA11;CALU;ZYX;TGFBI;PAM;NUCB2;FBN1
Drug_Perturbations_from_GEO_down	resveratrol DB02709 human GSE25412 sample 3500	67/350	1.3674077656800591e-19	9.498224710839181e-18	0	0	4.288659581196463	186.28307513457116	TOP2A;SAMD9L;CCNF;MCM10;KIF11;FOXM1;SMC4;SMC2;KIF15;CDC20;SGOL2;PTTG1;CHEK1;NUSAP1;KNTC1;OIP5;FBXO5;GTSE1;CEP55;KIF23;PARP9;ASPM;MELK;KIFC1;FANCD2;OAS2;OAS3;C18ORF54;BIRC5;FAM64A;PRR11;ENPEP;SAMD9;CDCA5;TROAP;CDCA8;TTK;HMMR;AURKB;AURKA;CCNB2;RACGAP1;E2F2;ECT2;BUB1;PLK4;STIL;MLKL;UBE2C;MX2;ATAD2;IFI44;ISG15;SULF1;ZWINT;TPX2;ANLN;CENPE;CENPF;KIAA0101;PRC1;UBE2T;TACC3;TRIP13;XAF1;SPC24;CDKN3
Drug_Perturbations_from_GEO_down	calcitriol 5280453 human GSE52819 sample 3126	68/370	7.136629071118085e-19	4.6031257508711645e-17	0	0	4.078631905440523	170.42105068757954	TOP2A;CCNF;MCM10;KIF11;SLC2A5;FOXM1;SMC2;KIF15;CHEK1;NUSAP1;KNTC1;FBXO5;TK1;GTSE1;CEP55;ZNF443;LRRCC1;IFNGR1;CD300A;CKAP2;CYBB;KIF23;HCK;MELK;KIFC1;FANCD2;C18ORF54;KDELR3;PRR11;ITGB3BP;ASF1B;IGSF6;RNASEH2A;CDCA5;CDCA8;TTK;TYMS;NID1;C1ORF112;SCIN;RACGAP1;KDELC2;RAB23;RBBP8;E2F2;BUB1;PLK4;STIL;CCDC14;ATAD2;ZWINT;TPX2;ANLN;CENPE;CENPF;DIAPH3;FCGR2A;KIAA0101;PRC1;UBE2T;TACC3;CSPG4;TRIP13;TGFBI;SPC24;NUCB2;CDKN3;MYO1G
Drug_Perturbations_from_GEO_down	PD173074 1401 human GSE52452 sample 2578	75/439	8.57923528014271e-19	5.164699638645912e-17	0	0	3.745353910795087	155.8058686942548	TOP2A;MCTP1;CCNF;MCM10;KIF11;FOXM1;SMC4;SMC2;KIF15;SGOL2;SPRED1;CCND1;PTTG1;CHEK1;NUSAP1;SACS;OIP5;KNTC1;TK1;FBXO5;TOPBP1;GTSE1;CEP55;ITGA2;CKAP2;KIF23;PUS7;ASPM;MELK;KIFC1;FANCD2;HAT1;C18ORF54;CKS2;BIRC5;S100A3;MNS1;PRR11;TLR4;ITGB3BP;ASF1B;RNASEH2A;CDCA5;TROAP;CDCA8;TTK;HMMR;C1ORF112;AURKB;AURKA;CCNB2;RACGAP1;RAB23;PLEK2;ECT2;LYAR;BUB1;PLK4;STIL;UBE2C;ATAD2;ZWINT;CENPE;TPX2;ANLN;CENPF;DIAPH3;KIAA0101;PRC1;UBE2T;TACC3;CENPM;TRIP13;SPC24;CDKN3
Drug_Perturbations_from_GEO_down	vemurafenib DB08881 human GSE63790 sample 2508	64/341	2.6057804937161177e-18	1.470637366141034e-16	0	0	4.17453175389636	169.0217788970585	TOP2A;PAK1IP1;TGFB1I1;LST1;IFI30;TNF;ACTB;PIK3CG;SPRED1;LGALS1;MRPL1;CCND1;PTTG1;ENC1;ITGAX;TIMP1;SPA17;CLIC1;CCDC50;TUBB;RNASE6;PLAUR;PUS7;TLR1;RCN1;MTHFD2;PXDN;CDH13;GARS;PFN1;DBN1;CREB5;RGS19;PSMD14;SHMT2;TXN;TYMS;PDLIM1;PRDX4;KDELC2;FILIP1L;CD300LF;S100A11;VASP;LRRC25;MARCKSL1;ANGPT2;CMTM3;SIGLEC10;EMR2;TRPV2;NPM3;ZWINT;FKBP1A;ANLN;MARCKS;TP53I3;KIAA0101;MAFF;ALOX5AP;ZYX;FAS;NES;CKLF
