Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_up	morphine 5288826 mouse GSE7762 sample 3490	60/323	9.568716379492516e-16	8.669257039820219e-13	0	0	3.82701165414696	132.3490175191601	CYFIP2;PRDM8;PITPNA;SLC2A1;FAIM2;BZRAP1;BASP1;FTH1;PHACTR3;NEFL;NEFM;PTGDS;SULT4A1;CHGB;SREBF1;FBXO2;TSC22D3;CIRBP;SYN1;DNM1;TMEM178;VSNL1;MAP7D2;CRY2;AMPH;IGFALS;INA;PVALB;FKBP5;NAPB;NDRG3;HLF;WBP2;KCNA5;RTN4;NCALD;SULT1A1;GNG3;SV2B;NPY;APOD;RPRML;NPTX1;SNCB;RAB6B;CAMK2G;OPCML;ZBTB16;LGI3;TMEM132A;HAGHL;CADPS;CCK;CORO2B;CPEB1;SST;KLF9;OSBPL1A;PFKM;GSTM5
Drug_Perturbations_from_GEO_up	isoflurane 3763 rat GSE6433 sample 3653	55/310	1.1257376707530393e-13	5.099591648511268e-11	0	0	3.603434899139512	107.4370157447355	PTPRN;PITPNA;SLC2A1;CLTA;STMN4;CALB2;FTH1;BSG;ENPP2;NEFL;NEFM;GLUL;NEFH;CHGB;SNRPN;MAPK8IP2;DNM1;MAPK8IP1;PCP4;MAG;VSNL1;EEF1A2;ALDH1A1;VAMP1;MAL;ALDOC;AMPH;MAPT;CASQ1;SLC25A4;VAMP2;PVALB;CAMK2B;RTN1;HLF;STXBP1;SLC3A2;NDRG2;DPP6;RELN;TTR;PCBP4;MBP;CKB;SNCB;DYNC1I1;ATP6V0A1;PRNP;GRIN2C;SSH3;GNAO1;ALDH6A1;SLC6A9;REEP2;CSPG5
Drug_Perturbations_from_GEO_up	morphine 5288826 mouse GSE7762 sample 3492	48/272	5.111298234338974e-12	1.5436120667703702e-09	0	0	3.5635771734967445	92.65146592796565	CAMK2B;NAPB;NDRG3;WBP2;SLC2A1;SLC3A2;CELSR3;BZRAP1;PCBP3;SV2B;BASP1;SV2A;FTH1;NPY;CHCHD6;ENSA;ADORA1;APOD;RPRML;CKB;NPTX1;PTGDS;SNCB;CAMK2G;HES5;CHGB;OPCML;GSN;FBXO2;TSC22D3;ZBTB16;TMEM132A;HAGHL;CIRBP;CCK;TMEM178;SBK1;CRY2;CSPG5;TAGLN3;IGFALS;OSBPL1A;UBA52;PFKM;HSPA1B;GSTM5;HSPA1A;FKBP5
Drug_Perturbations_from_GEO_up	vemurafenib DB08881 human GSE37441 sample 2564	44/242	1.4113477118284471e-11	3.1967025672914327e-09	0	0	3.6875432868309095	92.12917935550234	OCA2;ST6GALNAC2;RETSAT;CITED1;BNC2;HPGD;PRUNE2;TYRP1;AFF3;TSPAN10;TRPM1;EDNRB;MLANA;GNG7;HSF4;CAPN3;ACP5;RGS20;STK32A;HIST1H2AC;HES6;GABARAPL1;TRIM63;SERPINF1;ADHFE1;KCNJ13;STARD10;KLHDC8B;TYR;ALDH6A1;GPR143;HIST3H2A;MLPH;ANGPTL7;DCT;ILVBL;PLP1;PIR;CRYL1;RAB38;IL17D;LPIN1;MET;HIST1H2BD
Drug_Perturbations_from_GEO_up	vemurafenib DB08881 human GSE37441 sample 2563	41/237	3.4235977571889515e-10	5.370716803607509e-08	0	0	3.4623056149635696	75.4615012324463	FHOD3;OCA2;ST6GALNAC2;SDC4;CITED1;BNC2;HPGD;PRUNE2;TYRP1;TRAK1;TSPAN10;TRPM1;EDNRB;DBP;FAM53B;STXBP6;RNF150;OTX1;STK32A;DYNC1I1;TFAP2A;MYLIP;TRIM63;ADHFE1;KCNJ13;STARD10;OMG;KLHDC8B;TEX2;ATP1B1;DEXI;MEIS1;ANGPTL7;DCT;ILVBL;TOLLIP;CTH;PLP1;GAS1;IL17D;LPIN1
Drug_Perturbations_from_GEO_up	phenytoin 1775 rat GSE2880 sample 3033	56/389	3.556766095104311e-10	5.370716803607509e-08	0	0	2.8002800280028004	60.92569032391865	CYFIP2;MYT1L;CTNND2;PTPRN;HDAC11;ATP2A2;GRM3;JPH3;CAMKV;CKMT1B;BSN;NEFH;CHGB;GABARAPL1;APLP1;TMEM130;GABRG2;SYN1;DNM1;FNDC5;PCP4;PITPNM1;KCNQ2;EEF1A2;MAL;ALDOC;MAPT;UBA52;INA;VAMP2;BRSK1;NAPB;RTN1;RETSAT;SEZ6;TRAK1;NDRG2;ABR;SV2A;NNAT;PENK;APOD;CKB;NPTX1;SNCB;RAB6B;CAMK2G;ATP6V0A1;SPTBN2;CBX6;GAD1;CADPS;HSPA12A;MEIS2;NELL2;PPP1R1B
Drug_Perturbations_from_GEO_up	isoflurane 3763 rat GSE6433 sample 3654	48/316	1.0767118540341721e-09	1.393572771078514e-07	0	0	2.971469729102477	61.358930394671255	RTN1;STXBP1;PITPNA;HPCA;CLTA;ATP2A2;STMN4;NDRG2;CALB2;RELN;DBP;TTR;DPYSL4;PCBP4;FTH1;ENPP2;CKMT1B;NEFL;APOD;NEFM;MBP;CKB;PTGDS;GLUL;NEFH;DYNC1I1;CHGB;PRNP;GOT1;GAD1;CADPS;MAPK8IP2;MT3;DNM1;QDPR;GNAO1;NSFL1C;PCP4;MAG;GAP43;ALDH1A1;PLP1;MAL;CYCS;ALDOC;MAPT;UBA52;PVALB
Drug_Perturbations_from_GEO_up	creatine 586 mouse GSE5140 sample 3205	56/421	6.751494872461351e-09	7.64606794306248e-07	0	0	2.5503569535035697	47.981145375101	CYFIP2;CTNND2;DIRAS2;STMN2;GRM3;DBP;CAMKV;PHACTR3;CHGB;APLP1;OMG;GPR37L1;SYN1;DNM1;MAPK8IP1;TMEM178;PCP4;GAP43;VSNL1;MAP7D2;SCG5;MAPT;NAPB;FKBP2;NDRG3;HLF;WBP2;STXBP1;HPCA;PDXP;SLC3A2;NCALD;GNG3;TTR;PGBD5;NPTX1;RAB6B;SPTBN2;OPCML;CBX6;TMEM132A;CCK;ATP2B2;FBXL16;NELL2;GNAO1;NSFL1C;SST;DLG4;CNTN1;CSPG5;TMCC2;PFKM;ITM2C;MEGF9;HCN1
Drug_Perturbations_from_GEO_up	2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	44/297	1.1533100238040209e-08	1.1609987572960476e-06	0	0	2.8773858840837816	52.59298767702109	BEX2;NDRG4;PNCK;RTN1;STXBP1;HDC;HDAC11;ARHGDIG;CLTA;ATP2A2;SPINT2;TRAK1;NDRG2;RND2;RTN4;CALB2;ABR;FTH1;NNAT;KIF3C;ENPP5;ATP6V0A1;PRPH;NTNG1;LRRC23;TSC22D3;APLP1;SDHC;CCK;ATP1B1;TMEM130;QDPR;NELL2;PCP4;GAP43;EEF1A2;SCG5;SNURF;CSPG5;ALDOC;TAGLN3;INA;PFKM;ITM2C
Drug_Perturbations_from_GEO_up	trichostatin A 444732 mouse GSE1437 sample 3085	65/557	7.427641313845956e-08	6.598541630087422e-06	0	0	2.198819957800304	36.094668307889016	CDKN1C;RYR1;MYOM1;SLC23A2;SH3GL3;CITED1;HSPB8;SLC4A5;ELAVL3;CALB2;BAIAP2L1;GNGT2;ENPP2;NEFM;NEFH;TGM2;HIST1H1C;GABARAPL1;SLC32A1;AHSG;ROM1;USP2;MYO7A;MYL4;RBP4;PCP4;VSNL1;ALDH1A2;ADSSL1;PKP2;MAPT;FBP2;CAMK2B;OCA2;NDRG4;RTN1;RETSAT;HPGD;HDC;HPCA;SELENBP1;SLC9A3R1;RELN;TSPAN8;APOD;CKB;RHBDL3;PRPH;CBX7;GSN;EYA2;EPHX2;STARD10;CADPS;IGF2;KAZALD1;PKIB;CYP26A1;MEIS1;FXYD3;CNTN1;CDO1;CPEB2;HSPA1B;HSPA1A
