Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2639	112/490	9.643189596345796e-40	8.727086584692947e-37	0	0	5.584416563053389	501.6880784608408	CD86;TES;SPARC;GMFG;FHOD1;LST1;TNC;IFI30;CTGF;PYCARD;STK10;TUBB6;LGALS1;PTTG1;PLAU;ARHGDIB;NUSAP1;MEF2C;POSTN;TPM4;CD300A;CYBB;CYBA;RUNX1;RAB32;TYROBP;S100A4;FAM64A;TAGLN2;S100A3;PPIC;LXN;IGSF6;CFH;SHC1;C5AR1;CDCA8;LY96;CSF2RA;CCNB2;RACGAP1;INPP5D;PRKCDBP;A2M;ECT2;S100A11;S100A10;VASP;UBE2C;FN1;LY86;MSN;EHD2;FAM111A;TP53I3;FES;TNFSF4;MAFF;TBXAS1;FXYD5;TGFBI;NES;TOP2A;CDKN1A;TINAGL1;PLEK;FHL3;SLC2A5;GLIPR1;STAB1;TK1;TIMP1;CLIC1;GPSM3;CD53;VWF;TNFRSF12A;IFNGR1;DDX58;CKAP2;GPX7;RHOC;MMP9;ASPM;HCK;SLC7A7;KIFC1;CKS2;HCLS1;BIRC5;GRN;NPL;CRIP1;PAPSS2;AURKB;FAM129B;AURKA;SPP1;CCL3;CCL2;FCGR1A;CMTM7;CMTM3;IL10RB;LUM;LAPTM5;COL3A1;ABI3;PRC1;ALOX5AP;MYO1F;CDKN3
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2640	115/532	2.691747638122814e-38	1.2180158062505734e-35	0	0	5.202662359907992	450.0721384769165	CD86;TES;SPARC;GMFG;FHOD1;TNC;IFI30;PYCARD;STK10;LGALS1;PTTG1;PLAU;ARHGDIB;EPSTI1;NUSAP1;TPM4;CD300A;CYBA;RUNX1;RAB32;MELK;TYROBP;S100A4;FAM64A;RIN3;TAGLN2;S100A3;ASF1B;PPIC;LXN;CFH;SHC1;C5AR1;CDCA8;LY96;CSF2RA;RASGRP3;CCNB2;RACGAP1;INPP5D;PRKCDBP;A2M;ECT2;S100A11;S100A10;VASP;UBE2C;LY86;IFI44;MSN;ISG15;ARHGAP25;COL1A1;FAM111A;COL1A2;TP53I3;PARVG;FES;TNFSF4;TBXAS1;FXYD5;NES;TOP2A;PLEK;FHL3;SLC2A5;HHEX;GLIPR1;CASP1;TK1;TIMP1;CLIC1;GAL3ST4;GPSM3;CD53;TNFRSF12A;IFNGR1;DDX58;CKAP2;RHOC;PARP9;MMP9;HCK;SLC7A7;KIFC1;IRF1;CKS2;HCLS1;BIRC5;GRN;NPL;PAPSS2;FAM129B;AURKA;SPP1;CCL3;CCL2;FCGR1A;BUB1;CMTM7;CMTM3;IL10RB;STAT1;TIE1;CARD9;LAPTM5;FMNL3;COL3A1;NECAP2;ABI3;PRC1;ALOX5AP;TRIP13;MYO1F;CDKN3
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2637	102/445	2.4977030979925825e-36	7.534737678944291e-34	0	0	5.5588066905657385	455.69814164960553	GMFG;SERPINE1;LST1;TNC;IFI30;CTGF;PYCARD;STK10;TUBB6;LGALS1;CCND1;PTTG1;PLAU;ARHGDIB;NUSAP1;SOX7;POSTN;TPM4;IGFBP3;CYBB;TM4SF1;RUNX1;RAB32;MELK;TYROBP;LOX;COL4A1;S100A4;FAM64A;RIN3;TAGLN2;S100A3;KDELR3;ASF1B;PPIC;LXN;IGSF6;SHC1;C5AR1;CDCA8;LY96;CSF2RA;CCNB2;RACGAP1;PRKCDBP;A2M;ECT2;S100A11;S100A10;VASP;UBE2C;FN1;LY86;MSN;EHD2;FAM111A;COL1A2;MAFB;MAFF;FXYD5;TGFBI;NES;TOP2A;TINAGL1;FHL3;GLIPR1;TIMP1;CLIC1;CD53;ANXA1;ANXA2;VWF;TNFRSF12A;CKAP2;RHOC;MMP9;MS4A6A;HCK;SLC7A7;KIFC1;CKS2;HCLS1;BIRC5;CRIP1;AURKB;FAM129B;PDLIM1;SPP1;CCL3;CCL2;FCGR1A;BUB1;CMTM7;ANGPT2;IL10RB;LILRB4;COL3A1;PRC1;ALOX5AP;TRIP13;MYO1F;CDKN3
Drug_Perturbations_from_GEO_up	bleomycin DB00290 mouse GSE25640 sample 3121	86/399	1.1507586349235804e-28	2.603591411514601e-26	0	0	5.062780027674254	325.6985682863035	CD86;COL18A1;CDKN1A;CD84;MCTP1;ZWILCH;GPR65;SERPINE1;TNC;KIF11;FOXM1;RND3;CDC20;ADAMTS2;SGOL2;C1QTNF6;CLEC5A;ITGAX;KNTC1;TK1;TIMP1;PRND;CEP55;HAVCR2;CAP1;TNFRSF12A;SLC11A1;CKAP2;CYBB;MELK;TYROBP;LOX;CD109;CKS2;FSCN1;BIRC5;S100A4;FAM64A;KDELR3;KIF20A;DBN1;COL15A1;CDCA5;CDCA8;TTK;NPL;THBS2;FSTL1;THBS1;AURKB;SOCS3;CCNB2;RACGAP1;SPP1;CCL3;CCL2;CD300LF;ECT2;CTHRC1;PLK4;MARCKSL1;STIL;ATP8B1;UBE2C;LUM;SUSD2;FN1;LY86;ISG15;LILRB4;COL1A1;CENPE;ANLN;BST1;COL3A1;COL1A2;MAFB;COL5A1;PRC1;UBE2T;TBXAS1;COL5A2;TGFBI;SPC24;CDKN3;FBN1
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2635	93/483	5.1769713835256315e-27	9.370318204181396e-25	0	0	4.40630277905727	266.6940194634678	CD86;CDKN1A;TES;TINAGL1;GMFG;SERPINE1;PLEK;TNC;FHL3;LRRC32;IFI30;CTGF;PYCARD;STK10;TUBB6;GLIPR1;LGALS1;PLAU;ARHGDIB;TIMP1;SOX7;CLIC1;CD53;MEF2C;POSTN;ANXA1;IL4R;ANXA2;TPM4;TNFRSF12A;RIPK2;IGFBP3;CYBB;RHOC;MMP9;RUNX1;RAB32;HCK;TYROBP;LOX;COL4A1;IRF1;CKS2;HCLS1;S100A4;TAGLN2;S100A3;ITGA5;IGSF6;SHC1;C5AR1;LY96;SLC1A5;CRIP1;CSF2RA;PAPSS2;FAM129B;PDLIM1;SOCS3;INPP5D;SPP1;CCL3;PRKCDBP;CCL2;FCGR1A;A2M;ECT2;S100A11;S100A10;VASP;CMTM7;ANGPT2;IL10RB;UBE2C;FN1;LY86;MSN;GPR4;ISG15;LILRB4;NFKB2;EHD2;FAM111A;COL3A1;EHD4;MAFB;PRC1;MAFF;FXYD5;TGFBI;NES;MYO1F;CDKN3
Drug_Perturbations_from_GEO_up	ANGIOTENSIN II 172198 mouse GSE17901 sample 3678	79/372	5.910440355723909e-26	8.914914203216897e-24	0	0	4.939224960361184	286.9220084359056	FKBP11;KCNK6;CD84;TNFAIP6;GPR65;SERPINE1;LST1;LOXL3;PLOD2;CTGF;TNFSF13B;CDC20;PYCARD;ESM1;SGOL2;KCNT2;C1QTNF6;STAB1;TIMP1;PRND;CEP55;GAL3ST4;ADAMTS6;POSTN;CKAP2;CYBB;GPX7;CKAP4;TLR1;RCN3;HCK;RCN1;TYROBP;FNDC1;LOX;PAPPA;CKS2;BIRC5;S100A4;KIF20A;TMEM45A;IGSF6;DLX5;NPL;FSTL1;THBS1;AURKB;ARSJ;SERPINH1;SPP1;CD300LF;BUB1;CTHRC1;LRRC25;TMEM30B;LUM;LAPTM5;LY86;PILRA;COL1A1;TPX2;BST1;CENPE;COL3A1;COL1A2;BMP1;EVI2A;FAP;COL5A1;PRC1;COL5A2;ITGA11;ALOX5AP;CD248;ADA;SPC24;MYO1F;CDKN3;FBN1
Drug_Perturbations_from_GEO_up	doxorubicin DB00997 human GSE24460 sample 2533	67/304	4.028902469539829e-23	5.20879533561935e-21	0	0	5.133707662250242	264.72458008344114	ECM1;SPARC;FKBP14;TGFB1I1;SCHIP1;SERPINE1;ICAM2;PLOD1;LAMC1;CTGF;CDC20;TUBB6;LGALS1;CDH2;PLAU;ARHGDIB;PLS3;LMCD1;ANXA1;LEPRE1;ITGA3;IGFBP3;HLA-B;KRT7;BTN3A2;REXO2;TM4SF1;CKAP4;IQCG;RCN1;COL4A2;LOX;COL4A1;AGPS;FSCN1;ITGA5;LPHN2;FJX1;DBN1;EPHA2;RAI14;NNMT;FSTL1;CRIP1;NID2;RASIP1;LIMA1;NUAK1;IFI16;PRKCDBP;WBP5;IL32;CDKN2A;LHFP;LUM;MCAM;TIE1;FN1;MSN;LAMB1;TP53I3;ZYX;FXYD5;TGFBI;NES;ADA;FBN1
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2633	87/500	3.4469876516785023e-22	3.8994047809613057e-20	0	0	3.86449325492909	190.9808272088915	CD86;CDKN1A;SAMD9L;GMFG;PLEK;FHL3;LRRC32;IFI30;SLC2A5;CTGF;PYCARD;STK10;HHEX;GLIPR1;LGALS1;PLAU;ARHGDIB;CASP4;EPSTI1;CASP1;TIMP1;CLIC1;GPSM3;CD53;MEF2C;TPM4;TNFRSF12A;RIPK2;IFNGR1;CD300A;DDX58;CYBB;PARP9;MMP9;RUNX1;RAB32;MS4A6A;HCK;SLC7A7;TYROBP;LOX;IRF1;HCLS1;S100A4;RIN3;S100A3;GRN;CFH;SHC1;C5AR1;LY96;CSF2RA;FAM129B;PDLIM1;INPP5D;STAT4;SPP1;CCL3;CCL2;FCGR1A;A2M;CMTM7;ANGPT2;CMTM3;IL10RB;MX2;CARD9;FN1;LAPTM5;LY86;IFI44;MSN;ISG15;PARP14;NFKB2;FMNL3;FAM111A;COL3A1;COL1A2;TP53I3;FES;TNFSF4;MAFF;TBXAS1;ALOX5AP;FXYD5;MYO1F
Drug_Perturbations_from_GEO_up	metoprolol DB00264 human GSE3356 sample 2786	83/469	1.063322299823645e-21	1.0131052481770046e-19	0	0	3.934846607548793	190.02510927441827	ARF4;CDKN1A;SPARC;TNFAIP6;TGFB1I1;SERPINE1;PLOD2;LAMC1;RND3;CTGF;GLIPR1;LASP1;SEC61G;ZC3H12A;ARHGDIB;CAPN2;ACTR3;CAP1;POSTN;ANXA1;IGFBP3;ACTN1;HLA-B;PLAUR;RHOC;UGDH;COL4A2;LOX;MTHFD2;COL4A1;IRF1;CDH11;CKS2;SMS;COL6A3;MYH9;GARS;KDELR2;ITGA5;KDELR3;BIRC2;RAI14;HDAC2;PSMD14;SHC1;POMP;RPS27L;THBS2;HIF1A;FSTL1;NID2;THBS1;MTMR6;PAPSS2;HSP90B1;PDLIM1;LIMA1;PRDX4;CHSY1;SERPINH1;WBP5;SSR1;CBX3;CAV1;FN1;LIF;TNFRSF10B;MICAL2;MSN;LAMB1;ARPC5;SULF1;TPX2;COL3A1;MARCKS;ARPC2;KIAA0101;FAP;COL5A1;MAFF;COL5A2;FXYD5;FBN1
Drug_Perturbations_from_GEO_up	ascorbic acid 54670067 human GSE11919 sample 3190	66/313	1.1194533129027677e-21	1.0131052481770046e-19	0	0	4.845032518501906	233.7313770331058	TOP2A;FKBP11;SPON2;OLFML2B;ZWILCH;TNC;SMC4;PRSS23;ACTB;CTGF;CDC20;TUBB6;ADAMTS2;PTTG1;NUSAP1;TK1;CLIC1;CEP55;POSTN;LEPRE1;TUBB;GPX7;CKAP4;PSMA4;MELK;LOX;CKS2;COL6A3;BIRC5;FAM64A;TAGLN2;S100A4;KIF20A;KDELR3;PPIC;NNMT;C1ORF198;THY1;TYMS;THBS2;NID2;AURKA;RACGAP1;IFI16;PRKCDBP;WBP5;CCL2;S100A10;TXNDC5;CTHRC1;UBE2C;LUM;LAMB1;ZWINT;COL1A1;TPX2;ANLN;CENPF;COL3A1;COL1A2;TP53I3;KIAA0101;PRC1;UBE2T;COL5A2;CDKN3
