Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
DSigDB	trichostatin A CTD 00000660	352/3584	3.2620384848292928e-18	1.0689700114785592e-14	0	0	1.8032615026208505	72.60684459585825	ROPN1B;MYT1L;RAX;STMN2;RRH;SPINT2;ENO2;ENO3;RASSF2;EDNRB;TMEM88;PDK4;KIF21B;BVES;CHGB;UNC5A;FBXO2;SERPINF1;SLC6A15;CACNA2D4;MYO7A;C10ORF58;ISL1;SOX10;GABRG2;FNDC5;RBP7;SFRP1;TCERG1L;SFRP5;PPP1R3E;RBP1;GPR160;RRAGD;TAGLN3;ASTN2;HRASLS;GPM6A;CASZ1;SDC4;STXBP1;SLC35D3;CRABP1;TGFA;NEDD4L;PCDH19;PRKCZ;SULT1A1;SYNGR1;RAB11FIP1;CYP4X1;FLRT2;EPB41L1;PCBP4;FLRT3;MAP2;PDGFD;PENK;PRDM16;MAP7;MAP6;PIP5K1B;APOD;PPARGC1A;TRPM3;SLC10A4;GSTM3;NTNG2;GSTM2;MAGEE1;RAB3IP;DDIT4L;KLHDC8B;HSPA12A;GNG11;GPR137B;SLC16A14;SNAP91;CYP26A1;CPEB1;SLC6A8;TMEM98;UNC119;LRRN1;GTF2IRD1;ECHDC3;CD24;XKR4;SCN2B;GABRB3;CLIC6;CLIC5;ADM;VLDLR;SLC7A10;CX3CL1;GNGT1;JPH3;AIFM1;RSPO2;RBPMS2;NEFL;TIMP3;SOSTDC1;NEFM;KIF1B;RNF150;NEFH;RALGPS1;ARG2;ELOVL4;SLC32A1;MAMDC2;SLC2A12;ELMOD1;NOG;PAX6;ZDHHC11;GFRA3;PRSS12;HIST2H2BE;NME1;CLDN10;TMEFF2;PLCB4;SLC7A8;VSNL1;SLCO4A1;TMEM35;KIT;VAMP1;MAPT;LRRC3B;POPDC3;INPP1;GSTP1;PRUNE2;SEZ6;KCNA5;ADCY1;SLC7A2;EGFR;RELN;OLFML3;TCEAL2;NPY;GPC3;RPRML;DYNC1I1;RPRM;CA12;CA11;KCNB1;GAD1;SCD5;C10ORF76;AKR1C2;FMO1;C1ORF21;SNCAIP;POU4F1;TMEM56;SMOC1;CACHD1;CCL26;TJP2;CDK5R1;FHOD3;SH3GL3;CHRM3;ANKRD35;WWC1;CTNND2;GUCA1A;RORB;FOXQ1;BZRAP1;DACH1;CDH3;FGF9;CDH1;ADORA1;SLC16A6;ENPP2;NRTN;SLC16A9;PITX2;TMEM38B;STK32A;SLC16A3;ENPP5;TMEM14A;SH3GL2;HIST1H2AC;PLS1;KCNH2;LMO1;MYLIP;MITF;ATP1B2;NPNT;ALDH3A2;MAK;SCNN1A;MAP7D2;PKP2;COL4A6;AMPH;SLC27A2;STEAP2;OSBP2;FBN2;RASL12;CHRNA3;RTN1;CABP7;PLD5;ILDR1;ITPR1;LPL;ABHD6;FHIT;C1ORF53;RTN4;CACNA1G;SCUBE2;IGSF21;TMEM27;DPP6;TMEM125;MUSTN1;KIAA1644;CDH23;CAMTA1;MBP;OTX2;OTX1;NPTX2;RAB6B;DRD4;PACSIN1;MFAP3L;TFAP2A;TFAP2B;SYT4;PRNP;ANKRD29;CBX7;SYT1;ZBTB16;TFPI2;KLHL21;ESRRG;BMP7;BMP5;IGSF11;BMP4;REEP1;BAMBI;CNTN1;CNTN2;CYCS;REEP6;FGF13;SNAP25;ST6GALNAC2;NUMA1;CPXM2;SLC2A1;LDB3;AFF3;RND2;PITPNC1;ELAVL3;CALB2;GRM3;ALDH2;CYP4V2;LRRTM1;BOC;CA4;SIX3;PHACTR3;PGM5;SULT4A1;IDH3A;EMX2;EGFL6;PDE4D;TNFRSF19;COBL;LSR;MYRIP;KLF15;C1ORF168;NIPSNAP1;GAP43;VGF;DCT;ALDH1A2;SSX2IP;FBP2;SHANK2;HPGD;DDX25;PPM1H;ATP10B;PPAP2C;NRXN2;LRP2;PPM1E;AGPAT3;COCH;NCALD;THBS4;ERBB3;SV2A;MAN1C1;SNCG;ZNF503;NRIP3;HES5;WASF3;OPCML;LGI1;MCOLN3;EYA1;IRX5;EYA2;PCDH7;KCNJ13;AMFR;PLA2G2A;B3GAT1;CADPS;C14ORF132;SYT13;FBXL16;MEIS2;DLK1;SYT17;NELL2;OPN1SW;MEIS1;CLCN4;MLPH;PPP2R2C;SST;MAB21L2;TRIM36;CHPT1;KCNK1
DSigDB	Retinoic acid CTD 00006918	384/4258	5.765612151692085e-14	9.44695551054748e-11	0	0	1.6288777556141376	49.65516553851083	GLDC;HDAC11;RAX;MT1X;SPINT2;ENO2;RASSF2;EDNRB;MAGOH;PDK4;LRAT;KIF21B;GNAT1;PTGDS;BVES;GLUL;GABARAPL1;UNC5A;KCNK12;SERPINF1;SLC6A15;OMG;ISL1;SOX10;FNDC5;RBP4;SFRP1;TCERG1L;DDIT3;RBP1;KCNQ2;COL8A2;ASTN2;HPD;CASZ1;SLC22A5;TTYH2;IGSF1;CRABP1;CLCNKA;TGFA;PCDH19;CYB5R2;PGBD5;TSPAN8;EPB41L1;FLRT3;MAP2;RDH10;PRDM16;MAP7;ST3GAL5;MAP6;PIP5K1B;APOD;SCN3B;SLC19A1;TRPM3;FDFT1;ATP6V0A1;SLC10A4;GSTM3;NTNG2;GSTM1;CHKA;DDIT4L;ABCA7;NETO2;HSPA12A;GNG11;RPE65;GPR137B;SNAP91;CYP26A1;SLC6A8;COL9A1;ECHDC2;LRRN1;ECHDC3;XKR4;HIST2H2AA3;GABRB3;CDKN1C;PTPRU;MESP1;MYOM1;CLIC5;GABRB1;SLC44A3;PTPRN;GRIK1;ADM;VLDLR;PTPRF;CX3CL1;GNGT1;GABRR1;JPH3;AIFM1;CAMKV;CRTAC1;IMPA2;CTSK;NEFL;TIMP3;SOSTDC1;NEFM;CTSG;KIF1A;RNF150;TPSAB1;NEFH;SLC32A1;EDN3;AHSG;TSC22D3;ELMOD1;NOG;PAX6;SYP;ZDHHC11;NUDT16L1;F3;GFRA2;HIST2H2BE;AES;NME1;TMEFF2;ALDH5A1;VSNL1;SLCO4A1;TMEM35;KIT;RGN;GAS1;ALDOC;MAPT;LRRC3B;PDZRN4;POPDC3;INPP1;GSTP1;PTGER2;HDC;PRUNE2;DLST;KCNA5;ADCY1;GDPD5;NOL3;SLC7A2;EGFR;UNG;DUOX1;RELN;TCEAL2;NPY;HSD17B2;GPC3;CKB;MEF2D;RPRM;CDKN2D;GABBR2;CA11;CA10;MPP4;KCNB1;CKMT1A;GAD1;ECEL1;SCD5;KRT13;PLEKHA6;C1ORF21;SNCAIP;GRIN1;ALDH4A1;SLC8A3;C6ORF47;TMEM56;SMOC1;IL17D;TJP2;CDK5R1;FHOD3;PRDM8;CHRM3;GUCA1B;NRL;MSI1;RORB;CELSR3;LAPTM4B;DACH1;CDH3;RIMS3;FGF9;CDH1;TUBB3;BASP1;PITX2;GYG2;SLC16A3;HIST1H2AC;KCNH2;TMOD1;LMO1;MYLIP;TLE2;TPM2;APLP2;ACOT11;CTNNBIP1;APLP1;DIO3;MITF;NPNT;PDGFRL;OLFM1;EEF1A2;SCNN1A;MADD;PKP2;COL4A6;AMPH;SLC27A2;FKBP5;FBN2;BRSK2;CHRNA3;PFKFB3;RTN1;PLD5;ITPR1;LPL;NDRG2;SEZ6L2;FHIT;ACACB;CPLX3;NEUROD1;BCL2L13;SLC9A3R1;IGSF21;TMEM27;DPP6;TMEM125;CAMTA1;MBP;TNFRSF14;MYH11;OTX2;NPTX1;NPTX2;PACSIN1;MFAP3L;TFAP2A;TFAP2B;PRNP;CBX7;SYT1;ZBTB16;RARRES2;TFPI2;ESRRB;ESRRG;DEFA1;CORO2B;BMP7;C1ORF61;IGSF11;BMP4;STK24;HOOK1;BAMBI;DLG4;CDK2;LCN2;CNTN1;PIR;ALPL;CYCS;CSPG5;CRYL1;MAP6D1;DHCR7;SNAP25;ST6GALNAC2;ZMYND19;THRA;LAMC3;SLC2A1;ATP2A2;AFF3;RND2;PITPNC1;GRM3;ALDH2;LRRTM1;BOC;SIX3;CNGA1;TMEM108;PGM5;HIST1H1C;SVOP;DCXR;PDE4D;TNFRSF19;DUSP26;NIPSNAP1;DNM1;GAP43;VGF;DCT;PPAP2B;ALDH1A2;CRY2;CDH12;ZP3;SLC25A4;INA;SHANK2;CNTNAP4;TMEM55A;CAMK2B;DDC;HPGD;DDX25;TYRP1;PPM1H;CRMP1;PPAP2C;NRXN2;PPM1E;LRP8;AGPAT3;THSD4;NCALD;THBS4;NNAT;ZNF503;FSD1;PLEKHH1;HES5;WASF3;MAPK4;RBM38;CHGA;LGI1;MCOLN3;EYA1;PCDH7;KCNJ13;AMFR;PLA2G2A;KCNIP4;B3GAT1;CADPS;CABLES1;SYT13;MEIS2;DLK1;SYT17;NELL2;DBNDD1;MFAP4;MEIS1;DES;PC;CLCN4;MLPH;SST;PSAT1;PPP2R2B;MAB21L2;TRIM36;CHPT1;INSM2;BCOR;KCNK1;VIP;LPIN1
DSigDB	Decitabine CTD 00000750	189/1800	4.60091727361612e-12	5.0257353018800085e-09	0	0	1.8273040876759168	47.70134456893192	CNTFR;GLDC;PLEKHB1;MT1M;STMN2;FAM107A;MSI1;MT1X;STMN4;SPINT2;ENO2;ENO3;SLC8A2;LAPTM4B;RASSF2;CDH3;RIMS3;CDH1;TUBB3;SOX15;CAPN3;NRTN;BSN;PTGDS;NUDT14;SLC16A3;FADS1;CPA3;GABARAPL1;PHYH;SCARA5;IL11RA;TPM2;APLP2;MITF;ATP1B2;ATP1B1;GABRG2;FNDC5;RBP7;BCAN;RBP4;SFRP1;TCERG1L;SFRP5;DDIT3;RBP1;EEF1A2;SCNN1A;RRAGD;MT1F;COL4A6;SCG5;COL8A2;MAL;MT1H;TAGLN3;AIPL1;ASTN2;OSBP2;RASL12;NDRG4;CASZ1;PFKFB3;SDC4;RRAD;CRABP1;CLCNKA;NEDD4L;PLA2G5;PCDH19;FHIT;C1ORF53;FUT3;CYB5R2;SYNGR1;RAB11FIP1;LDHD;MAP7;CAMTA1;APOD;MYH11;NPTX1;NPTX2;PROM1;SLC19A1;PRPH;FDFT1;TFAP2A;GSTM3;GSTM2;ANKRD24;TFPI2;KLHDC8B;HSPA12A;BMP7;SYT7;SNAP91;IGSF11;CYP26A1;ALDH6A1;CPEB1;SLC6A8;CNTN2;CYCS;ECHDC2;REEP6;CD24;GSTM5;ATR;HIST2H2AA3;CDKN1C;CLIC6;RYR1;NUMA1;CITED1;HSPB8;WFDC1;ADM;SLC7A10;AFF3;RND2;ELAVL3;MAP1LC3A;ALDH2;CA4;TIMP3;NEFH;HIST1H1C;DFFB;FOXD2;SLC13A3;GSTO2;TSC22D3;ABCC5;DCXR;RAB3IL1;PAX6;COQ10A;NIPSNAP1;CLDN10;ACOX2;ALDOC;LRRC3B;FBP2;DDX28;PNCK;SRC;INPP1;DDX25;GSTP1;PPM1H;PPAP2C;KCNA5;SLC3A2;PKD1L2;AGPAT2;EGFR;THBS4;CAND2;DNAJB2;GMDS;GNG7;TCEAL2;NNAT;SNCG;FSD1;CDKN2D;TUB;CA12;LGI1;LRRC23;NPM2;IRX6;KCNJ13;PLA2G2A;KCNIP4;B3GAT1;CABLES1;NMNAT3;SYT13;DLK1;NELL2;SST;DNAJA4;PPP2R2B;KCNK1;TJP3;TJP2
DSigDB	cytarabine CTD 00005743	83/594	1.6691243107302867e-11	1.3674300915657874e-08	0	0	2.455555844510471	60.93741000018069	CDKN1C;PRDM8;CNTFR;PODXL2;SLC2A1;STMN4;MT1X;ENO3;SCAMP5;CALB2;CDH3;RASSF2;TMEM88;TUBB3;RSPO2;TIMP3;PGM5;SLC16A9;HMGCS2;PITX2;GYG2;PITX1;SLC16A3;HIST1H1C;BCAS4;PLEKHG3;MYLIP;GABARAPL1;ARG2;EGFL6;FBXO2;PAX6;ATP1B1;C1ORF168;MYL4;SFRP1;GAP43;PKP2;INA;PIGH;GPM6A;RTN1;SDC4;CRABP1;ART5;NDRG2;PRKCZ;SLC7A2;NCALD;CYB5R2;SLC9A3R1;CYP4X1;RELN;FLRT2;OLFML3;MAP2;NPY;NRIP3;KCNN2;RPRML;CKB;HES5;PRPH;NTNG1;CA12;PRNP;MCOLN3;GSTM1;IRX5;PCDH7;FMO1;SNAP91;BMP5;NELL2;BMP4;MFAP4;LRFN5;MEIS1;TMEM98;MAB21L2;COL9A1;GNB3;ITM2C
DSigDB	arsenite CTD 00000779	131/1300	1.4562333472954156e-07	9.544153358174152e-05	0	0	1.700699441453228	26.77282293857818	PRDM8;SLC23A2;VIPR1;RAX;STMN2;FAM107A;STMN4;RORB;ENO2;SCAMP5;NPPC;CDH3;CDH1;PHYHD1;PITX2;PITX1;USP2;MYT1;GABRG2;BCAN;TCERG1L;DDIT3;KCNQ2;EEF1A2;MAL;TAGLN3;PLA1A;FBN2;ITPR1;TGFA;CAMSAP1;NEUROD1;CYP4X1;INPP5A;STK35;FLRT2;EPB41L1;PDGFD;CPAMD8;PENK;PRDM16;ST3GAL4;ST3GAL5;PIP5K1B;KCNN2;OTX2;VILL;NPTX2;LONRF1;PRPH;TFAP2A;FOXF2;SYT1;HOMER2;TFPI2;SNAP91;BMP4;GNAO1;LRFN5;LHX3;BAMBI;CNTN1;CYCS;ECHDC2;LRRN1;CD24;VSX1;SCN2B;VLDLR;AIFM1;EFCAB1;LRRTM1;RSPO2;NEFL;NEFM;RNF150;FOXD2;MYOC;SLC32A1;PAX6;MYRIP;CLDN10;TMEFF2;SLC7A8;VSNL1;SLCO4A1;ALDH1A2;INA;FBP2;PON3;GRP;GSTP1;SEZ6;PPAP2C;NRXN2;SLC3A2;EGFR;UNG;CKMT2;RELN;NPY;GNA11;SNCB;MEF2D;DYNC1I1;RPRM;OPCML;RBM38;LGI1;CA10;SLC12A5;IRX5;PCDH7;ECEL1;SCD5;CADPS;KLHL3;MEIS2;POU4F2;GRIN1;GPR143;MLPH;SST;SMOC1;CTH;CACHD1;TRIM36;AQP11;CDO1;HSPA1B;CDK5R1
DSigDB	Allococaine CTD 00005697	42/290	6.7376521605379e-07	0.00036798810216804494	0	0	2.5117567042363	35.693027610445306	CAMK2B;GPM6A;GSTP1;CTNND2;NEDD4L;PPAP2C;ENO2;NDRG2;TOB1;EGFR;PCSK1N;AIFM1;FLRT3;CDH1;TP53INP2;PENK;NEFL;NEFM;MBP;TNFRSF14;CKB;SLC25A23;MEF2D;ENPP5;DYNC1I1;DRD4;FDFT1;CKM;EYA1;GAD1;CTNNBIP1;NETO2;SYT13;GABRG2;GRIN1;GNAO1;GAP43;PPP2R2C;TAGLN3;OSBPL1A;PVALB;SHANK2
DSigDB	11-cis-Retinal BOSS	30/197	9.425366703472396e-06	0.0044124180981827	0	0	2.6504508881997344	30.671298408325093	TYRP1;CRX;GUCA1A;GUCA1C;RLBP1;TRPM1;OPN1LW;RDH10;ST3GAL4;RHO;OTX2;PDE6B;PITX2;PRPH;ELOVL4;MYO7A;SYP;TYR;ATP1B1;ISL1;POU4F2;GAP43;RBP3;ALDH1A2;CYCS;FGF13;HPD;ASPA;PVALB;CNGB1
DSigDB	trichostatin A MCF7 UP	88/874	1.8348595155872083e-05	0.0075160432907241	0	0	1.6739734341807315	18.256283204059624	CDKN1C;SH3GL3;GLDC;PITPNA;TESK2;MT1X;ADM;ENO2;RIMS3;DPYSL4;TUBB3;CTSK;SOX15;ENPP2;TIMP3;NRTN;KIF21B;DFNB31;RALGPS1;PKNOX2;HIST1H1C;GABARAPL1;ARG2;ELOVL4;CTNNBIP1;USP2;APLP1;COBL;MITF;ZDHHC11;HIST2H2BE;RNF41;MAPK8IP1;CRY2;RRAGD;VAMP1;MT1H;ALDOC;PPP1R12B;SLC25A4;AVPI1;NDRG4;STXBP1;ITPR1;GMPR;NEDD4L;ABHD6;GDPD5;PPM1E;NCALD;SELENBP1;RAB11FIP1;INPP5A;PGBD5;FLRT3;GNA11;MAN1C1;ST3GAL5;SLC17A7;KIF3C;CKB;CNNM4;TBC1D16;PRPH;ATP6V0A1;RBM38;CDKN2D;MPP2;CHKA;PLEKHA6;ABCA7;C14ORF132;BAIAP2;HSPA12A;BMP7;REEP1;CCS;SMTN;MEIS1;SLC6A8;HIST3H2A;NBEA;CTH;UNC119;LPIN1;HSPA1B;TJP3;ITM2C
DSigDB	retinol CTD 00006991	17/86	2.877535809416794e-05	0.0104774276082875	0	0	3.616889193198676	37.81816142646581	GABRB3;KCNH2;GSTP1;TOB1;MEIS2;RPE65;CYP26A1;RBP4;MEIS1;TTR;RDH12;CDH1;RBP1;LRAT;APOD;MAPT;PTGDS
DSigDB	diethylstilbestrol CTD 00005818	32/233	4.075253287499166e-05	0.0133546050231347	0	0	2.348353848288438	23.73714323559437	CDKN1C;CHRNA3;GSTP1;FAM107A;SLC2A1;TGFA;SLC3A2;ADCY1;ENO2;GDPD5;ESPN;AFF3;TOB1;SELENBP1;RELN;OLFML3;ADORA1;NRTN;PRODH;GSTM3;FOXD1;TNNC1;ESRRB;CABLES1;ESRRG;NME1;OLFM1;MLPH;DDIT3;RBP1;CYCS;FOLR1
