Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
DSigDB	progesterone CTD 00006624	179/1915	5.627780621221234e-23	1.0852592404018206e-19	0	0	2.5456893786656893	130.42010140967156	SPON2;CDA;OXTR;OLFML2B;CD83;RIF1;SERPINE1;COL12A1;TNC;AHR;CLDN1;SMC4;TNF;PLAU;RGS1;MAP3K8;SLC39A8;PHLDA2;TNFRSF4;PELO;PPP1R16B;PDGFRB;IFNAR2;IL4R;IL1R1;ACTN1;IGFBP3;HGF;F2R;KRT7;SOX11;DKK1;RUNX2;CLDN5;RAB31;FNDC1;MTHFD2;COL4A1;MFNG;FSCN1;MXRA5;RAI14;ENPEP;ZCCHC6;LXN;CFH;PDGFB;TNFRSF11B;THY1;RASGRP1;FBLN2;CSF2RA;HSD11B2;SOCS3;SCIN;STC2;HMOX1;SLC38A2;ATP8B1;ANKRD22;HSPA6;FN1;LIF;MICAL2;SLC4A11;INHBB;SYNJ2;COL1A1;EHD2;TPX2;DIAPH2;COL1A2;NR4A3;COL5A2;ID4;HLA-DRA;ITGBL1;TCF4;ADA;KCNK6;NRP1;SERPINA3;ECM1;CDKN1A;TNFAIP6;COL14A1;LAMC1;LRRC32;CPZ;BICD1;PRSS23;TNFSF13B;LFNG;GLIPR1;KCNT2;RB1CC1;CASP3;KYNU;ENC1;NFKBIZ;PGM3;UPP1;TIMP1;JAK2;LMCD1;ABCC3;SRGN;CHST7;TRPC6;ITGA4;VWF;IFNGR1;ITGA2;RNASET2;ITGA1;CKAP2;PLAUR;IRAK3;FOS;GNL2;MMP9;ARL4C;MMP11;TBC1D2;NR5A2;IL1B;COL6A1;PECAM1;HCLS1;TAX1BP3;TLR7;ITGA5;FJX1;TNFRSF21;BIRC3;CREB5;TMEM45A;COL15A1;SAMD9;SEMA3C;COL11A1;LAMA4;LRRC17;GCNT1;WAS;CXCR4;TFPI;THBS2;THBS1;PAPSS2;PTGS1;PDLIM1;PPP2R3C;CCL2;GBP2;BID;FILIP1L;LEFTY2;ANKRD50;PPP1R14A;CDKN2B;ANGPT2;LAMB3;CMTM3;LUM;ATAD2;FAM46A;SPRY4;NR1H4;DCBLD2;MFAP5;SPSB1;MYO1B;SNRK;CLEC2B;EVI2A;IL2RB;F2RL1;F2RL3
DSigDB	Retinoic acid CTD 00006918	312/4258	6.04769707663316e-23	1.0852592404018206e-19	0	0	2.100756002886605	107.47421407537544	SPON2;OXTR;SPI1;SERPINE2;COL12A1;LST1;KIAA0020;SMC4;SOX2;PELO;IER5;MEF2C;MBNL1;PRKCH;IL1R1;C8ORF4;KRT7;HSPG2;DKK1;RUNX2;RUNX1;MTHFD2;FEZ1;HOXB2;KDELR3;PRKD1;SPATA18;ZFPM2;MXRA5;HOXB7;ENPEP;PCDH10;THY1;HIF1A;SAMSN1;PCDH17;NUAK1;ARSJ;STC2;PDGFC;ST8SIA4;HMOX1;CD14;S100A11;LRRN3;FZD6;FN1;LIF;LARP7;IFI44;NMI;ELL2;COL1A1;FAM111A;TPX2;COL1A2;TNFSF4;NOX4;ADA;ARHGAP9;NRP1;SERPINA3;COL18A1;CDKN1A;FKBP14;ICA1;TCF21;PTPRK;PRSS23;ARHGAP4;LFNG;C1QTNF3;NIPBL;ESM1;ENC1;OLR1;TIMP1;CD33;LRRCC1;CD53;CHST7;ANXA1;RIPK2;IFNGR1;PAWR;GFRA1;BAZ1A;FOS;OSMR;SERPINB8;VAV1;GNL3;ENAH;LAT2;CLDN11;MMP11;HCK;RAP2A;NR5A2;PAX8;BANK1;IL1B;FJX1;FOXC2;COL11A1;LRRC17;WAS;CXCR4;FSTL1;PRAM1;APOLD1;PTGS1;SRPX2;FGD6;MTHFD1L;ALOX5;ZNF469;BID;FILIP1L;CDKN2B;STAT1;IL10RB;CDKN2A;IL10RA;ATAD2;FAM46A;OSM;NR1H4;LAPTM5;SULF1;LILRB3;DCBLD1;COL3A1;SPSB1;DHRS9;STK17B;NEDD4;ZYX;F2RL1;FAS;CD69;SCRG1;NUCB2;LIMS1;CD86;SEMA5A;FAM49B;SAMD9L;CD83;RIF1;ZWILCH;PROS1;TNC;PLOD2;PRDM1;AHR;TNF;CDH2;GRB14;PLAU;ADORA3;ARHGDIB;MAP3K8;SLC39A8;NRCAM;SH3GLB1;PPP1R16B;PDGFRB;POSTN;CEP135;TPM4;IGFBP3;LMO3;HGF;CYBB;ARID5B;LMO7;PUS7;PGF;TYROBP;RAB31;COL4A2;LOX;LIX1;COL4A1;MFNG;FSCN1;CD300C;PPIC;RAI14;DLX1;ZCCHC7;ITPR2;TNFRSF11B;RASGRP1;HSP90B1;SOCS3;ODF2L;CLEC7A;OSBPL8;ATP8B1;CBX2;RPP40;HSPA6;TNFRSF10B;TNFRSF10A;ISG15;SYNJ2;ARHGAP25;GFAP;PTPRE;CDK6;NR4A3;COL5A1;TBXAS1;COL5A2;MAFF;NFE2L3;GNB4;HLA-DRA;TCF4;TGFBI;XAF1;FBN1;ITGB1;MOXD1;BMPR2;MCTP1;TNFAIP6;COL14A1;PLEK;TNFAIP2;FASLG;LAMC1;SLC2A5;BICD1;PIK3CG;CYR61;HK3;HHEX;CASP3;KYNU;ITGAX;PGM3;CASP1;MFSD1;MAN1A1;UPP1;EDIL3;ADAMTS6;ACTR3;SLC36A1;ABCC3;PTGIS;ITGA4;DDX58;ITGA2;ITGA1;PLAUR;MMP9;DCN;ARL4C;FGR;TBC1D4;SLC25A19;ELF4;OAS2;PALLD;IRF1;COL6A1;CDH11;PECAM1;IRF8;CDH13;MYH9;ITGA5;BIRC2;BIRC3;CREB5;TMEM45A;SEMA3C;ZNF195;LAMA4;GLRX;TFPI;THBS1;FYB;PDLIM1;IFI16;TP53INP1;CCL3;NHS;CCL2;E2F2;GBP2;FCGR1A;CTHRC1;CMTM7;PPP1R14A;ANGPT2;LUM;MX2;LAMB1;NAP1L1;MFAP5;MGAT4A;ALOX5AP;RGS10;MNDA;TRIM38;FCGR2B;EVI2B
DSigDB	estradiol CTD 00005920	303/4336	6.674556944343481e-19	7.984994957749585e-16	0	0	1.953902716382944	81.77241904056027	CDA;OXTR;SERPINE2;SERPINE1;COL12A1;CLDN1;SMC4;SOX2;PELO;IER5;ARRDC4;MEF2C;ENTPD1;MBNL1;STARD5;IL1R1;IL1R2;RECQL;C8ORF4;KRT7;SOX11;DKK1;RUNX2;CLDN5;FNDC1;MTHFD2;PSME4;MXRA5;HOXB7;LXN;PCDH10;PDGFB;KLK3;IQGAP1;THY1;ART4;HSD11B2;PRDX4;S100A16;ARSJ;STC2;ST8SIA4;SERPINH1;HMOX1;ZNF700;S100A11;FN1;LIF;IFI44;MICAL2;NMI;PARP14;PARP12;COL1A1;EHD2;TPX2;COL1A2;ID4;ITGBL1;HAMP;PAM;ADA;NRP1;SERPINA3;COL18A1;ECM1;CDKN1A;TCF21;PTPRK;LRRC32;PRSS23;TRAM2;LFNG;GLIPR1;ENC1;ANKRD1;OLR1;CD36;TIMP1;JAK2;LMCD1;CHST7;ANXA1;RIPK2;BGN;SLC39A10;PAWR;GFRA1;BAZ1A;FOS;OSMR;GNL2;ENAH;MMP11;BACE2;NR5A2;IL1B;PXDN;MMP23A;FJX1;SDCCAG8;PTGER4;SP100;SAMD9;COL11A1;LRRC17;GCNT1;WAS;RPS27L;NEXN;CXCR4;PAPSS2;PTGS1;FGD6;MTHFD1L;STAT4;ZNF469;CD58;BID;FILIP1L;LEFTY2;ANKRD50;CDKN2B;STAT1;CDKN2A;ATAD2;NR1H4;PLXDC2;SULF1;TMEM154;DHRS9;CENPJ;ZYX;F2RL1;FAS;CD86;FAM49B;SAMD9L;CD83;RIF1;ZWILCH;PROS1;TNC;PLOD2;AHR;HNMT;ETS1;TNF;CTGF;GRB14;PTTG1;ZNF83;PLAU;PLS3;MAP3K8;SLC39A8;PHLDA2;TNFRSF4;ZNF443;PPP1R16B;PDGFRB;CAST;POSTN;IL4R;TPM4;IGFBP3;LMO3;HGF;CYBB;ARID5B;PUS7;SPOCD1;PROCR;RAB31;MELK;LOX;MFNG;FSCN1;DPEP2;RAI14;NNMT;SHC1;CCL3L3;TARS;TNFRSF11B;RASGRP1;CSF2RA;HSP90B1;SOCS3;C1ORF106;SCIN;ECT2;SLC38A2;STIL;ATP8B1;ANKRD22;CBX2;HSPA6;TRPV2;TNFRSF10A;ISG15;SYNJ2;PTPRE;DAP;CDK6;COL5A1;COL5A2;MAFF;GNB4;HLA-DRA;TCF4;TGFBI;XAF1;ITGB1;KCNK6;MCTP1;TNFAIP6;COL14A1;TNFAIP3;FASLG;PTPN22;LAMC1;CPZ;BICD1;CYR61;OASL;SENP7;CASP3;KYNU;NFKBIZ;CASP4;PGM3;CASP1;MAN1A1;UPP1;ABCC3;SRGN;TRPC6;APAF1;VWF;DDX58;ITGA2;ITGA1;SH2D3C;PLAUR;TRAF1;MMP9;DCN;ARL4C;FGR;SLC25A19;OAS2;PALLD;COL6A1;CDH11;COL6A3;MYH9;ITGA5;MNS1;BIRC2;TNFRSF21;BIRC3;CREB5;TMEM45A;COL15A1;RGS19;SEMA3C;UHRF1;LAMA4;GLRX;TFPI;THBS2;THBS1;PDLIM1;IFI16;DNAJB4;TP53INP1;CCL3;WBP5;CCL2;ASCC3;GBP2;GBP1;CMTM7;PPP1R14A;ANGPT2;LAMB3;CMTM3;LUM;TIE1;GALNT1;MX2;SPRY4;PTPN12;CDC42BPA;MFAP5;MYO1B;CLEC2B;EVI2A;MGAT4A;IL2RB;RGS10;ERCC6
DSigDB	mebendazole HL60 UP	58/346	1.2169042860775762e-18	1.0918673706831052e-15	0	0	4.596304713804714	189.5985875737879	CD86;NRP1;CDKN1A;TRAF3IP3;CD83;MCTP1;TNFAIP6;TNFAIP2;TNFAIP3;TNF;GLIPR1;RGS1;KYNU;ZC3H12A;CLEC5A;C3AR1;TIMP1;IER5;GPSM3;SH3GLB1;PPP1R16B;ANXA1;IL4R;TPM4;APAF1;DYNLT1;IL1R1;IL1R2;PLAUR;FOS;MMP9;ARL4C;FGR;RAB31;IL1B;PECAM1;FPR1;IQGAP1;SAMSN1;THBS1;APOLD1;PTGS1;C1ORF106;CCL2;CD14;CD58;GBP2;LAMB3;IL10RB;IL10RA;MICAL2;TNFRSF10B;FAM111A;PTPRE;CLEC2B;MAFF;ZYX;TRIM38
DSigDB	Phorbol 12-myristate 13-acetate CTD 00006852	69/483	4.557606973663767e-18	3.064584435242498e-15	0	0	3.82944307944308	152.90864343300603	CDKN1A;SPI1;SERPINE1;TNC;TNFAIP3;FASLG;AHR;SMC4;TNF;PTTG1;PLAU;CASP3;ITGAX;CASP1;TIMP1;CD36;PRKCH;APAF1;IL1R1;ITGA2;RNASET2;IL1R2;HGF;RHOG;CYBB;LMO7;IRAK3;FOS;TRAF1;MMP9;ARL4C;HCK;PROCR;NR5A2;TYROBP;IL1B;COL6A1;PRKD1;ITGA5;PLCB2;BIRC2;BIRC3;NOTCH3;SHC1;UHRF1;PDGFB;HIF1A;RASGRP1;FYB;CCL3;HMOX1;CCL2;CD14;CD58;MSR1;CDKN2B;CDKN2A;HSPA6;FN1;LIF;LAMB1;NMI;TPX2;CAPN11;COL1A2;NR4A3;ARPC2;IL2RB;CD69
DSigDB	tretinoin HL60 UP	47/241	5.123295238633322e-18	3.064584435242498e-15	0	0	5.48377768460514	218.3241813980325	CD86;SP100;TRAF3IP3;TNFAIP6;PLEK;TNFAIP2;CXCR4;PLOD2;AHR;SLC2A5;HIF1A;THBS1;PIK3CG;PTGS1;C1ORF106;STK38L;CCL2;MAN1A1;TIMP1;UPP1;IKBKE;PPP1R16B;IFNAR2;PRKCH;LAMB3;IL10RA;MX2;SH2D3C;LIF;LILRB2;APBB1IP;FGR;TMEM156;RAB31;AIM2;COL4A2;ELF4;PALLD;CPD;IRF1;MAFF;ALOX5AP;PECAM1;ITGA5;TRIM38;PLCB2;LIMS1
DSigDB	raloxifene CTD 00007367	84/686	1.5513801598155328e-17	7.954147705111355e-15	0	0	3.23340221788864	125.14819140258034	ITGB1;SERPINA3;CDKN1A;MCTP1;SERPINE2;PROS1;SERPINE1;TNC;TNFAIP3;AHR;LAMC1;TNF;CDH2;PLAU;CASP3;ENC1;CASP4;ANKRD1;MAP3K8;TIMP1;JAK2;LMCD1;PDGFRB;IL4R;ITGA4;VWF;IL1R1;IGFBP3;HGF;F2R;BGN;C8ORF4;PLAUR;PAWR;ARID5B;MMP9;ARL4C;RAB31;PALLD;PSME4;TNFRSF21;BIRC3;NOTCH3;GCNT1;WAS;TARS;TNFRSF11B;GLRX;IQGAP1;THY1;TFPI;THBS2;RASGRP1;THBS1;HSP90B1;NUAK1;FGD6;CALD1;DNAJB4;STC2;TP53INP1;CCL3;HMOX1;CCL2;E2F2;NLRP3;SLC38A2;STAT1;LUM;IL10RA;OSBPL3;FZD6;SYNJ2;DCBLD2;MFAP5;PTPRE;EVI2A;NR4A3;FAP;MAFF;ID4;GNB4;RGS10;TGFBI
DSigDB	Decitabine CTD 00000750	155/1800	1.7904712966011326e-16	8.032501854376833e-14	0	0	2.2613981762917934	81.99577100527931	CD86;CDA;FCGBP;OXTR;SPI1;SPARC;PROS1;SERPINE1;LST1;TNC;PRDM1;AHR;ETS1;TNF;CTGF;PYCARD;CDH2;PTTG1;PLAU;MAP3K8;NRCAM;PHLDA2;PDGFRB;MEF2C;IL4R;TPM4;ACTN1;IGFBP3;IL1R2;F2R;SOX11;DKK1;SPOCD1;PROCR;LOX;MFNG;FSCN1;S100A3;KDELR3;SPATA18;PPIC;MEG3;LXN;SHC1;PDGFB;FPR1;C1ORF54;KLK3;RASGRP1;HIF1A;FBLN2;HSD11B2;C1ORF106;ZMAT3;INPP5D;STC2;CD14;S100A11;MSR1;HSPA6;LIF;LARP7;TNFRSF10B;TNFRSF10A;ISG15;COL1A1;FAM111A;DIAPH2;COL1A2;COL5A2;ID4;TCF4;ESAM;FXYD5;TGFBI;XAF1;ADA;ARHGAP9;NRP1;CDKN1A;COL14A1;PTPRK;PIK3CG;LFNG;GLIPR1;C1QTNF6;CASP3;ENC1;NFKBIZ;ITGAX;OLR1;JAK2;ABCC3;SRGN;ANXA1;GPR34;APAF1;VWF;ITGA1;SH2D3C;BGN;FOS;MMP9;HCK;PAX8;ELF4;OAS2;PALLD;IRF1;PXDN;CDH11;IRF8;CDH13;ITGA5;BIRC2;BIRC3;CREB5;COL11A1;LEF1;RPS27L;CXCR4;FSTL1;THBS1;PTGS1;PDLIM1;MTHFD1L;WIF1;RAB23;TP53INP1;BID;CTHRC1;MICB;PPP1R14A;CDKN2B;ANGPT2;STAT1;IL10RB;CDKN2A;TIE1;NR1H4;GPR1;DCBLD2;CAPN11;CLEC2B;KLHL5;DHRS9;STK17B;RGS10;F2RL1;FAS;CD69;ERCC6;AGRN;MYO1F;LIMS1
DSigDB	N-Acetyl-L-cysteine CTD 00005305	51/315	6.828519066540529e-16	2.7230616588682173e-13	0	0	4.3774721372377625	152.8624374463157	CD86;ITGB1;COL18A1;CDKN1A;FASLG;AHR;TNF;ETS1;CYR61;CDH2;PLAU;CASP3;CASP1;IER5;HTATIP2;ABCC3;HGF;ITGA2;PLAUR;FOS;MMP9;RUNX2;COL4A1;IL1B;IRF1;PSME4;CDH13;BIRC2;BIRC3;KLK3;GLRX;HIF1A;ART4;HSD11B2;DNAJB4;SERPINH1;HMOX1;CCL2;CD14;BID;FILIP1L;GBP1;IL10RB;STAT1;TNFRSF10B;TNFRSF10A;COL1A1;COL1A2;TNFSF4;NOX4;FAS
DSigDB	trichostatin A CTD 00000660	252/3584	1.4513269088282456e-15	5.208812275784573e-13	0	0	1.8919548802088189	64.64109451864095	SLC35B3;IPO11;OXTR;CLDN1;SOX2;EPSTI1;PELO;IER5;ARRDC4;MEF2C;MBNL1;PRKCH;IL1R1;C8ORF4;SOX11;HSPG2;DKK1;RUNX2;SYTL2;CLDN5;FEZ1;PSME4;KDELR3;ZFPM2;MXRA5;ZNF277;MEG3;ENPEP;CFH;PCDH10;KLK3;ZC3HAV1;IQGAP1;PCDH17;HSD11B2;SCFD1;ARSJ;INPP5D;STC2;PDGFC;ST8SIA4;HMOX1;CD14;S100A11;LRRN3;FN1;LARP7;NMI;PARP14;ELL2;COL1A1;TPX2;COL1A2;ID4;FXYD5;NRP1;CDKN1A;FKBP14;SH3KBP1;PTPRK;PRSS23;LFNG;NIPBL;KCNT2;C1QTNF6;ENC1;TNFAIP8L1;ANKRD1;JAK2;HTATIP2;CCDC110;ANXA1;BGN;PAWR;GFRA1;BAZ1A;BTN3A2;PAX2;ENAH;CLDN11;BACE2;HCK;BANK1;IL1B;RHOJ;RAB7B;FJX1;DCP2;SDCCAG8;PTGER4;COL11A1;LRRC17;GCNT1;CXCR4;FSTL1;PAPSS2;PTGS1;FAM129B;MTHFD1L;WIF1;STAT4;CD58;BID;MICB;BCHE;CDKN2B;IL10RB;CDKN2A;FAM46A;PLXDC2;SULF1;DCBLD1;DEF6;DCBLD2;TMEM154;F2RL1;FAS;SCRG1;SEMA5A;CD83;RIF1;C4ORF18;PROS1;TNC;PLOD2;PRDM1;AHR;HNMT;ETS1;CTGF;PYCARD;DOCK11;CDH2;GRB14;ZNF83;PLAU;MAP3K8;SLC39A8;NRCAM;PHLDA2;CAST;POSTN;TPM4;IGFBP3;LMO3;HGF;F2R;ARID5B;LMO7;PUS7;SLFN13;SLFN11;RAB31;LIX1;MFNG;S100A3;PHLDB2;PPIC;DLX1;ZCCHC7;DLX5;HTRA1;ITPR2;TARS;TNFRSF11B;ARHGAP15;RASGRP1;FBLN2;CSF2RA;SOCS3;C1ORF106;ODF2L;SCIN;CALD1;ZMAT3;SLC38A2;EVI5;KIRREL;ATP8B1;ANKRD22;CBX2;TNFRSF10B;SLC4A11;TNFRSF10A;INHBB;SYNJ2;PTPRE;CDK6;COL5A1;COL5A2;MAFF;NFE2L3;ANXA2P1;PHF14;TCF4;TGFBI;FBN1;KCNK6;MCTP1;COL14A1;PTPN22;LAMC1;SLC2A5;BICD1;TNFSF13B;HHEX;CASP3;MAN1A1;ADAMTS6;ABCC3;TRPC6;APAF1;ITGA4;DDX58;ITGA2;VPS13A;IRAK3;REXO2;TMEM2;TBC1D4;COL6A1;CDH11;IRF8;C3ORF64;CDH13;MNS1;DOCK2;TNFRSF21;BIRC3;TMEM45A;SEMA3C;ROCK2;LAMA4;LEF1;GLRX;TFPI;THBS2;UACA;THBS1;PDLIM1;IFI16;TP53INP1;NHS;CTHRC1;KLRG1;CMTM7;PPP1R14A;MYO1B;MGAT4A;TRIM38;SEC24D;PIK3AP1
