Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_down	resveratrol DB02709 mouse GSE11291 sample 3505	83/359	3.873292961410058e-25	3.4898369582304626e-22	0	0	4.60503334296307	258.8513293486856	THRA;PTPRN;CPNE6;HDAC11;STMN2;FAIM2;ENO2;CX3CL1;SCAMP5;BZRAP1;MAP1LC3A;CAMKV;BASP1;BSG;NEFL;KIF1A;PTGDS;SULT4A1;SCN1B;PSD;ATP6V1G2;APLP2;ELMOD1;APLP1;SYP;ATP1B2;ATP1B1;SYN2;SYN1;DNM1;MAPK8IP1;AES;OLFM1;PCP4;GAP43;VGF;PPAP2B;EEF1A2;UQCRC1;FLYWCH1;INA;VAMP2;SPTBN4;NDRG4;RTN1;STXBP1;GSTP1;HPCA;PDXP;CRMP1;ATP1A1;SEZ6L2;PCSK1N;GNG3;PABPN1;PCBP4;NPY;GNG7;PENK;NNAT;SLC17A7;CKB;SNCB;SLC25A23;RHBDL1;ATP6V0A1;PACSIN1;MPP2;SLC12A5;MAGEE1;SYT1;GOT1;GAD1;FBXL16;GRIN1;NELL2;NBEA;DLG4;SST;PPP1R1B;CSPG5;TMCC2;ACO2
Drug_Perturbations_from_GEO_down	ubiquinol 9962735 mouse GSE15129 sample 3451	85/381	1.3705816686669847e-24	6.174470417344766e-22	0	0	4.399888136888968	241.7598043076267	SNAP25;THRA;PTPRN;CPNE6;PLEKHB1;DIRAS2;STMN4;FAIM2;ENO2;CX3CL1;SCAMP5;BZRAP1;MAP1LC3A;DBP;BASP1;BSG;NEFH;SULT4A1;SH3GL2;PSD;GABARAPL1;ATP6V1G2;PGAM1;APLP1;SYP;ATP1B2;MAPK8IP2;HPCAL4;SYN1;DNM1;AES;BCAN;PCP4;EEF1A2;SNURF;ALDOC;FLYWCH1;VAMP2;CAMK2B;GPM6A;BRSK1;NDRG4;NDRG3;RTN1;STXBP1;GSTP1;USP11;HPCA;ABHD8;PDXP;CRMP1;NDRG2;SEZ6L2;SYNGR1;PCSK1N;PENK;NNAT;SLC17A7;MBP;CKB;SNCB;SLC25A23;RHBDL1;PACSIN1;PRNP;SLC12A5;MAGEE1;AMFR;STARD10;TMEM132A;FBXL16;CORO2B;SNAP91;GRIN1;QDPR;NELL2;NBEA;PPP1R1B;CNTN1;CSPG5;TMCC2;ACO2;OSBPL1A;PFKM;ITM2C
Drug_Perturbations_from_GEO_down	coenzyme Q10 5281915 mouse GSE15129 sample 3450	78/426	2.956839377843387e-17	8.880374264789638e-15	0	0	3.404708935854653	129.58262852439333	SNAP25;THRA;PTPRN;CPNE6;HDAC11;DIRAS2;STMN4;FAIM2;CX3CL1;SCAMP5;BZRAP1;MAP1LC3A;CAMKV;BASP1;BAI3;PHACTR3;NEFL;NEFM;NEFH;GLUL;SULT4A1;SH3GL2;GABARAPL1;SLC6A17;ELMOD1;APLP1;SYP;HPCAL4;SYN2;SYN1;DNM1;PCP4;EEF1A2;CRY2;SCG5;INA;VAMP2;CAMK2B;GPM6A;RTN1;ARL3;STXBP1;HPCA;ABHD8;ITPR1;NDRG2;SEZ6L2;TTR;SV2B;MAP2;NNAT;PENK;SLC17A7;CKB;NPTX1;SLC25A23;SNCB;RAB6B;PACSIN1;PRNP;SLC12A5;SYT1;KCNB1;AMFR;ATP2B2;FBXL16;CORO2B;SNAP91;NELL2;NBEA;SST;PPP1R1B;CSPG5;ACO2;KCNK1;PFKM;HSPA1B;ITM2C
Drug_Perturbations_from_GEO_down	candesartan DB00796 rat GSE2739 sample 2687	65/369	9.151150993576468e-14	2.0612967613030988e-11	0	0	3.2210596304591266	96.70365603310016	SNAP25;WFDC1;ATP2A2;STMN4;FAIM2;CX3CL1;GRM3;MAP1LC3A;BSG;ENPP2;PHGDH;PTGDS;GLUL;SCN1B;CHGB;ATP1B2;MAPK8IP2;ATP1B1;SDHA;SOX10;DNM1;MAPK8IP1;BCAN;OLFM1;BIN1;PPAP2B;MAL;MAPT;UBA52;SLC25A4;CAMK2B;NDRG4;DDC;RTN1;SDC4;SLC20A2;STXBP1;GSTP1;HPCA;PPAP2C;SLC3A2;ATP1A1;NDRG2;VTN;TTR;PCBP4;APOD;MBP;CKB;DYNC1I1;PRNP;SLC12A5;GOT1;PEX14;QDPR;GNAO1;NELL2;SLC6A9;DLG4;PSAT1;DNAJA4;REEP2;CSPG5;DHCR7;HSPA1B
Drug_Perturbations_from_GEO_down	Coenzyme Q10 5281915 mouse GSE15129 sample 3452	58/372	3.0953848897994997e-10	5.577883571418698e-08	0	0	2.765289992899825	60.54862009747792	GABRB1;PLEKHB1;DIRAS2;STMN2;ATP2A2;STMN4;ENO2;MAP1LC3A;CAMKV;PTGDS;SCN1B;CHGB;ATP6V1G2;APLP1;OMG;HPCAL4;SYN2;SYN1;DNM1;NME1;OLFM1;PCP4;EEF1A2;UQCRC1;VAMP2;PVALB;BEX2;RTN1;HLF;STXBP1;HPCA;ITPR1;PDXP;ADCY1;ATP1A1;NDRG2;NCALD;NEUROD1;PCSK1N;SV2B;NPY;NNAT;REPS2;SLC17A7;NPTX1;SLC12A5;SYT1;FBXL16;QDPR;SBK1;SST;PPP1R1B;CNTN1;ACO2;FGF13;OSBPL1A;VIP;HSPA1B
Drug_Perturbations_from_GEO_down	cocaine 446220 human GSE54839 sample 2472	48/294	2.262617243032081e-09	3.397696893286508e-07	0	0	2.908246225319396	57.89371199583892	BRSK1;SNAP25;NDRG4;MT1M;STMN2;FAM107A;STK39;SLC2A1;ATP2A2;MT1X;ATP1A1;ENO2;NDRG2;THBS4;CYB5R2;BCL2L13;MAP1LC3A;RIMS3;BASP1;TUBB3;GNG7;BSG;NEFL;CAPN3;NRIP3;APOD;NEFM;MBP;KIF1A;CKB;KIF3C;PTGDS;NEFH;RAB6B;SH3GL2;GABBR2;PRNP;GOT2;OMG;ATP1B1;PCP4;TMEM98;UQCRC1;MAL;PMP2;ALDOC;INA;PVALB
Drug_Perturbations_from_GEO_down	fluoxetine 62857 mouse GSE6476 sample 2618	50/326	9.047830187465055e-09	1.1645849998437168e-06	0	0	2.7001101308682767	50.00804004420806	PRDM8;SNAP25;CPNE6;PLEKHB1;ENO2;BZRAP1;DBP;CAMKV;BAI3;PTGDS;GLUL;GABARAPL1;ATP6V1G2;SLC6A15;ELMOD1;DNM1;OLFM1;VSNL1;PPAP2B;SCG5;ALDOC;CAMK2B;GPM6A;BEX2;PNCK;RTN1;HLF;HPCA;ITPR1;ADCY1;RTN4;PCSK1N;PABPN1;MBP;SCN3B;OPCML;TUB;SYT4;SLC12A5;SYT1;GOT1;GAD1;CADPS;FBXL16;NBEA;CSPG5;ACO2;OSBPL1A;ITM2C;GSTM5
Drug_Perturbations_from_GEO_down	halothane 3562 rat GSE6433 sample 3652	41/250	2.903162179896088e-08	3.2696864051079687e-06	0	0	2.913299592187824	50.5599653921177	FKBP2;NDRG4;NDRG3;PTPRN;HPCA;FAIM2;ENO2;CX3CL1;MAP1LC3A;CAMKV;BASP1;NPY;BSG;NNAT;CKMT1B;ST3GAL5;NEFL;APOD;NEFM;MBP;CKB;SCN1B;HES5;CHGA;SVOP;SLC32A1;KCNB1;B3GAT1;SYP;SYN1;DNM1;DLK1;BCAN;VGF;BIN1;SST;EEF1A2;MADD;MAL;CSPG5;VAMP2
Drug_Perturbations_from_GEO_down	ubiquinol 9962735 mouse GSE15129 sample 3453	49/329	3.3167133457805765e-08	3.320398582831444e-06	0	0	2.60563408723748	44.87346525563302	GABRB1;DIRAS2;FAM107A;SLC2A1;ATP2A2;ENO2;CX3CL1;SCN1B;GALNT9;CHGB;APLP1;HPCAL4;SYN1;DNM1;NME1;OLFM1;PCP4;PPAP2B;EEF1A2;AMPH;INA;VAMP2;PVALB;NDRG4;HPCA;ITPR1;PDXP;SLC3A2;ADCY1;ATP1A1;NDRG2;NCALD;NEUROD1;ABR;PCSK1N;PGBD5;SLC17A7;NPTX1;KIF3C;FSD1;SLC12A5;MAGEE1;ATP2B2;FBXL16;SYT13;SBK1;PPP1R1B;VIP;HSPA1B
Drug_Perturbations_from_GEO_down	corticosterone 5753 rat GSE37618 sample 3094	44/281	3.756418415011641e-08	3.3845329919254884e-06	0	0	2.759568350696389	47.1809328187499	SNAP25;GRP;STXBP1;SLC2A1;TGFA;LPL;GRIK1;FAIM2;NOL3;SULT1A1;CALB2;GABRR1;RELN;AKR7A3;TTR;DPYSL4;PENK;NNAT;PDK4;APOD;NEFM;HMGCS2;SLC25A23;GLUL;NEFH;PRPH;GSTM2;GAD1;NOG;ATP1B2;SDHA;F3;QDPR;GAP43;VGF;SST;PPAP2B;EEF1A2;MAL;CSPG5;CYCS;KCNK1;PLCD4;INA
