Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_up	morphine 5288826 mouse GSE7762 sample 3490	67/323	7.407260342276869e-18	6.6961633494182905e-15	0	0	3.959461449795082	156.1772786557272	PRDM8;SNAP25;PITPNA;SLC2A1;FAIM2;BZRAP1;BASP1;PHACTR3;NEFL;NEFM;PTGDS;SULT4A1;SCN1B;CHGB;PSD;ATP6V1G2;FBXO2;TSC22D3;SYN1;DNM1;OLFM1;VSNL1;MAP7D2;CRY2;AMPH;IGFALS;INA;PVALB;FKBP5;NAPB;NDRG3;HLF;ITPR1;KCNA5;ADCY1;SEZ6L2;RTN4;NCALD;SULT1A1;GNG3;SV2B;NPY;CAMTA1;APOD;RPRML;SLC17A7;NPTX1;SNCB;RAB6B;OPCML;SYT1;KCNB1;WFS1;ZBTB16;LGI3;TMEM132A;HAGHL;CADPS;SYT13;CORO2B;CPEB1;NBEA;SST;OSBPL1A;VIP;PFKM;GSTM5
Drug_Perturbations_from_GEO_up	isoflurane 3763 rat GSE6433 sample 3653	63/310	2.0670275447563526e-16	9.342964502298715e-14	0	0	3.847999523696118	138.97146434154462	SNAP25;PTPRN;PITPNA;SLC2A1;CLTA;STMN4;ENO2;CALB2;MAP1LC3A;FGF9;BSG;ENPP2;NEFL;NEFM;GLUL;NEFH;SCN1B;CHGB;APLP2;SYP;MAPK8IP2;SDHA;DNM1;MAPK8IP1;PCP4;VSNL1;BIN1;EEF1A2;VAMP1;MAL;ALDOC;AMPH;MAPT;CASQ1;SLC25A4;VAMP2;PVALB;CAMK2B;RTN1;HLF;STXBP1;CRMP1;SLC3A2;NDRG2;DPP6;RELN;TTR;PCBP4;MBP;CKB;SNCB;SLC25A23;DYNC1I1;ATP6V0A1;SYT4;PRNP;SNAP91;PEX14;GNAO1;ALDH6A1;SLC6A9;REEP2;CSPG5
Drug_Perturbations_from_GEO_up	phenytoin 1775 rat GSE2880 sample 3033	66/389	3.6109217309072803e-13	1.0880910815800604e-10	0	0	3.0775667308175048	88.17118858375802	GABRB1;MYT1L;CTNND2;PTPRN;HDAC11;FAM107A;ATP2A2;ENO2;CX3CL1;GRM3;JPH3;CAMKV;CKMT1B;BSN;NEFH;CHGB;GABARAPL1;APLP1;SYP;ATP1B2;GABRG2;SYN1;DNM1;FNDC5;PCP4;PITPNM1;KCNQ2;EEF1A2;UQCRC1;MAL;ALDOC;MAPT;UBA52;INA;VAMP2;BRSK1;NAPB;RTN1;TTYH2;SEZ6;ITPR1;CRMP1;NDRG2;ABR;PCSK1N;SV2A;NNAT;PENK;SLC17A7;APOD;CKB;NPTX1;SNCB;RAB6B;ATP6V0A1;SLC12A5;MAGEE1;WFS1;GAD1;CADPS;HSPA12A;MEIS2;SNAP91;NELL2;PPP1R1B;ACO2
Drug_Perturbations_from_GEO_up	morphine 5288826 mouse GSE7762 sample 3492	52/272	1.1060944066223259e-12	2.4997733589664566e-10	0	0	3.5393301435406697	97.43841666400644	SLC2A1;CELSR3;BZRAP1;BASP1;ADORA1;PTGDS;SCN1B;CHGB;ATP6V1G2;UNC5A;FBXO2;TSC22D3;OLFM1;CDC34;CRY2;UQCRC1;TAGLN3;IGFALS;UBA52;FKBP5;CAMK2B;NAPB;NDRG3;SLC3A2;ADCY1;PCSK1N;PCBP3;SV2B;PABPN1;MAP2;SV2A;NPY;GNA11;APOD;RPRML;SLC17A7;CKB;NPTX1;SNCB;HES5;OPCML;WFS1;ZBTB16;TMEM132A;HAGHL;SBK1;CSPG5;OSBPL1A;VIP;PFKM;HSPA1B;GSTM5
Drug_Perturbations_from_GEO_up	creatine 586 mouse GSE5140 sample 3205	67/421	4.981833545690777e-12	9.007155050608925e-10	0	0	2.8481360563119384	74.1233763154	GABRB1;CTNND2;DIRAS2;STMN2;GRM3;DBP;CAMKV;PHACTR3;KIF1A;CHGB;ATP6V1G2;APLP1;OMG;GPR37L1;ATP1B2;HPCAL4;SYN1;DNM1;MAPK8IP1;NME1;OLFM1;PCP4;GAP43;VSNL1;MAP7D2;SCG5;MAPT;NAPB;FKBP2;NDRG3;HLF;GSTP1;STXBP1;HPCA;ITPR1;PDXP;CRMP1;SLC3A2;ADCY1;ATP1A1;NCALD;PCSK1N;GNG3;TTR;PGBD5;SLC17A7;NPTX1;RAB6B;OPCML;SYT4;SLC12A5;SYT1;KCNB1;TMEM132A;ATP2B2;FBXL16;NELL2;GNAO1;NBEA;SST;DLG4;CNTN1;CSPG5;TMCC2;PFKM;ITM2C;HCN1
Drug_Perturbations_from_GEO_up	2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3111	53/297	1.084714280165664e-11	1.6343028487829335e-09	0	0	3.2509797539655128	82.07787403769717	HDAC11;CLTA;ATP2A2;SPINT2;ENO2;RND2;CALB2;MAP1LC3A;TUBB3;PHGDH;ENPP5;TSC22D3;APLP1;SYP;ATP1B2;ATP1B1;AES;OLFM1;PCP4;GAP43;PPAP2B;EEF1A2;SCG5;SNURF;ALDOC;TAGLN3;INA;BEX2;NDRG4;PNCK;RTN1;STXBP1;HDC;NDRG2;RTN4;ABR;PCSK1N;INPP5A;PABPN1;NNAT;KIF3C;ATP6V0A1;PRPH;NTNG1;GABBR2;LRRC23;SLC12A5;SYT1;QDPR;NELL2;CSPG5;PFKM;ITM2C
Drug_Perturbations_from_GEO_up	fluoxetine DB00472 mouse GSE35765 sample 2500	60/363	1.3308989349268147e-11	1.7187609102483435e-09	0	0	2.9711039563614063	74.4041127287893	CPNE6;PITPNA;STMN2;ATP2A2;ENO2;LAPTM4B;TUBB3;BAI3;NEFL;SULT4A1;SH3GL2;CHGB;IDH3A;GABARAPL1;PHYH;ATP6V1G2;PGAM1;ELMOD1;APLP1;SYP;MYRIP;ATP1B1;SDHA;SYN2;SYN1;DNM1;NME1;OLFM1;PCP4;GAP43;VSNL1;SCG5;ALDOC;AMPH;TAGLN3;SLC25A4;GPM6A;BEX2;RTN1;STXBP1;PPM1H;CRMP1;ATP1A1;RTN4;PENK;DYNC1I1;RPRM;PRNP;SLC12A5;GOT1;GAD1;CADPS;SNAP91;NBEA;CNTN1;CYCS;FGF13;OSBPL1A;PFKM;ITM2C
Drug_Perturbations_from_GEO_up	isoflurane DB00753 rat GSE1779 sample 2771	59/362	3.547656275176806e-11	4.008851590949791e-09	0	0	2.919206415755582	70.24237927542056	SNAP25;HDAC11;FAM107A;BASP1;PTGDS;CHGB;GABARAPL1;SLC32A1;APLP2;APLP1;SYP;ATP1B1;SYN1;DNM1;NME1;PCP4;GAP43;VSNL1;UQCRC1;SCG5;ALDOC;FLYWCH1;TAGLN3;MAPT;SSX2IP;VAMP2;ATPAF1;BRSK1;NDRG4;RTN1;GSTP1;USP11;ITPR1;PDXP;NCALD;PCSK1N;GNG3;TTR;SV2B;NPY;PENK;SNCG;SLC17A7;CKB;SNCB;SLC25A23;RAB6B;RPRM;OPCML;SLC12A5;MAGEE1;GOT1;WFS1;GAD1;NELL2;PPP2R2B;PPP1R1B;TACC2;GSTM5
Drug_Perturbations_from_GEO_up	vemurafenib DB08881 human GSE37441 sample 2563	44/237	1.642791911596125e-10	1.6500932089809965e-08	0	0	3.396762804346829	76.52721050161036	FHOD3;OCA2;ST6GALNAC2;SDC4;CITED1;HPGD;PRUNE2;TYRP1;PPM1H;TESK2;ABHD6;GDPD5;TOB1;TSPAN10;PTPLA;TRPM1;EDNRB;DBP;CTSK;TP53INP2;FAM53B;RNF150;OTX1;STK32A;DYNC1I1;TFAP2A;MYLIP;TRIM63;KCNJ13;STARD10;OMG;KLHDC8B;ATP1B1;DEXI;FAHD2B;ITPKB;MEIS1;DCT;ILVBL;CTH;GAS1;IL17D;LPIN1;TJP2
Drug_Perturbations_from_GEO_up	morphine 5288826 mouse GSE7762 sample 3488	54/337	4.587759373181856e-10	4.1473344733563984e-08	0	0	2.8521317479559465	61.32784648368053	PTPRN;FAM107A;SLC2A1;ENO2;RND2;CELSR3;PCMTD2;SYNPR;BZRAP1;CAMKV;PHYHD1;BAI3;PHACTR3;NEFL;RNF150;PTGDS;FADS1;CHGB;TSC22D3;PGAM1;ELMOD1;HPCAL4;NME1;VGF;TMEM35;CRY2;SCG5;AMPH;TAGLN3;SLC25A4;FKBP5;CAMK2B;NDRG3;ITPR1;KCNA5;NDRG2;PPM1E;SULT1A1;ABR;TTR;SV2B;MAP2;NPY;KCNN2;SYT4;GOT1;WFS1;GAD1;ZBTB16;CADPS;MEIS2;PSAT1;HSPA1B;GSTM5
Drug_Perturbations_from_GEO_up	alpha-Tocopherol 14985 mouse GSE8150 sample 3477	51/314	8.620959638031827e-10	7.084861375255248e-08	0	0	2.8946251245893166	60.41561557849159	THRA;PLEKHB1;ENO2;PCMTD2;CALB2;SYNPR;CAMKV;BSG;NEFL;PTGDS;ENPP5;PSD;PGAM1;APLP2;GPR37L1;HPCAL4;MAPK8IP1;SLC25A18;VSNL1;VGF;PPAP2B;UQCRC1;MAL;ALDOC;TMEM55A;BRSK1;PDXP;ADCY1;ABR;PCSK1N;TTR;NNAT;APOD;CKB;SLC25A23;RHBDL1;PRNP;MAGEE1;GOT1;GAD1;AMFR;CADPS;FBXL16;SNAP91;NBEA;SST;PPP2R2B;TMCC2;ACO2;KCNK1;ITM2C
Drug_Perturbations_from_GEO_up	morphine DB00295 human GSE7762 sample 3288	50/306	1.020777320064658e-09	7.520939761149322e-08	0	0	2.914214076394503	60.33210390160676	PTPRN;HDAC11;STMN2;FAM107A;SLC2A1;STMN4;CELSR3;CALB2;LAPTM4B;PHYHD1;PDK4;PHACTR3;NEFL;PTGDS;CHGB;ATP6V1G2;TSC22D3;PGAM1;APLP2;ALDH5A1;VSNL1;MAP7D2;UQCRC1;SCG5;SNURF;MAL;ALDOC;TAGLN3;FKBP5;PNCK;NDRG3;HPCA;SLC3A2;ADCY1;NDRG2;SEZ6L2;PPM1E;SULT1A1;GNG3;SV2B;APOD;SLC17A7;SNCB;GOT1;ZBTB16;PSAT1;ACO2;PFKM;ITM2C;GSTM5
