Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2639	99/490	2.478679003202556e-38	1.1420792600209417e-35	0	0	6.047660368495224	523.6699821618266	CD86;SPARC;GMFG;PROS1;FHOD1;LST1;TNC;CTGF;PYCARD;PTTG1;PLAU;ARHGDIB;MEF2C;POSTN;TPM4;CYBB;RUNX1;SLFN13;TYROBP;S100A3;PPIC;LXN;CFH;SHC1;C5AR1;LY96;FBLN2;CSF2RA;CLEC7A;INPP5D;PDGFC;HMOX1;CD14;ECT2;S100A11;NEK6;FN1;LY86;EHD2;FAM111A;TCN2;TNFSF4;MAFF;TBXAS1;FXYD5;TGFBI;ARHGAP9;MOXD1;CDKN1A;PLEK;TREM2;SLC2A5;ARHGAP4;GLIPR1;CD37;TIMP1;GPSM3;CD53;ABCC3;GPR34;VWF;IFNGR1;DDX58;RNASET2;BGN;CKAP2;FOS;MMP9;VAV1;FGR;HCK;HCLS1;VWA1;IRF8;TLR7;CD48;HCST;CLEC12A;GCNT1;PAPSS2;FAM129B;P2RY6;CCL3;CCL2;FCGR1A;GBP2;CMTM7;CMTM3;IL10RB;LUM;LAPTM5;COL3A1;ABI3;KLHL6;ALOX5AP;FMOD;FCGR2B;EVI2B;MYO1F
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2633	100/500	2.572475188802927e-38	1.1420792600209417e-35	0	0	5.976053639846743	517.2475518887225	CD86;SAMD9L;GMFG;PROS1;CTGF;PYCARD;PLAU;RGS1;ARHGDIB;EPSTI1;MAP3K8;MEF2C;TPM4;CYBB;RUNX1;SLFN13;TYROBP;LOX;S100A3;CFH;SHC1;C5AR1;LY96;FBLN2;CSF2RA;C7;CLEC7A;INPP5D;HMOX1;CD14;FN1;LY86;IFI44;ISG15;PARP14;FAM111A;COL1A2;ARHGAP30;TCN2;TNFSF4;MAFF;TBXAS1;FXYD5;ARHGAP9;MOXD1;CDKN1A;PLEK;TREM2;LRRC32;SLC2A5;OASL;HHEX;GLIPR1;CASP4;CASP1;OLR1;CD37;TIMP1;GPSM3;CD53;SRGN;RIPK2;IFNGR1;DDX58;RNASET2;FOS;MMP9;VAV1;MS4A6A;HCK;IRF1;HCLS1;IRF8;TLR7;CD48;HCST;CLEC12A;FAM129B;PDLIM1;P2RY6;STAT4;CCL3;CCL2;FCGR1A;GBP2;CMTM7;ANGPT2;CMTM3;IL10RB;MX2;LAPTM5;FMNL3;COL3A1;KLHL6;ALOX5AP;FMOD;FCGR2B;EVI2B;PIK3AP1;MYO1F
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2640	103/532	3.785898099516933e-38	1.1420792600209417e-35	0	0	5.752387783157014	495.66571277229866	CD86;SPARC;GMFG;PROS1;FHOD1;TNC;PYCARD;PTTG1;PLAU;ARHGDIB;EPSTI1;TPM4;RUNX1;SLFN13;MELK;TYROBP;MFNG;S100A3;PPIC;LXN;CFH;SHC1;C5AR1;LY96;FBLN2;CSF2RA;CLEC7A;INPP5D;HMOX1;CD14;ECT2;S100A11;NEK6;LY86;IFI44;ISG15;ARHGAP25;COL1A1;FAM111A;COL1A2;ARHGAP30;PARVG;TNFSF4;TBXAS1;FXYD5;ARHGAP9;MOXD1;PLEK;TREM2;SLC2A5;ARHGAP4;HHEX;GLIPR1;CASP1;CD37;TIMP1;GAL3ST4;GPSM3;CD53;ABCC3;GPR34;IFNGR1;DDX58;RNASET2;BGN;CKAP2;MMP9;VAV1;APBB1IP;FGR;HCK;IRF1;HCLS1;IRF8;TLR7;CD48;HCST;CX3CR1;CLEC12A;GCNT1;PAPSS2;FAM129B;P2RY6;CCL3;CCL2;FCGR1A;GBP2;CMTM7;CMTM3;IL10RB;STAT1;TIE1;LAPTM5;FMNL3;COL3A1;ABI3;KLHL6;ALOX5AP;FMOD;FCGR2B;EVI2B;PIK3AP1;MYO1F
Drug_Perturbations_from_GEO_up	ANGIOTENSIN II 172198 mouse GSE17901 sample 3678	84/372	2.3794386931289454e-36	5.38348004320424e-34	0	0	6.873331247392574	563.793234843583	FKBP11;KCNK6;CD84;TNFAIP6;GPR65;SERPINE1;LST1;MS4A7;LOXL3;PLOD2;TREM2;CTSS;CTGF;TNFSF13B;PYCARD;C1QTNF3;ESM1;KCNT2;C1QTNF6;C3AR1;OLR1;TIMP1;PRND;CD33;GAL3ST4;ADAMTS6;POSTN;GPR34;IL1R2;CKAP2;CYBB;TLR1;RCN3;FGR;HCK;RCN1;TYROBP;FNDC1;LOX;IL1B;DPEP2;COL8A1;TLR7;ANGPTL1;TMEM45A;DLX5;FPR1;WAS;TNFRSF11B;FSTL1;FBLN2;THBS1;SRPX2;CCL8;ARSJ;SERPINH1;CD300LF;CTHRC1;MSR1;LUM;IL10RA;LAPTM5;LY86;PYCR1;PILRA;BATF;COL1A1;TPX2;BST1;COL3A1;COL1A2;ARHGAP30;BMP1;EVI2A;FAP;COL5A1;COL5A2;ITGA11;ALOX5AP;FMOD;FCGR2B;ADA;MYO1F;FBN1
Drug_Perturbations_from_GEO_up	NICKEL 935 human GSE6281 sample 3481	76/345	3.5875517197104785e-32	6.493468612675965e-30	0	0	6.5986189614110735	477.774675207608	ARHGAP9;TNFRSF6B;SERPINE2;TNFAIP6;GMFG;GPR65;SERPINE1;PLEK;TNC;CD3D;ETS1;CYR61;RGS1;C3AR1;EPSTI1;CD37;TIMP1;UPP1;CD33;CD53;IFNAR2;SRGN;ANXA1;ITGA4;PLAUR;FOS;OSMR;CLEC4A;FGR;HCK;MS4A6A;PROCR;TYROBP;RAB31;COL4A1;IRF1;HCLS1;IRF8;CD48;S100A3;HCST;BIRC3;NNMT;FPR1;CXCR4;LY96;TNFRSF11B;THY1;CD1C;ARHGAP15;SAMSN1;RASGRP1;THBS1;APOLD1;FYB;SOCS3;STAT4;CCL2;GBP1;FCGR1B;KLRG1;STAT1;TRAT1;IL10RA;LAPTM5;ISG15;NMI;LILRB2;SULF1;EVI2A;ALOX5AP;IL2RB;MNDA;CD69;EVI2B;FBN1
Drug_Perturbations_from_GEO_up	bleomycin DB00290 mouse GSE25640 sample 3121	78/399	2.818211792498968e-29	4.2508027870192764e-27	0	0	5.673605386892668	372.97637932495087	CD86;COL18A1;CDKN1A;CD84;MCTP1;SERPINE2;ZWILCH;GPR65;SERPINE1;MS4A7;TNC;TREM2;CTSS;C1QTNF3;RGS1;C1QTNF6;CLEC5A;C3AR1;ITGAX;OLR1;KNTC1;NRCAM;TIMP1;PRND;GPR34;GPR35;SLC11A1;CKAP2;CYBB;PGF;PROCR;MELK;TYROBP;LOX;FSCN1;COL8A1;VWA1;KDELR3;PTGER4;COL15A1;UHRF1;THBS2;FSTL1;THBS1;APOLD1;SOCS3;P2RY6;CCL8;CLEC7A;PDGFC;CCL3;HMOX1;CCL2;CD300LF;ECT2;CTHRC1;MSR1;STIL;ATP8B1;LUM;NEK6;FN1;LY86;ISG15;LILRB4;COL1A1;MFAP5;BST1;COL3A1;COL1A2;COL5A1;TBXAS1;COL5A2;ITGBL1;TGFBI;FMOD;FCGR2B;FBN1
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2637	82/445	7.186086743154714e-29	9.290583575078596e-27	0	0	5.288939789450515	342.7382181227425	GMFG;PROS1;SERPINE1;LST1;TNC;CTGF;PYCARD;GLIPR1;PTTG1;PLAU;ARHGDIB;CD37;TIMP1;UPP1;CD53;POSTN;ANXA1;TPM4;VWF;IGFBP3;RNASET2;IL1R2;BGN;CKAP2;PAWR;CYBB;SOX11;FOS;MMP9;VAV1;RUNX1;FGR;MS4A6A;HCK;SLFN13;PROCR;MELK;TYROBP;LOX;COL4A1;HCLS1;VWA1;IRF8;S100A3;KDELR3;HCST;PPIC;LXN;CLEC12A;SHC1;UHRF1;C5AR1;LY96;FBLN2;CSF2RA;FAM129B;PDLIM1;CLEC7A;CCL3;HMOX1;CCL2;CD14;FCGR1A;ECT2;GBP2;S100A11;CMTM7;ANGPT2;IL10RB;FN1;LY86;LILRB4;EHD2;FAM111A;COL3A1;COL1A2;MAFF;ALOX5AP;FXYD5;TGFBI;FCGR2B;MYO1F
Drug_Perturbations_from_GEO_up	soman 7305 rat GSE13428 sample 2635	85/483	2.0172927876777559e-28	2.282062466060461e-26	0	0	5.0097448394856485	319.47456549325784	CD86;CDKN1A;GMFG;PROS1;SERPINE1;PLEK;TNC;LRRC32;CYR61;CTGF;PYCARD;GLIPR1;PLAU;ARHGDIB;OLR1;TIMP1;UPP1;CD53;MEF2C;POSTN;ANXA1;IL4R;TPM4;RIPK2;IGFBP3;RNASET2;IL1R2;BGN;PAWR;CYBB;SOX11;FOS;MMP9;VAV1;RUNX1;FGR;HCK;SLFN13;PROCR;TYROBP;LOX;COL4A1;IL1B;IRF1;HCLS1;VWA1;IRF8;S100A3;ITGA5;CLEC12A;SHC1;C5AR1;LY96;FBLN2;CSF2RA;PAPSS2;FAM129B;PDLIM1;SOCS3;CLEC7A;INPP5D;CCL3;HMOX1;CCL2;CD14;FCGR1A;ECT2;GBP2;S100A11;CMTM7;ANGPT2;IL10RB;FN1;LY86;ISG15;LILRB4;EHD2;FAM111A;COL3A1;MAFF;FXYD5;TGFBI;FMOD;FCGR2B;MYO1F
Drug_Perturbations_from_GEO_up	bleomycin DB00290 mouse GSE43695 sample 3104	66/311	4.76542435637194e-27	4.79189893612956e-25	0	0	6.222626333275048	377.1434938133973	CD86;CDKN1A;SERPINE1;MS4A7;TNC;TREM2;TNF;CTSS;PLAU;ENC1;CLEC5A;C3AR1;EMILIN2;NRCAM;TIMP1;GPR35;IL1R2;SLC11A1;CKAP2;FOS;VAV1;PGF;TLR1;LOX;MTHFD2;OAS2;DPEP2;FSCN1;COL8A1;COL6A3;KDELR3;ITGA5;PTGER4;CX3CR1;NNMT;CLEC12A;C5AR1;FSTL1;FBLN2;THBS1;SOCS3;P2RY6;CCL3;HMOX1;CCL2;CD300LF;MSR1;ATP8B1;MX2;SPRY4;FN1;LIF;OSM;IFI44;TNFRSF10B;ISG15;LILRB4;COL1A1;TPX2;COL3A1;COL1A2;COL5A2;MNDA;TGFBI;XAF1;FCGR2B
Drug_Perturbations_from_GEO_up	Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458	60/301	3.455563217180072e-23	3.1272847115479648e-21	0	0	5.710108246824944	295.32378176040453	OLFML2B;TNFAIP6;GMFG;SERPINE1;PLEK;TNFAIP2;TNFAIP3;PTPN22;LRRC32;CD3D;GLIPR1;PLAU;ITGAX;OLR1;CD37;PPP1R16B;POSTN;VWF;IL1R1;BGN;KRT7;MMP9;MMP11;HCK;NR5A2;IL1B;PECAM1;HCLS1;CD48;ITGA5;BIRC3;NOTCH3;COL15A1;NNMT;CFH;COL11A1;LAMA4;HTRA1;LY96;TNFRSF11B;TFPI;THBS2;FYB;C7;WIF1;CCL3;CCL2;FCGR1A;MICB;FN1;OSM;LILRB3;SULF1;ARHGAP25;CLEC2B;FAP;ALOX5AP;MNDA;EVI2B;FBN1
