Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Cellular_Component_2021	neuron projection (GO:0043005)	64/556	1.547300478029286e-07	4.657374438868151e-05	0	0	2.163029137091008	33.91972281681431	CHRM3;CPNE6;MAST1;STMN2;STMN4;KNDC1;SLC8A2;CALB2;GRM3;GABRR1;LRRTM1;BSG;TMEM108;NEFL;NEFM;KIF1B;BSN;NEFH;SLC32A1;SLC6A13;COBL;SLC6A12;PRSS12;GABRG2;DNM1;MYOT;ALDH1A1;MAPT;VAMP2;SHANK2;CAMK2B;GPM6A;SPTBN4;CHRNA3;HEPACAM;LRP2;TRAK1;CACNA1G;CACNA1I;FXR2;RELN;SV2B;SV2A;PENK;APOD;NPTX1;MAP4;CAMK2G;RIC3;PRNP;HOMER2;CCK;GRIN1;SLC8A3;CPEB1;MLPH;DLG4;CNTN2;IGSF9B;CPEB3;FGF13;CPEB2;CDK5R2;CDK5R1
GO_Cellular_Component_2021	exocytic vesicle membrane (GO:0099501)	11/41	1.588502940322092e-05	0.0013315953545642	0	0	5.964042675893887	65.90346740594407	SYNPR;SYNGR1;SV2B;SLC32A1;SV2A;CLTB;CLTA;VAMP1;SYN2;SYN1;VAMP2
GO_Cellular_Component_2021	synaptic vesicle membrane (GO:0030672)	11/41	1.588502940322092e-05	0.0013315953545642	0	0	5.964042675893887	65.90346740594407	SYNPR;SYNGR1;SV2B;SLC32A1;SV2A;CLTB;CLTA;VAMP1;SYN2;SYN1;VAMP2
GO_Cellular_Component_2021	chitosome (GO:0045009)	6/12	2.654342899463712e-05	0.0013315953545642	0	0	16.21619293712317	170.8656196291523	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	melanosome membrane (GO:0033162)	6/12	2.654342899463712e-05	0.0013315953545642	0	0	16.21619293712317	170.8656196291523	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	pigment granule membrane (GO:0090741)	6/12	2.654342899463712e-05	0.0013315953545642	0	0	16.21619293712317	170.8656196291523	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	intrinsic component of external side of plasma membrane (GO:0031233)	8/24	4.161768124400535e-05	0.0017895602934922	0	0	8.117773943054358	81.88386765884879	RTBDN;PRNP;IGSF21;F10;CA4;CD24;F3;FOLR1
GO_Cellular_Component_2021	axon (GO:0030424)	27/204	5.856607943013101e-05	0.0022035487385586	0	0	2.496342551293488	24.32774406014193	HEPACAM;CPNE6;LRP2;SLC8A2;GRM3;FXR2;LRRTM1;BSG;TMEM108;NEFL;KIF1B;NEFM;MAP4;BSN;NEFH;COBL;ATP2B3;CCK;PRSS12;DNM1;SLC8A3;MYOT;ALDH1A1;CNTN2;MAPT;FGF13;CDK5R1
GO_Cellular_Component_2021	basolateral plasma membrane (GO:0016323)	21/151	0.00018717846621305016	0.0062600798144586	0	0	2.6363471606927105	22.628948846668063	SLC23A2;CA11;NDRG4;SLC22A6;SLC13A3;SLC6A13;SLC2A1;TGFA;SLC3A2;ABCA8;LIN7B;SLC6A9;ERBB3;CA4;CLDN19;SLC29A4;SLC16A8;SLC22A8;FOLR1;SLC19A1;ATP6V1B1
GO_Cellular_Component_2021	anchored component of plasma membrane (GO:0046658)	10/46	0.0002610864602741924	0.0078587024542531	0	0	4.512868529722462	37.23413908015803	NTNG1;RTBDN;IGSF21;NTNG2;PRNP;CA4;GPC3;GAS1;CD24;FOLR1
