Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	73/387	7.393428658798767e-21	2.1145205964164478e-18	0	0	4.229071883530482	196.03310977122376	ITGB1;CYFIP1;NRP1;TES;TGFB1I1;GDI2;TNC;FHL3;RND3;ACTB;TNFSF13B;LASP1;CDH2;PLAU;CAPN2;JAK2;ACTR3;CAP1;PDGFRB;ANXA1;TPM4;ITGA4;ITGA3;ITGA2;ACTN1;ITGA1;RHOG;PLAUR;KIF23;REXO2;HSPG2;SHROOM4;ENAH;HCK;CDH13;MYH9;ITGA5;ARHGEF2;PFN1;TLN1;PHLDB2;VCL;EPHA2;FBLIM1;NEXN;IQGAP1;THY1;CORO1C;HSP90B1;PDLIM1;LIMA1;MAPK1;CD59;MAP4K4;VASP;YES1;MCAM;CAV1;SPRY4;MSN;ARPC5;PARVB;PTK2;PPFIBP1;MARCKS;ARPC2;PARVG;FAP;FES;ITGA11;ZYX;CSPG4;LIMS1
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	73/394	2.1746432654334467e-20	3.109739869569829e-18	0	0	4.135291499777481	187.22464952904903	ITGB1;CYFIP1;NRP1;TES;TGFB1I1;GDI2;TNC;FHL3;RND3;ACTB;TNFSF13B;LASP1;CDH2;PLAU;CAPN2;JAK2;ACTR3;CAP1;PDGFRB;ANXA1;TPM4;ITGA4;ITGA3;ITGA2;ACTN1;ITGA1;RHOG;PLAUR;KIF23;REXO2;HSPG2;SHROOM4;ENAH;HCK;CDH13;MYH9;ITGA5;ARHGEF2;PFN1;TLN1;PHLDB2;VCL;EPHA2;FBLIM1;NEXN;IQGAP1;THY1;CORO1C;HSP90B1;PDLIM1;LIMA1;MAPK1;CD59;MAP4K4;VASP;YES1;MCAM;CAV1;SPRY4;MSN;ARPC5;PARVB;PTK2;PPFIBP1;MARCKS;ARPC2;PARVG;FAP;FES;ITGA11;ZYX;CSPG4;LIMS1
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	64/380	6.780191188377496e-16	6.463782266253213e-14	0	0	3.651659320556422	127.54280576438444	COL18A1;ECM1;SPARC;TINAGL1;TGFB1I1;COL12A1;SERPINE1;PZP;TNC;CLEC14A;LAMC1;LGALS1;CDH2;EMILIN2;ADAMTS9;POSTN;EGFL7;ANXA1;ANXA2;VWF;HSPG2;SERPINB8;MMP9;ADAM19;COL4A2;COL4A1;MMP23B;PXDN;COL6A1;ANGPTL2;CDH13;COL6A3;S100A4;COL15A1;LAMA4;PDGFB;HTRA1;NID1;THBS2;NID2;THBS1;HSP90B1;THBS3;GPC1;SERPINH1;A2M;S100A10;CTHRC1;ANGPT2;LAMB3;TGFB3;LUM;FN1;LAMB1;SULF1;COL1A1;COL3A1;COL1A2;COL5A1;COL5A2;CSPG4;TGFBI;AGRN;FBN1
GO_Cellular_Component_2021	cytoskeleton (GO:0005856)	71/600	7.177607672288262e-10	5.1319894856861075e-08	0	0	2.408539106805293	50.71151341966618	DYRK2;FHOD1;RND3;ACTB;ZC3H12A;ARHGDIB;KNTC1;TOPBP1;GTSE1;ACTR3;CCDC110;TPM4;RIPK2;TPM3;DDX58;TUBB;TMOD3;RHOG;CKAP2;RHOC;SHROOM4;FSCN1;MYH9;TAX1BP3;ARHGEF2;PHLDB2;DBN1;VCL;NOTCH3;SHMT2;ROCK2;NEXN;IQGAP1;HMMR;CORO1C;AURKA;PDLIM1;LIMA1;CCNB2;NUAK1;SCIN;CALD1;ARSJ;ABL2;STK38L;MAPK1;CCT8;GBP1;VASP;MX2;MSN;ARPC5;PARVB;KLHL4;CDC42BPA;NPM3;PTK2;EHD2;CENPE;ANLN;TPX2;MARCKS;MYO1B;ARPC2;PARVG;PRC1;FES;ZYX;NES;MYO1F;MYO1G
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	44/316	1.1708893479320471e-08	6.697487070171309e-07	0	0	2.8678989197962723	52.376200388193546	NOTCH3;NEXN;IQGAP1;ACTB;CORO1C;LIMA1;LASP1;SCIN;CDH2;CALD1;ARSJ;CAPN2;STK38L;PLS3;ABL2;KNTC1;TOPBP1;GBP1;VASP;ACTR3;ANXA1;TPM4;TPM3;DDX58;ACTN1;PARVB;ARPC5;NPM3;SHROOM4;CLDN5;ANLN;HCK;MARCKS;MYO1B;PARVG;ARPC2;ZYX;FSCN1;HCLS1;MYH9;TAX1BP3;DBN1;MYO1F;MYO1G
GO_Cellular_Component_2021	endoplasmic reticulum lumen (GO:0005788)	40/285	4.3144654959698106e-08	2.0565618864122763e-06	0	0	2.8877067414643585	48.97177339165943	COL18A1;COL15A1;FKBP14;COL12A1;PDGFB;TNC;LAMC1;PRSS23;FSTL1;THBS1;HSP90B1;LGALS1;CDH2;ARSJ;STC2;SERPINH1;SPP1;MAPK1;TIMP1;ADAMTS7;IGFBP3;FN1;PLAUR;GPX7;LAMB1;CKAP4;COL1A1;COL3A1;RCN1;COL1A2;COL4A2;COL5A1;COL4A1;MGAT4A;DNAJB11;COL5A2;COL6A1;CALU;COL6A3;FBN1
GO_Cellular_Component_2021	cell-cell junction (GO:0005911)	36/271	7.869292000069789e-07	3.2151678743142275e-05	0	0	2.7007413658007358	37.95926438790212	NOTCH1;BMPR2;PTPRK;CLDN1;ACTB;RASIP1;PDLIM1;CDH5;PDLIM3;CDH2;GJA4;ECT2;S100A11;CD53;JAG1;ANXA1;ANXA2;ACTN1;TMOD3;FRMD4A;CDC42BPA;SHROOM4;CLDN5;KRT18;CDH11;ZYX;FSCN1;PECAM1;ESAM;ITGA5;TLN1;VCL;EIF4G2;EPHA2;SDCCAG8;LIMS1
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	33/274	1.8357236508704396e-05	0.000656271205186182	0	0	2.406451461659282	26.24352441186169	SPARC;C5AR1;ICA1;IQGAP1;TCIRG1;SLC2A5;STK10;GLIPR1;MMP25;PLAU;CLEC5A;ITGAX;CD59;CD36;CD58;CD53;CD300A;SLC11A1;HLA-B;RHOG;PLAUR;CYBB;NBEAL2;CYBA;DNAJC13;CKAP4;BST1;RAB31;TYROBP;FCGR2A;CD109;PECAM1;PAM
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	36/316	2.6452019180334536e-05	0.0008405863872861863	0	0	2.261230271145285	23.833769699435845	CYFIP1;ECM1;GRN;SPARC;PSMD14;GMFG;SERPINE1;GDI2;PDGFB;THBS1;PYCARD;PRDX4;PGM2;MAPK1;TIMP1;CCT8;OSTF1;A2M;S100A11;TXNDC5;CAP1;ANXA2;APAF1;DYNLT1;VWF;TGFB3;ACTN1;TUBB;HSPA6;FN1;VEGFC;ARPC5;PSMA5;MAN2B1;DOCK2;VCL
GO_Cellular_Component_2021	adherens junction (GO:0005912)	20/132	3.3036916292018247e-05	0.000944855805951722	0	0	3.121760797342193	32.209968736638224	NOTCH1;JAG1;BMPR2;ANXA1;ANXA2;TMOD3;FRMD4A;ACTB;SHROOM4;PDLIM1;CDH5;PDLIM3;KRT18;CDH2;CDH11;ZYX;TLN1;VCL;S100A11;EIF4G2
