Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Molecular_Function_2021	aldehyde dehydrogenase (NAD+) activity (GO:0004029)	6/13	4.685750565336118e-05	0.0125386444313184	0	0	13.898855666297528	138.54934387393558	ALDH3A2;ALDH4A1;ALDH1L1;ALDH2;ALDH1A2;ALDH1A1
GO_Molecular_Function_2021	creatine kinase activity (GO:0004111)	4/5	5.499405452332667e-05	0.0125386444313184	0	0	64.77042132416165	635.2867828874877	CKMT2;CKM;CKMT1A;CKB
GO_Molecular_Function_2021	phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	4/5	5.499405452332667e-05	0.0125386444313184	0	0	64.77042132416165	635.2867828874877	CKMT2;CKM;CKMT1A;CKB
GO_Molecular_Function_2021	carboxylic acid transmembrane transporter activity (GO:0046943)	12/57	9.026185412419698e-05	0.0154347770552376	0	0	4.337777777777778	40.39683789697038	SLC7A4;SLC22A4;SLC23A2;SLC13A3;SLC6A13;SLC6A12;SLC16A8;SLC16A9;SLC6A20;SLC38A3;SLC7A2;SLC19A1
GO_Molecular_Function_2021	aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030)	6/15	0.0001235079346604372	0.0168958854615478	0	0	10.809072638530004	97.27306221696716	ALDH3A2;ALDH4A1;ALDH1L1;ALDH2;ALDH1A2;ALDH1A1
GO_Molecular_Function_2021	calcium ion binding (GO:0005509)	38/348	0.0001541170088063434	0.0175693390039231	0	0	2.011126032172348	17.653258961132952	RYR1;C1R;CABP4;CPNE6;HPCA;ATP2A2;FBLN1;PLA2G5;LRP2;NOL3;THBS4;CALB2;SCUBE1;CDH1;ENPP2;MAN1C1;CAPN3;SNCB;TGM2;AOC3;PRNP;GSN;TNNC1;PLA2G2A;SYT9;SYT7;GRIN1;SYT17;SMOC2;PCP4;PITPNM1;RGN;CASQ2;CASQ1;ASTN2;DNASE1L3;PVALB;CDK5R1
GO_Molecular_Function_2021	organic anion transmembrane transporter activity (GO:0008514)	20/144	0.0002683602317880949	0.0262226283632938	0	0	2.630846246871221	21.633923112601533	RTBDN;SLC23A2;OCA2;SLC22A6;SLC13A3;SLC35D3;SLC6A13;SLC3A2;SLC6A20;SLC1A7;SLC7A2;SLC9A3R1;SLC25A18;SLC6A8;SLC6A9;SLCO4A1;SLC25A42;SLC38A3;SLC19A1;SLC25A25
GO_Molecular_Function_2021	gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	4/7	0.0003500758001986092	0.029799965855152	0	0	21.587847520779597	171.78229280411648	SLC9A3R1;SLC32A1;SLC6A13;SLC6A12
GO_Molecular_Function_2021	potassium ion transmembrane transporter activity (GO:0015079)	8/32	0.00039210481388357913	0.029799965855152	0	0	5.409548461317227	42.43239735911276	ABCC8;TMEM38A;KCNK17;TMEM38B;KCNK1;KCNK3;HCN1;KCNK4
GO_Molecular_Function_2021	amino acid transmembrane transporter activity (GO:0015171)	10/49	0.0004489117062963058	0.0307055607106673	0	0	4.16505994725528	32.10713236882237	SLC7A4;SLC22A4;SLC9A3R1;SLC25A29;SLC6A13;SLC3A2;SLC7A10;SLC6A20;SLC38A3;SLC7A2
