Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	49/322	7.730630772554587e-11	4.8548361251642806e-08	0	0	3.197136833848115	74.43972200123812	ITGB1;TES;BMPR2;RPL34;CDH5;LASP1;CDH2;PPP1R13L;CLIC1;CAST;SH3GLB1;ANXA1;ANXA2;TMOD3;CDH11;FSCN1;CDH13;MYH9;TAGLN2;PFN1;RPL29;TLN1;PHLDB2;DBN1;VCL;EPHA2;NOTCH3;TXNDC9;ARHGAP18;IQGAP1;ZC3HAV1;PDLIM1;LIMA1;CCNB2;CALD1;COBLL1;CCT8;S100A11;VASP;STAT1;ANLN;PPFIBP1;MYO1B;EHD4;KRT18;DIAPH3;DHX29;FXYD5;EIF4G2
GO_Molecular_Function_2021	platelet-derived growth factor binding (GO:0048407)	8/11	1.1206289300329596e-08	3.518774840303493e-06	0	0	46.371051824593685	848.9051389738378	COL1A1;PDGFRB;COL3A1;COL1A2;COL5A1;COL4A1;COL6A1;PDGFB
GO_Molecular_Function_2021	actin binding (GO:0003779)	25/177	1.2752238425663025e-05	0.0026694685771054	0	0	2.8825934579439254	32.48626253027292	ITGB1;FHL3;CXCR4;PDLIM1;LIMA1;PDLIM3;SCIN;CALD1;ABL2;TMSB10;GBP1;CAP1;MICAL2;VASH1;PARVB;PTK2;ANLN;PARVG;FSCN1;MYH9;FXYD5;PFN1;VCL;DBN1;MYO1F
GO_Molecular_Function_2021	protease binding (GO:0002020)	19/118	2.1642935100534288e-05	0.0033979408107838	0	0	3.3543051331155422	36.02802616753373	ITGB1;ECM1;ANXA2;VWF;ITGA3;RIPK2;SERPINE1;PZP;FN1;TNF;PYCARD;COL1A1;COL3A1;COL1A2;FAP;CD28;TIMP1;A2M;TP53
GO_Molecular_Function_2021	collagen binding involved in cell-matrix adhesion (GO:0098639)	4/5	4.274159565958418e-05	0.0053683444148437	0	0	69.30889092575619	697.2708673624144	ITGB1;ITGA2;ITGA1;ITGA11
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	49/506	7.947656232859966e-05	0.00831854685706	0	0	1.8910259360447843	17.851376349147515	ITGB1;ACVRL1;TOP2A;CDKN1A;BMPR2;PLEK;KIF11;PTPRK;FOXM1;RND3;ACTB;CDH5;SPRED1;CCND1;RB1CC1;FBXO5;JAK2;PDGFRB;DAXX;RHOG;IRAK3;RHOC;CKS2;HCLS1;KIF20A;TP53;SHC1;ADCY4;PARD6G;IQGAP1;THY1;HIF1A;AURKA;RACGAP1;GRK5;IRAK1;TPR;CDKN2B;CDKN2A;CAV1;MSN;NBEAL2;PTK2;TPX2;PRC1;NOX4;CSPG4;TRIM38;LIMS1
GO_Molecular_Function_2021	purine ribonucleoside triphosphate binding (GO:0035639)	45/460	0.00012153068469292396	0.0109030385695937	0	0	1.9094664371772805	17.21449636400357	ACVRL1;ARF4;DYRK2;SMC4;RND3;TUBB6;MTHFD1L;MKNK1;TDG;PAPOLA;PDK3;STK38L;MAP4K5;GBP1;MAP4K4;KCNJ8;MLKL;TUBB;MX2;HSPA6;TAP2;RHOG;TAP1;IRAK3;TRNT1;GNL2;CDC42BPA;RHOC;GNL3;RAB32;MYO1B;SNRK;RAP2A;RIT1;RAB31;CDK6;KIFC1;OAS2;OAS3;RHOJ;MYH9;TRIP13;ERCC6;ABCE1;MYO1F
GO_Molecular_Function_2021	cell-matrix adhesion mediator activity (GO:0098634)	4/7	0.00027371674893253466	0.0194668296943109	0	0	23.100519401161016	189.5031877729602	ITGB1;ITGA2;ITGA1;ITGA11
GO_Molecular_Function_2021	cadherin binding involved in cell-cell adhesion (GO:0098641)	6/18	0.0002789832281031817	0.0194668296943109	0	0	8.67447199265381	70.99499198886978	PDLIM1;ANXA1;KRT18;ANXA2;TMOD3;S100A11
GO_Molecular_Function_2021	ATP binding (GO:0005524)	30/278	0.00031211952438086634	0.0196011061311184	0	0	2.1191503861880965	17.106045439066968	ACVRL1;DYRK2;SMC4;MTHFD1L;MKNK1;TDG;PAPOLA;PDK3;STK38L;MAP4K5;MAP4K4;MLKL;KCNJ8;HSPA6;TAP2;TAP1;IRAK3;TRNT1;CDC42BPA;MYO1B;SNRK;CDK6;KIFC1;OAS2;OAS3;MYH9;TRIP13;ERCC6;ABCE1;MYO1F
