Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
KEGG_2021_Human	Tyrosine metabolism	11/36	3.954683280660398e-06	0.0005693657541568157	0	0	7.158754325259515	89.05927093768909	AOC3;GSTZ1;AOC2;GOT1;HGD;DCT;TYRP1;GOT2;AOX1;TYR;HPD
KEGG_2021_Human	Arginine and proline metabolism	13/50	3.981578700397313e-06	0.0005693657541568157	0	0	5.722703639514731	71.15513654899418	CKM;GOT1;CKMT1A;GOT2;SAT2;CNDP1;ALDH3A2;CKMT2;ALDH4A1;ALDH2;CKMT1B;CKB;PRODH
KEGG_2021_Human	GABAergic synapse	16/89	5.084342704745644e-05	0.0048470733785241	0	0	3.5723551884603024	35.319017330747094	GABARAPL1;SLC32A1;GLS2;GAD1;SLC6A13;SLC6A12;GABRG2;GNG13;GNAO1;GABRR1;GNG3;GNGT2;GNG7;GNG8;SLC38A3;GLUL
KEGG_2021_Human	Synaptic vesicle cycle	14/78	0.0001501652854803141	0.0107368179118424	0	0	3.560900910667823	31.349366737527983	SLC32A1;STXBP1;CLTB;SLC6A13;CLTA;SLC6A12;SLC1A7;DNM1;CPLX3;SLC6A9;VAMP2;ATP6V1B1;ATP6V0A1;ATP6V1C2
KEGG_2021_Human	beta-Alanine metabolism	8/30	0.00024212295776572372	0.0138494331841993	0	0	5.9019530943603415	49.14004432865656	AOC3;ALDH3A2;ALDH6A1;AOC2;ALDH2;GAD1;MLYCD;CNDP1
KEGG_2021_Human	Glutamatergic synapse	17/114	0.00032464704850825363	0.01547484264556	0	0	2.855329448677723	22.93621036146705	HOMER2;GLS2;GRIK1;GRIN2C;SLC1A7;GNG13;GRIN1;GNAO1;GRM3;GNG3;GNGT2;DLG4;GNG7;GNG8;SLC38A3;GLUL;SHANK2
KEGG_2021_Human	Phenylalanine metabolism	5/17	0.0022996666348302	0.0823613325167454	0	0	6.748780837636259	40.99878357801008	AOC3;AOC2;GOT1;GOT2;HPD
KEGG_2021_Human	Mineral absorption	10/60	0.0023038134969718	0.0823613325167454	0	0	3.246845289541919	19.7187066781009	SLC8A3;FTH1;MT1M;MT1G;ATP2B3;MT1H;ATP2B2;ATP1B1;STEAP2;SLC8A2
KEGG_2021_Human	Circadian entrainment	13/97	0.0041281032947654	0.1311819491447677	0	0	2.514411570520756	13.803961687916152	RYR1;CAMK2B;GRIN2C;CACNA1G;GNG13;GRIN1;GNAO1;CACNA1I;GNG3;GNGT2;GNG7;GNG8;CAMK2G
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	7/37	0.0049848151635104	0.1425657136763991	0	0	3.782212643678161	20.05086686748042	ALDH4A1;GOT1;GLS2;GAD1;GOT2;GLUL;ASPA
KEGG_2021_Human	Retinol metabolism	10/68	0.0058386296013737	0.1518043696357182	0	0	2.797812416177391	14.3898743569874	CYP26A1;RDH8;RETSAT;ALDH1A2;RDH10;ALDH1A1;AOX1;RDH5;LRAT;RPE65
KEGG_2021_Human	Calcium signaling pathway	24/240	0.0071515845385978	0.1688895842040003	0	0	1.8097598911247208	8.940976373790953	RYR1;CAMK2B;CHRM3;PDGFRA;MCOLN3;TNNC1;ATP2A2;ATP2B3;PHKA1;ATP2B2;GRIN2C;GRIN1;SLC8A2;CACNA1G;SLC8A3;CACNA1I;EDNRB;ERBB3;ADORA2B;CASQ2;CASQ1;MET;SLC25A4;CAMK2G
KEGG_2021_Human	Histidine metabolism	5/22	0.007676799282	0.1688895842040003	0	0	4.762579730687456	23.19163240953572	ALDH3A2;ALDH2;HDC;ASPA;CNDP1
KEGG_2021_Human	AMPK signaling pathway	14/120	0.0101986393248219	0.2001614901624779	0	0	2.1451668330360505	9.83666458751558	PFKFB2;SREBF1;PFKFB3;SCD5;PRKAG1;ACACB;LIPE;G6PC2;PPP2R2C;LEPR;MLYCD;PPARGC1A;PFKM;FBP2
