Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Reactome_2022	Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902	12/23	1.0932700536050218e-09	1.261633641860195e-06	0	0	17.777567886658797	366.8239816684407	RBP4;TTR;RDH8;RBP3;CYP4V2;RDH10;RDH5;LRAT;MYO7A;RLBP1;RPE65;STRA6
Reactome_2022	Neuronal System R-HSA-112316	52/386	1.5243316006992926e-08	8.795393336034919e-06	0	0	2.583034827206573	46.49236602286528	ACHE;PRKAG1;GRIK1;PTPRF;PANX2;GABRR1;GNGT2;ALDH2;LRRTM1;NEFL;GLUL;KCNH2;SLC32A1;ABCC8;SLC6A13;CACNA2D2;SLC6A12;KCNK17;SYN2;GABRG2;SYN1;KCNQ2;MAPT;VAMP2;SHANK2;CAMK2B;CHRNA3;GLS2;STXBP1;NRXN2;KCNA5;LIN7B;PPM1E;SLC1A7;NCALD;GNG3;GNG7;GNG8;CACNG3;CAMK2G;MPP2;HOMER2;GAD1;KCNJ14;GRIN2C;SYT9;SYT7;GNG13;KCNK1;KCNK3;KCNK4;HCN1
Reactome_2022	Transport Of Small Molecules R-HSA-382551	77/706	8.300610734794304e-08	3.192968262650876e-05	0	0	2.0444684295736644	33.33373221176652	RYR1;SLC44A3;SLC2A1;CLTA;ATP2A2;SLC7A10;SLC4A5;SLC8A2;GNGT2;FTH1;LIPG;BSG;CA4;SLC16A8;SLC26A11;MYLIP;SLC13A3;SLC15A2;SLC13A4;SLC2A11;SLC32A1;SLC30A2;TSC22D3;SLC2A12;SLC6A13;SLC6A12;ATP1B1;SLC25A18;AZGP1;SLCO4A1;SCNN1A;SLC29A4;SGK3;UBA52;SLC25A4;STEAP2;ATP6V1B1;SLC22A4;CAMK2B;SLC22A6;SLC22A5;SLC20A2;WNK4;CLCNKA;NEDD4L;ATP10B;SLC3A2;SLC6A20;SLC1A7;SLC7A2;CYB5R2;TRPM1;SLC25A29;GNG3;LCN12;GNG7;GNG8;APOD;SLC38A3;CAMK2G;TRPM3;ATP6V0A1;ATP6V1C2;MCOLN3;ABCA9;ATP2B3;ABCA8;GNG13;SLC8A3;CLCN6;CLCN4;SLC6A9;FXYD3;WNK2;LCN2;AQP11;SLC22A8
Reactome_2022	Cardiac Conduction R-HSA-5576891	24/126	2.46763156695834e-07	7.11911707067481e-05	0	0	3.855900365395502	58.6668949312196	KCNH2;RYR1;CAMK2B;KCNK12;KCNJ14;CACNA2D2;ATP2A2;ATP2B3;KCNA5;KCNK17;ATP1B1;SLC8A2;HIPK2;SLC8A3;NPPC;FXYD3;SCN3B;FGF13;KCNK1;CAMK2G;KCNK3;CES1;SCN2B;KCNK4
Reactome_2022	SLC-mediated Transmembrane Transport R-HSA-425407	36/247	3.6601938655187493e-07	7.392689196910091e-05	0	0	2.8092071354042263	41.63407778399438	SLC22A4;SLC22A6;SLC44A3;SLC22A5;SLC20A2;SLC2A1;SLC3A2;SLC6A20;SLC7A10;SLC1A7;SLC4A5;SLC7A2;SLC8A2;SLC25A29;LCN12;BSG;APOD;SLC16A8;SLC26A11;SLC38A3;SLC13A3;SLC15A2;SLC13A4;SLC2A11;SLC32A1;SLC30A2;SLC2A12;SLC6A13;SLC6A12;SLC8A3;SLC25A18;SLC6A9;SLCO4A1;SLC29A4;SLC22A8;SLC25A4
Reactome_2022	Muscle Contraction R-HSA-397014	31/196	3.843685890941122e-07	7.392689196910091e-05	0	0	3.087430644472898	45.60648772464254	RYR1;CAMK2B;ATP2A2;KCNA5;SLC8A2;CACNA1G;NPPC;TTR;ALDH2;SCN3B;CAMK2G;KCNH2;TMOD1;KCNK12;TPM2;KCNJ14;CACNA2D2;ATP2B3;KCNK17;ATP1B1;HIPK2;MYL4;SLC8A3;DES;FXYD3;FGF13;KCNK1;KCNK3;CES1;SCN2B;KCNK4
Reactome_2022	Melanin Biosynthesis R-HSA-5662702	5/5	6.708931673517805e-07	0.00011060153073199352	0	0	94165.0	1338523.075340666	OCA2;SLC45A2;DCT;TYRP1;TYR
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	34/246	2.609480047721085e-06	0.00036465073757270105	0	0	2.635822411697114	33.887080692472445	CAMK2B;ACHE;CHRNA3;GLS2;STXBP1;PRKAG1;GRIK1;LIN7B;SLC1A7;PPM1E;NCALD;GABRR1;GNG3;GNGT2;ALDH2;GNG7;NEFL;GNG8;GLUL;CACNG3;CAMK2G;MPP2;SLC32A1;GAD1;SLC6A13;CACNA2D2;SLC6A12;GRIN2C;SYN2;GABRG2;SYN1;GNG13;MAPT;VAMP2
Reactome_2022	Diseases Associated With Visual Transduction R-HSA-2474795	7/13	2.8438965668581537e-06	0.00036465073757270105	0	0	18.93520114942529	241.80886983965985	OPN1SW;RBP4;TTR;RDH5;LRAT;RLBP1;STRA6
Reactome_2022	Visual Phototransduction R-HSA-2187338	19/98	3.278112311724797e-06	0.0003782941607730416	0	0	3.9289683764830414	49.61596667444984	RETSAT;SDC4;RDH8;MYO7A;LRP2;LRP8;RPE65;RLBP1;RBP4;OPN1SW;TTR;RBP3;RGS9BP;RDH10;CYP4V2;GPC3;RDH5;LRAT;STRA6
Reactome_2022	Creatine Metabolism R-HSA-71288	6/10	6.677657014071017e-06	0.0007005469267489049	0	0	24.32687338501292	289.897107326524	CKMT2;SLC6A8;CKM;CKMT1A;SLC6A12;CKB
Reactome_2022	Toxicity Of Botulinum Toxin Type D (botD) R-HSA-5250955	4/5	5.499405452332667e-05	0.0048817799169168	0	0	64.77042132416165	635.2867828874877	SV2B;SV2A;VAMP1;VAMP2
Reactome_2022	Toxicity Of Botulinum Toxin Type F (botF) R-HSA-5250981	4/5	5.499405452332667e-05	0.0048817799169168	0	0	64.77042132416165	635.2867828874877	SV2B;SV2A;VAMP1;VAMP2
Reactome_2022	Ion Channel Transport R-HSA-983712	24/175	8.417846390825071e-05	0.0069387105250086	0	0	2.597834211120961	24.374365081593965	RYR1;CAMK2B;MCOLN3;TSC22D3;WNK4;CLCNKA;NEDD4L;ATP2A2;ATP10B;ATP2B3;ATP1B1;TRPM1;CLCN6;CLCN4;FXYD3;WNK2;SCNN1A;SGK3;UBA52;CAMK2G;TRPM3;ATP6V0A1;ATP6V1C2;ATP6V1B1
Reactome_2022	Neurotransmitter Release Cycle R-HSA-112310	11/50	0.00011582017701868636	0.0089104322853042	0	0	4.5855292343181615	41.56081475554037	SLC32A1;GLS2;STXBP1;GAD1;SLC6A13;SLC6A12;SYN2;LIN7B;SLC1A7;SYN1;VAMP2
Reactome_2022	Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393	16/104	0.00033615715594405976	0.0242453348724653	0	0	2.961061527525472	23.682368097460067	SLC15A2;SLC32A1;SLC20A2;SLC6A12;SLC3A2;SLC6A20;SLC7A10;SLC1A7;SLC4A5;SLC7A2;SLC8A2;SLC8A3;SLC25A18;SLC25A29;SLC26A11;SLC38A3
Reactome_2022	Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366	14/86	0.00043114977958745007	0.0292674615084657	0	0	3.163896116411294	24.51720505764777	SLC22A4;SLC44A3;SLC13A3;SLC22A6;SLC13A4;SLC22A5;SLC30A2;SLC6A13;SLC6A12;SLC6A20;SLC6A9;BSG;SLC16A8;SLC22A8
Reactome_2022	GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590	6/19	0.0005471924430913351	0.0332347410172316	0	0	7.481613993241901	56.192233049332586	SLC32A1;GAD1;STXBP1;SLC6A13;SLC6A12;VAMP2
Reactome_2022	Phase 4 - Resting Membrane Potential R-HSA-5576886	6/19	0.0005471924430913351	0.0332347410172316	0	0	7.481613993241901	56.192233049332586	KCNK12;KCNJ14;KCNK17;KCNK1;KCNK3;KCNK4
Reactome_2022	Potassium Channels R-HSA-1296071	15/102	0.0008277670973265356	0.0473431506438395	0	0	2.8056154214559386	19.910831837921517	KCNH2;ABCC8;KCNJ14;KCNA5;KCNK17;GNG13;GNG3;GNGT2;GNG7;KCNQ2;GNG8;KCNK1;KCNK3;HCN1;KCNK4
Reactome_2022	Response To Metal Ions R-HSA-5660526	5/14	0.0008615304709884149	0.0473431506438395	0	0	8.999808758844903	63.50985164577232	MT1M;MT1G;MT1H;SNCB;MT3
Reactome_2022	Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324	6/21	0.000989722383500829	0.0519154377527253	0	0	6.483376399655469	44.852555988578565	CAMK2B;MPP2;NEFL;GRIN2C;PPM1E;CAMK2G
