Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	57/291	2.534229084236038e-17	3.307168954928029e-14	0	0	4.381564646015513	167.43736156530892	ITGB1;COL18A1;SPARC;COL12A1;SERPINE1;ICAM2;LOXL3;PLOD2;PLOD1;LAMC1;ADAMTS2;CASP3;CAPN2;ITGAX;TIMP1;ADAMTS9;ITGA4;ITGA3;ACTN1;ITGA2;ITGA1;HSPG2;MMP9;ADAM19;MMP11;COL4A2;LOX;COL4A1;PXDN;COL6A1;PECAM1;COL6A3;ITGA5;COL15A1;LAMA4;PDGFB;HTRA1;NID1;NID2;THBS1;SERPINH1;LAMB3;TGFB3;LUM;FN1;LAMB1;COL1A1;COL3A1;CAPN11;COL1A2;BMP1;COL5A1;MFAP3;COL5A2;ITGA11;AGRN;FBN1
Reactome_2022	Immune System R-HSA-168256	182/1943	1.541986289179646e-13	1.0061460536897189e-10	0	0	1.940677686742012	57.251029682616384	CD86;CYFIP1;GMFG;CCNF;ICAM2;IFI30;TNF;IL27RA;CDC20;PYCARD;STK10;HERC4;CCND1;PLAU;CLEC5A;CPNE2;OSTF1;MAP3K7;TNFRSF4;MEF2C;IL4R;CD300A;SLC11A1;RNASE6;HLA-B;CYBB;CYBA;ATG12;TYROBP;RAB31;HECW2;PSME4;FSCN1;KIF20A;TP53;VCL;RNASEH2A;PSMD14;CFH;SHC1;C5AR1;LY96;IQGAP1;HIF1A;CSF2RA;HSP90B1;RASGRP3;SOCS3;PRDX4;RACGAP1;IRAK1;INPP5D;TPR;ABL2;SLAMF6;CD300LF;S100A11;TXNDC5;VASP;YES1;UBE2C;SIGLEC10;HSPA6;FN1;LY86;LIF;MSN;NBEAL2;ISG15;DNAJC13;ARPC5;PILRA;PTK2;NFKB2;BST1;COL1A2;ARPC2;TNFSF4;CD28;HLA-DRA;MAN2B1;XAF1;EIF4G3;ULBP1;EIF4G2;ITGB1;CDKN1A;TINAGL1;TNFAIP6;SH3KBP1;GDI2;KIF11;TCIRG1;SLC2A5;TNFSF13B;KIF15;PANX1;GLIPR1;SEC61G;CASP3;CASP4;ITGAX;CASP1;PGM2;CD36;TIMP1;JAK2;IKBKE;HAVCR2;ACTR3;CAP1;CD53;EGFL7;ANXA1;APAF1;ITGA4;TNFRSF12A;DYNLT1;ANXA2;RIPK2;IFNGR1;TUBB;RHOG;PLAUR;KIF23;IRAK3;BTN3A2;PPP2R5C;MMP9;CKAP4;GNL3;PSMA5;ENAH;TLR1;HCK;PSMA3;PSMA4;OAS2;IRF1;OAS3;IL3RA;PECAM1;BIRC5;MYH9;EIF4E2;DOCK2;TLR4;DOCK1;BIRC2;DYNC1I2;GRN;SP100;IFI16;AP2S1;STAT4;CCL3;IL21R;CCL2;MAPK1;CD59;CCT8;CD58;FCGR1A;GBP1;MICB;IL32;STAT1;IL10RB;MX2;CARD9;PTPN12;LILRB4;FKBP1A;CENPE;FCGR2A;KLHL5;NEDD4;IL2RB;TRIM38;SEC24D;ABCE1;SIPA1
Reactome_2022	Hemostasis R-HSA-109582	77/576	3.042837215522869e-13	1.3236341887524479e-10	0	0	2.789984684496695	80.40963477204298	ITGB1;DOCK6;ECM1;CD84;SPARC;DGKA;SERPINE1;PLEK;KIF11;PIK3CG;KIF15;DOCK10;DOCK11;PLAU;ITGAX;TIMP1;CD36;JAK2;CAP1;GUCY1A2;TRPC6;ANXA2;ITGA4;VWF;ITGA3;ITGA2;ACTN1;F2R;ITGA1;RHOG;PLAUR;KIF23;PPP2R5C;SERPINB8;SLC7A7;KIFC1;CD109;IRF1;PECAM1;TAGLN2;ITGA5;KIF20A;PFN1;TLN1;DOCK2;TP53;DOCK1;VCL;HDAC2;SHC1;PDGFB;TFPI;THBS1;GNAI2;RACGAP1;TBXA2R;INPP5D;GPC1;MAPK1;CD58;S100A10;ANGPT2;YES1;TGFB3;CAV1;FN1;TNFRSF10B;VEGFC;PTK2;TNFRSF10D;EHD2;CENPE;MAFF;CALU;GNB4;ESAM;F2RL3
Reactome_2022	Signaling By Rho GTPases R-HSA-194315	82/644	7.126464063898016e-13	2.325008900846728e-10	0	0	2.642034336543089	73.89714826400892	ITGB1;DOCK6;CYFIP1;AHCTF1;ZWILCH;TNFAIP1;RND3;CDC20;DOCK10;STK10;DOCK11;ARHGDIB;EPSTI1;KNTC1;ACTR3;PLEKHG1;PLEKHG2;TPM4;ARHGEF15;TPM3;ACTN1;TMOD3;RHOG;CYBB;CYBA;PPP2R5C;GMIP;REXO2;RHOC;CKAP4;GFOD1;RHOJ;BIRC5;MYH9;TAX1BP3;ARHGEF2;PFN1;DOCK2;DOCK1;DBN1;ITGB3BP;EPHA2;ARHGEF6;DYNC1I2;SHMT2;PKN3;ROCK2;CDCA8;ARHGAP18;IQGAP1;SLC1A5;ARHGAP15;UACA;AURKB;FGD5;SCFD1;RACGAP1;ABL2;MAPK1;ECT2;BUB1;IL32;PPP1R14A;STARD13;JAG1;MCAM;CAV1;ARPC5;CDC42BPA;ARHGAP25;PTK2;ZWINT;FMNL3;CENPE;ANLN;CENPF;DIAPH2;DIAPH3;ARPC2;PRC1;CENPM;SPC24
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	82/660	2.6299821985215198e-12	6.864253538141164e-10	0	0	2.566657671720915	68.43747319022462	ITGB1;DOCK6;CYFIP1;AHCTF1;ZWILCH;TNFAIP1;RND3;CDC20;DOCK10;STK10;DOCK11;ARHGDIB;EPSTI1;KNTC1;ACTR3;PLEKHG1;PLEKHG2;TPM4;ARHGEF15;TPM3;ACTN1;TMOD3;RHOG;CYBB;CYBA;PPP2R5C;GMIP;REXO2;RHOC;CKAP4;GFOD1;RHOJ;BIRC5;MYH9;TAX1BP3;ARHGEF2;PFN1;DOCK2;DOCK1;DBN1;ITGB3BP;EPHA2;ARHGEF6;DYNC1I2;SHMT2;PKN3;ROCK2;CDCA8;ARHGAP18;IQGAP1;SLC1A5;ARHGAP15;UACA;AURKB;FGD5;SCFD1;RACGAP1;ABL2;MAPK1;ECT2;BUB1;IL32;PPP1R14A;STARD13;JAG1;MCAM;CAV1;ARPC5;CDC42BPA;ARHGAP25;PTK2;ZWINT;FMNL3;CENPE;ANLN;CENPF;DIAPH2;DIAPH3;ARPC2;PRC1;CENPM;SPC24
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	82/702	6.268355553141934e-11	1.3633673328083711e-08	0	0	2.387303760787186	56.084740982595015	ITGB1;CD86;CDKN1A;IFI30;TNF;TNFSF13B;IL27RA;CCND1;CASP3;ITGAX;CASP1;TIMP1;CD36;JAK2;MAP3K7;TNFRSF4;HAVCR2;MEF2C;ANXA1;IL4R;ANXA2;TNFRSF12A;IFNGR1;RIPK2;HLA-B;IRAK3;MMP9;GNL3;PSMA5;HCK;PSMA3;PSMA4;OAS2;IRF1;OAS3;PSME4;IL3RA;FSCN1;BIRC5;EIF4E2;TP53;BIRC2;SP100;RNASEH2A;PSMD14;SHC1;HIF1A;CSF2RA;HSP90B1;SOCS3;IRAK1;INPP5D;TPR;STAT4;CCL3;IL21R;ABL2;CCL2;MAPK1;FCGR1A;GBP1;IL32;YES1;IL10RB;STAT1;MX2;FN1;LIF;MSN;ISG15;PTPN12;NFKB2;COL1A2;TNFSF4;NEDD4;IL2RB;HLA-DRA;TRIM38;XAF1;ABCE1;EIF4G3;EIF4G2
Reactome_2022	Laminin Interactions R-HSA-3000157	12/22	2.6533106035017737e-10	4.9465290536711654e-08	0	0	20.93628808864266	461.6460481201132	ITGB1;COL18A1;LAMB3;ITGA3;ITGA2;LAMA4;ITGA1;LAMB1;LAMC1;NID1;HSPG2;NID2
Reactome_2022	Collagen Formation R-HSA-1474290	23/90	3.559299625425337e-10	5.8061075139750815e-08	0	0	6.032440409890844	131.24350570566176	COL18A1;COL15A1;LAMB3;LAMA4;COL12A1;LOXL3;PLOD2;PLOD1;MMP9;COL1A1;ADAMTS2;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;SERPINH1;COL6A3
Reactome_2022	Signal Transduction R-HSA-162582	204/2465	4.521021768964616e-10	6.555481564998693e-08	0	0	1.6854256854256855	36.26549476892455	CYFIP1;SPARC;SERPINE1;CDC20;TIAL1;CHEK1;EPSTI1;PDK3;SOX7;MEF2C;ACTN1;RUNX1;PSME4;PFN1;TLN1;TP53;EPHA2;SHMT2;PDGFB;CDCA8;IQGAP1;HIF1A;SCFD1;RACGAP1;STARD13;JAG1;YES1;MCAM;FN1;PTK2;ZWINT;ANLN;COL1A2;CD28;ACVRL1;NRP1;CDKN1A;AHCTF1;SH3KBP1;PTPRK;LFNG;HEY2;JAK2;ANXA1;RIPK2;RHOG;GMIP;RHOC;PSMA5;PSMA3;PSMA4;NR5A2;PTRH2;PXDN;RHOJ;TAX1BP3;ARHGEF2;PLCB1;PLCB2;DBN1;ARHGEF6;DYNC1I2;PKN3;ADCY4;CXCR4;FSTL1;GNAI2;FGD5;AP2S1;LEO1;IL32;CDKN2B;STAT1;VEGFC;GPR4;FKBP1A;CENPE;HEYL;CENPF;NEDD4;TACC3;CENPM;SPC24;F2RL3;CD86;ZWILCH;GPR65;DGKA;PRDM1;TNF;DOCK10;STK10;CDH5;DOCK11;CCND1;ADORA3;ARHGDIB;KNTC1;MAP3K7;PDGFRB;TPM4;TPM3;TMOD3;F2R;CYBB;CYBA;COL4A2;COL4A1;VCL;NOTCH3;RNASEH2A;NOTCH1;PSMD14;SHC1;NOTCH4;C5AR1;ARHGAP18;SLC1A5;ARHGAP15;CSF2RA;RASGRP3;SOCS3;GRK5;IRAK1;TBXA2R;ABL2;ECT2;TGFB3;CAV1;CBX2;TNFRSF10B;INHBB;ARPC5;ARHGAP25;TNFRSF10D;DIAPH2;DIAPH3;ARPC2;FES;GNB4;ITGB1;DOCK6;BMPR2;LAMC1;TNFAIP1;TCIRG1;RND3;PIK3CG;SPRED1;CASP3;GRM8;GPSM3;ACTR3;PLEKHG1;TRPC6;PLEKHG2;ARHGEF15;NCBP1;VWF;ITGA3;ITGA2;PPP2R5C;REXO2;MMP9;CKAP4;GFOD1;IL3RA;COL6A1;BIRC5;COL6A3;MYH9;ITGA5;DOCK2;DOCK1;BIRC2;ITGB3BP;PRKAA1;HDAC2;RGS19;ROCK2;LAMA4;LEF1;THBS2;UACA;THBS1;AURKB;THBS3;DLL4;MKNK1;CCL3;CCL2;MAPK1;BUB1;PPP1R14A;LAMB3;LAMB1;PTPN12;CDC42BPA;APLN;FMNL3;PRC1;IL2RB;APOC1;RGS10
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	18/57	6.905113825565655e-10	9.011173542363181e-08	0	0	8.084851082065567	170.53852309194943	COL18A1;COL15A1;LAMB3;LAMA4;LOXL3;MMP9;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;COL6A3
