Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Biological_Process_2021	visual perception (GO:0007601)	28/93	2.5774546422614442e-12	6.697859810784711e-09	0	0	6.380448463371418	170.25728269035028	SLC24A1;CABP4;PITPNA;RAX;TULP1;ARR3;CACNA1F;TRPM1;RS1;GNAT2;RDH12;RDH10;SIX3;GNAT1;WFS1;ROM1;PAX6;CACNA2D4;MYO7A;TYR;RPE65;GPR143;RBP3;SFRP5;UNC119;FSCN2;REEP6;CNGB1
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	23/64	3.71896713536075e-12	6.697859810784711e-09	0	0	8.2868169188021	218.08892691526336	SDC4;RARRES2;ABCA4;LPL;LRP2;LRP8;RLBP1;RPE65;ALDH3A2;RBP4;OPN1SW;TTR;OPN1MW;RDH12;OPN1LW;RBP3;CYP4V2;RDH10;RBP1;GPC3;RHO;RDH5;LRAT
GO_Biological_Process_2021	detection of visible light (GO:0009584)	12/17	2.194892132126756e-11	2.5439088178449452e-08	0	0	35.21505882352941	864.2586480411112	GNAT2;GNA11;ABCA4;RHO;PDE6B;CACNA2D4;TULP1;GNAT1;REEP6;CACNA1F;RPE65;CNGB1
GO_Biological_Process_2021	sensory perception of light stimulus (GO:0050953)	27/95	2.8249959109882787e-11	2.5439088178449452e-08	0	0	5.875525210084033	142.7160908121345	SLC24A1;CABP4;PITPNA;RAX;TULP1;ARR3;CACNA1F;TRPM1;RS1;GNAT2;RDH12;RDH10;SIX3;CDH23;GNAT1;WFS1;ROM1;PAX6;MYO7A;TYR;RPE65;GPR143;RBP3;SFRP5;UNC119;FSCN2;CNGB1
GO_Biological_Process_2021	phototransduction, visible light (GO:0007603)	11/15	8.071495220802427e-11	5.8147051570660686e-08	0	0	40.32112068965517	937.0667671221382	GNGT1;PDE6G;GNA11;ABCA4;CNGA1;RHO;SAG;PDE6B;GNAT1;PDE6A;CNGB1
GO_Biological_Process_2021	rhodopsin mediated signaling pathway (GO:0016056)	9/11	9.002452498936428e-10	5.404472316861503e-07	0	0	65.88380281690141	1372.251160679108	GNGT1;PDE6G;CNGA1;RHO;SAG;PDE6B;GNAT1;PDE6A;CNGB1
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	24/92	2.3993664319721472e-09	1.234645412566239e-06	0	0	5.210283638395976	103.41402811326212	SDC4;RARRES2;ABCA4;LPL;LRP2;LRP8;RLBP1;RPE65;CYP26A1;RBP4;OPN1SW;TTR;OPN1MW;RDH12;OPN1LW;RBP3;CYP4V2;ALDH1A2;RDH10;RBP1;GPC3;RHO;RDH5;LRAT
GO_Biological_Process_2021	carboxylic acid transport (GO:0046942)	18/57	8.893480754933352e-09	4.004289709908742e-06	0	0	6.7917803236952174	125.9056659044353	SLC23A2;SLC13A3;SLC6A17;SLC6A15;SLC6A13;SLC6A12;SLC3A2;SLC6A20;SLC1A7;SLC16A14;SLC25A29;SLC7A8;SLC6A9;SLC16A6;SLC16A8;SLC16A9;SLC38A3;SLC16A3
GO_Biological_Process_2021	detection of light stimulus involved in sensory perception (GO:0050962)	8/11	3.9877415899059316e-08	1.4363845206841162e-05	0	0	39.009642950221526	664.6250632809198	GNAT2;CACNA2D4;GNAT1;REEP6;TULP1;CACNA1F;RPE65;CNGB1
GO_Biological_Process_2021	detection of light stimulus involved in visual perception (GO:0050908)	8/11	3.9877415899059316e-08	1.4363845206841162e-05	0	0	39.009642950221526	664.6250632809198	GNAT2;CACNA2D4;GNAT1;REEP6;TULP1;CACNA1F;RPE65;CNGB1
