Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	51/216	2.2613005249395185e-23	5.0270489376932485e-20	0	0	7.040734265734265	367.1286471423575	ITGB1;COL18A1;SPARC;ECM2;COL14A1;SERPINE1;TNC;LAMC1;ITGAX;SLC39A8;ADAMTS6;ADAMTS7;POSTN;ITGA4;VWF;ITGA2;ITGA1;BGN;HSPG2;MMP9;DCN;MMP11;COL4A2;LOX;COL4A1;MMP23B;PXDN;COL6A1;PECAM1;COL8A1;COL6A3;ITGA5;COL15A1;COL11A1;LAMA4;PDGFB;THBS1;LAMB3;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A2;ITGA11;TGFBI;AGRN;FBN1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	51/217	2.8345356288092746e-23	5.0270489376932485e-20	0	0	6.99795093836886	363.3166707820919	ITGB1;COL18A1;SPARC;ECM2;COL14A1;SERPINE1;TNC;LAMC1;ITGAX;SLC39A8;ADAMTS6;ADAMTS7;POSTN;ITGA4;VWF;ITGA2;ITGA1;BGN;HSPG2;MMP9;DCN;MMP11;COL4A2;LOX;COL4A1;MMP23B;PXDN;COL6A1;PECAM1;COL8A1;COL6A3;ITGA5;COL15A1;COL11A1;LAMA4;PDGFB;THBS1;LAMB3;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A2;ITGA11;TGFBI;AGRN;FBN1
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	59/300	1.6530063695109088e-22	1.954404530885064e-19	0	0	5.608125528743504	281.2714777071943	ITGB1;COL18A1;SPARC;ECM2;COL14A1;COL12A1;SERPINE1;LOXL3;TNC;PLOD2;LAMC1;CTSS;ITGAX;SLC39A8;TIMP1;ADAMTS6;ADAMTS7;POSTN;ITGA4;VWF;ITGA2;ITGA1;BGN;HSPG2;MMP9;DCN;MMP11;COL4A2;LOX;COL4A1;MMP23B;PXDN;COL6A1;PECAM1;COL8A1;COL6A3;ITGA5;COL15A1;COL11A1;LAMA4;PDGFB;HTRA1;THBS1;SERPINH1;LAMB3;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;COL1A2;BMP1;COL5A1;COL5A2;ITGA11;TGFBI;AGRN;FBN1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	87/621	5.652995454912817e-22	5.01279371964394e-19	0	0	3.803476652927559	186.08390274877345	ITGB1;CD86;CDKN1A;SPI1;TNFRSF6B;FASLG;TNF;IFNA8;IL18BP;TNFSF13B;OASL;PYCARD;SOX2;CASP3;ITGAX;CASP1;MAP3K8;TIMP1;CD36;JAK2;TNFRSF4;IFNAR2;ANXA1;IL4R;GPR35;IFNGR1;RIPK2;IL1R1;IL1R2;HGF;IRAK3;FOS;TRAF1;OSMR;MMP9;VAV1;HCK;AIM2;OAS2;IL1B;IRF1;PSME4;FSCN1;IRF8;BIRC2;BIRC3;SP100;SHC1;FPR1;PDGFB;TNFRSF11B;HIF1A;CSF2RA;HSP90B1;SOCS3;CCL8;ALOX5;INPP5D;STAT4;CCL3;IL21R;HMOX1;CCL2;CD300LF;FCGR1A;GBP2;GBP1;HLA-DQA1;HLA-DRB4;IL10RB;STAT1;IL10RA;MX2;FN1;LIF;OSM;ISG15;LILRB2;LILRB4;BATF;COL1A2;TNFSF4;IL2RB;HLA-DRA;TRIM38;XAF1;LIMS1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	72/482	6.42136480029774e-20	4.555316189331217e-17	0	0	4.050717271661003	179.00958599547468	ITGB1;CD86;CDKN1A;FASLG;TNF;IFNA8;IL18BP;PYCARD;SOX2;CASP3;ZC3H12A;ITGAX;ANKRD1;CASP1;TIMP1;CD36;JAK2;ADAMTS7;IFNAR2;GBP5;ANXA1;IL4R;PTGIS;IFNGR1;IL1R1;IL1R2;HGF;IRAK3;FOS;OSMR;MMP9;VAV1;HCK;AIM2;IL1B;IRF1;FSCN1;HCLS1;IRF8;TNFRSF21;SHC1;LEF1;FPR1;CXCR4;HIF1A;CSF2RA;HSP90B1;SOCS3;CCL8;IFI16;ALOX5;INPP5D;STAT4;CCL3;HMOX1;CCL2;CD58;GBP2;GBP1;IL10RB;STAT1;IL10RA;PYHIN1;FN1;LIF;OSM;PTPN12;BATF;COL1A2;IL2RB;MNDA;PTPN2
GO_Biological_Process_2021	regulation of interleukin-1 beta production (GO:0032651)	23/83	7.583907344918341e-13	4.483353225404226e-10	0	0	8.494399224806202	237.05810605171143	CX3CR1;GBP5;RIPK2;CARD8;PYHIN1;F2R;TNFAIP3;TNF;LILRB4;PYCARD;AIM2;TYROBP;IFI16;CLEC7A;ZC3H12A;CASP1;CCL3;NLRP3;F2RL1;MNDA;CD36;JAK2;CD33
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	23/89	3.769338397997892e-12	1.7874746766955923e-09	0	0	7.719749823819591	203.06123825034135	COL18A1;COL15A1;LAMB3;COL14A1;LUM;COL11A1;COL12A1;LOXL3;PLOD2;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;SERPINH1;COL6A3;COL8A1
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	35/203	4.031518864833589e-12	1.7874746766955923e-09	0	0	4.65531643081761	122.1409688810266	SEMA5A;ITGB1;ECM1;SP100;SPARC;ROCK2;SERPINE1;TNFAIP3;KLK3;FASLG;THBS2;HIF1A;ETS1;THBS1;HHEX;SPRED1;ALOX5;ZC3H12A;ITGAX;HMOX1;HTATIP2;PPP1R16B;PTGIS;STAT1;TIE1;SULF1;HSPG2;PGF;DCN;RUNX1;CLDN5;COL4A2;IL1B;RHOJ;PRKD1
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	60/546	7.412790420125095e-11	2.921463068909301e-08	0	0	2.7948037142042814	65.18943686632447	SEMA5A;ITGB1;CD86;ECM1;FASLG;TREM2;TNF;PIK3CG;OASL;SOX2;CASP1;JAK2;IKBKE;PDGFRB;VWF;UNC5B;RIPK2;HGF;F2R;RHOG;SOX11;VAV1;DCN;FGR;IL1B;HCLS1;CDH13;TLR7;PRKD1;ALPK1;HCST;BIRC2;BIRC3;CX3CR1;SHC1;ROCK2;PDGFB;IQGAP1;THBS1;CLEC7A;PDGFC;CCL3;HMOX1;CD14;BID;ECT2;OSBPL8;TRAT1;NEK6;FN1;LAPTM5;LIF;OSM;TNFRSF10B;NMI;NEDD4;F2RL1;TRIM38;PIK3AP1;LIMS1
GO_Biological_Process_2021	negative regulation of cytokine production (GO:0001818)	31/182	9.400185632185768e-11	3.3342458437362923e-08	0	0	4.570049435686969	105.51196045350702	PTGER4;CD84;LEF1;TNFAIP3;PTPN22;TREM2;TNF;THBS1;PYCARD;C1QTNF3;ZC3H12A;IKBKE;GBP1;CD33;SRGN;ANXA1;DDX58;SLC11A1;FN1;LAPTM5;NR1H4;INHBB;ISG15;IRAK3;LILRB4;CLEC4A;TYROBP;TNFSF4;F2RL1;FCGR2B;TNFRSF21
GO_Biological_Process_2021	positive regulation of interleukin-1 beta production (GO:0032731)	17/56	1.5276070226179894e-10	4.925838281114554e-08	0	0	9.602830579735892	217.0446023650805	GBP5;RIPK2;CARD8;PYHIN1;TNF;PYCARD;AIM2;TYROBP;IFI16;CLEC7A;CASP1;CCL3;NLRP3;F2RL1;MNDA;CD36;JAK2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	43/335	3.3773493653973637e-10	9.982881832553706e-08	0	0	3.300207925636008	71.97344174065887	PTGER4;CD86;ROCK2;SERPINE1;PTPN22;HIF1A;TNF;RASGRP1;PIK3CG;PYCARD;C1QTNF3;IFI16;CLEC7A;HMOX1;NLRP3;SLAMF6;CD14;CD58;GBP5;ANXA1;IL1R1;RIPK2;DDX58;SLC11A1;F2R;LAPTM5;NR1H4;OSM;ISG15;BTN3A2;LILRB2;SULF1;RUNX1;BATF;TLR1;FGR;TYROBP;TNFSF4;IL1B;IRF1;F2RL1;TLR7;RAB7B
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	19/77	6.66431300286973e-10	1.8183321708599185e-07	0	0	7.226233237547893	152.6836894913533	PDGFRB;UNC5B;HGF;F2R;PDGFB;FN1;OSM;TREM2;TNF;PIK3CG;DCN;FGR;NEDD4;PDGFC;HCLS1;F2RL1;JAK2;PIK3AP1;HCST
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	53/481	8.87960164616511e-10	2.1239791504347026e-07	0	0	2.7883036820177907	58.11408809253289	ARHGAP9;CDA;SERPINA3;TNFAIP6;GMFG;SLC2A5;CTSS;PYCARD;HK3;GLIPR1;PLAU;CLEC5A;C3AR1;ITGAX;OLR1;PGM2;CD36;CEP290;CD33;CD53;APAF1;DYNLT1;RNASET2;SLC11A1;RHOG;PLAUR;CYBB;MMP9;OSCAR;FGR;RAB31;TYROBP;PECAM1;DOCK2;CLEC12A;C5AR1;FPR1;IQGAP1;PRDX4;ALOX5;CD14;CD58;S100A11;TXNDC5;ATP8B4;HSPA6;NBEAL2;DNAJC13;ARPC5;LILRB2;LILRB3;BST1;MNDA
GO_Biological_Process_2021	positive regulation of interleukin-1 production (GO:0032732)	17/62	8.982150340152392e-10	2.1239791504347026e-07	0	0	8.319835771105978	173.30726766910703	GBP5;RIPK2;CARD8;PYHIN1;TNF;PYCARD;AIM2;TYROBP;IFI16;CLEC7A;CASP1;CCL3;NLRP3;F2RL1;MNDA;CD36;JAK2
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	53/485	1.1934014636843771e-09	2.645621869805304e-07	0	0	2.761894801427934	56.74715618523142	ARHGAP9;CDA;SERPINA3;TNFAIP6;GMFG;SLC2A5;CTSS;PYCARD;HK3;GLIPR1;PLAU;CLEC5A;C3AR1;ITGAX;OLR1;PGM2;CD36;CEP290;CD33;CD53;APAF1;DYNLT1;RNASET2;SLC11A1;RHOG;PLAUR;CYBB;MMP9;OSCAR;FGR;RAB31;TYROBP;PECAM1;DOCK2;CLEC12A;C5AR1;FPR1;IQGAP1;PRDX4;ALOX5;CD14;CD58;S100A11;TXNDC5;ATP8B4;HSPA6;NBEAL2;DNAJC13;ARPC5;LILRB2;LILRB3;BST1;MNDA
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	29/179	1.2751434744935947e-09	2.660549355311048e-07	0	0	4.293856362217018	87.93906770894323	ITGB1;PTPN22;TREM2;AHR;CD1C;CD3D;SLAMF6;CD300LF;FCGR1A;CD33;MICB;ITGA4;PILRA;LILRB2;OSCAR;COL1A1;FGR;COL3A1;TYROBP;COL1A2;CLEC2B;TNFSF4;IRF1;HLA-DRA;CD300C;FCGR2B;HCST;BIRC2;BIRC3
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	53/488	1.485680764018289e-09	2.927616483318262e-07	0	0	2.7424068688547294	55.74598148373216	ARHGAP9;CDA;SERPINA3;TNFAIP6;GMFG;SLC2A5;CTSS;PYCARD;HK3;GLIPR1;PLAU;CLEC5A;C3AR1;ITGAX;OLR1;PGM2;CD36;CEP290;CD33;CD53;APAF1;DYNLT1;RNASET2;SLC11A1;RHOG;PLAUR;CYBB;MMP9;OSCAR;FGR;RAB31;TYROBP;PECAM1;DOCK2;CLEC12A;C5AR1;FPR1;IQGAP1;PRDX4;ALOX5;CD14;CD58;S100A11;TXNDC5;ATP8B4;HSPA6;NBEAL2;DNAJC13;ARPC5;LILRB2;LILRB3;BST1;MNDA
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	31/206	2.2178763349706852e-09	4.1404249263900113e-07	0	0	3.9383098591549297	78.47758092067575	PTGER4;TNFAIP6;SERPINE1;TNFAIP3;ETS1;TNF;C1QTNF3;ALOX5;CASP4;NFKBIZ;CASP1;CCL3;NLRP3;JAK2;GPSM3;ANXA1;PTGIS;IL1R1;NR1H4;OSM;NMI;MMP9;BST1;HCK;TNFSF4;IL1B;TLR7;PIK3AP1;BIRC2;PTPN2;BIRC3
