Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Cellular_Component_2021	neuron projection (GO:0043005)	80/556	8.868059358310747e-12	2.678153926209845e-09	0	0	2.53938858061866	64.62379568592088	GABRB3;CHRM3;SNAP25;GABRB1;CPNE6;MAST1;STMN2;FAM107A;STMN4;KNDC1;SLC8A2;CALB2;GRM3;GABRR1;TUBB3;LRRTM1;BSG;TMEM108;NEFL;NEFM;KIF1B;KIF1A;BSN;NEFH;SLC32A1;SLC6A13;COBL;SLC6A12;SYP;PRSS12;GABRG2;DNM1;OLFM1;BIN1;MYOT;MAPT;VAMP2;SHANK2;CAMK2B;GPM6A;SPTBN4;CHRNA3;LRP2;IGSF9;CACNA1G;FXR2;INPP5A;RELN;SV2B;MAP2;SV2A;PENK;MAP7;MAP6;APOD;KCNN2;NPTX1;MAP4;DRD4;PRNP;SYT4;SLC12A5;MAGEE1;SYT1;HOMER2;KCNB1;WFS1;SYT13;GRIN1;SLC8A3;CPEB1;MLPH;DLG4;CNTN2;RAB17;CPEB3;FGF13;VIP;CDK5R2;CDK5R1
GO_Cellular_Component_2021	axon (GO:0030424)	35/204	9.46238923214471e-08	9.898217141131369e-06	0	0	3.0674707450328	49.61129586133244	CPNE6;LRP2;IGSF9;SLC8A2;GRM3;FXR2;TUBB3;LRRTM1;BSG;MAP7;TMEM108;MAP6;NEFL;KIF1B;NEFM;MAP4;KIF1A;BSN;NEFH;SYT4;SYT1;KCNB1;COBL;ATP2B3;SYT13;PRSS12;DNM1;SLC8A3;OLFM1;BIN1;MYOT;CNTN2;MAPT;FGF13;CDK5R1
GO_Cellular_Component_2021	basolateral plasma membrane (GO:0016323)	29/151	9.832666034236459e-08	9.898217141131369e-06	0	0	3.512855430164977	56.67981920193871	SLC23A2;NDRG4;SLC22A6;FRMPD2;SLC2A1;TGFA;SLC3A2;SLC4A2;ATP1A1;EGFR;ERBB3;CA4;SLC16A8;SLC16A3;SLC19A1;CA11;SLC13A3;ABCC5;SLC6A13;ABCA8;SLC5A6;SLC6A9;SLC7A8;CLDN19;SLC29A4;RAB17;SLC22A8;FOLR1;ATP6V1B1
GO_Cellular_Component_2021	heterotrimeric G-protein complex (GO:0005834)	12/33	4.787828984939612e-07	3.614810883629407e-05	0	0	8.37736694677871	121.90759947215726	GNGT1;GNAO1;GNG3;GNGT2;GNAT2;GNA11;GNG7;GNG8;GNB3;GNAT1;GNB5;GNG11
GO_Cellular_Component_2021	exocytic vesicle membrane (GO:0099501)	13/41	9.852319387265033e-07	4.959000758256733e-05	0	0	6.809402332361516	94.17668143013516	SLC32A1;SYT1;CLTA;SYP;SYN2;SYN1;SYNPR;SYNGR1;SV2B;SV2A;VAMP1;SLC17A7;VAMP2
GO_Cellular_Component_2021	synaptic vesicle membrane (GO:0030672)	13/41	9.852319387265033e-07	4.959000758256733e-05	0	0	6.809402332361516	94.17668143013516	SLC32A1;SYT1;CLTA;SYP;SYN2;SYN1;SYNPR;SYNGR1;SV2B;SV2A;VAMP1;SLC17A7;VAMP2
GO_Cellular_Component_2021	dendrite (GO:0030425)	39/270	1.784451999233363e-06	7.69863576812108e-05	0	0	2.5002705627705626	33.09457925958401	CHRM3;CHRNA3;CPNE6;KNDC1;LRP2;SLC8A2;CALB2;FXR2;INPP5A;RELN;MAP2;TUBB3;PENK;MAP6;APOD;KIF1B;KIF1A;BSN;DRD4;MPP2;PRNP;MAGEE1;SLC32A1;HOMER2;KCNB1;WFS1;COBL;PRSS12;GABRG2;GRIN1;SLC8A3;MLPH;BIN1;DLG4;MAPT;RAB17;CPEB3;FGF13;CDK5R1
GO_Cellular_Component_2021	dense core granule (GO:0031045)	7/16	3.0698766487321214e-05	0.0011588784348963	0	0	11.365277777777775	118.09987554066755	CHGA;SYT4;SYT1;SLC6A9;NPY;MYRIP;KIF1A
GO_Cellular_Component_2021	sarcoplasmic reticulum membrane (GO:0033017)	9/28	4.155069401956283e-05	0.0011649136032272	0	0	6.928836174944403	69.9022312304079	RYR1;JPH2;JPH3;CASQ2;ATP2A2;ATP2A1;TMEM38A;CASQ1;TMEM38B
GO_Cellular_Component_2021	chitosome (GO:0045009)	6/12	4.628795774412818e-05	0.0011649136032272	0	0	14.603434816549573	145.75146097898303	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	melanosome membrane (GO:0033162)	6/12	4.628795774412818e-05	0.0011649136032272	0	0	14.603434816549573	145.75146097898303	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	pigment granule membrane (GO:0090741)	6/12	4.628795774412818e-05	0.0011649136032272	0	0	14.603434816549573	145.75146097898303	OCA2;GPR143;DCT;TYRP1;RAB38;TYR
GO_Cellular_Component_2021	neuronal dense core vesicle (GO:0098992)	4/5	8.097749106783678e-05	0.0017938414378028	0	0	58.33826968043648	549.6246345821834	CHGA;SYT4;NPY;KIF1A
GO_Cellular_Component_2021	intrinsic component of external side of plasma membrane (GO:0031233)	8/24	8.347948666370606e-05	0.0017938414378028	0	0	7.309225957779515	68.64028039811716	RTBDN;PRNP;IGSF21;F10;CA4;CD24;F3;FOLR1
GO_Cellular_Component_2021	sarcolemma (GO:0042383)	12/52	8.909808465908209e-05	0.0017938414378028	0	0	4.39364705882353	40.97415388358149	RYR1;SLC8A3;POPDC3;DES;SLC2A1;PGM5;ATP1A1;ATP1B1;BVES;SGCG;SLC8A2;SNTA1
