Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Cellular_Component_2021	collagen-containing extracellular matrix (GO:0062023)	62/380	3.068689003633277e-19	7.272792938610866e-17	0	0	4.464328668060886	190.30480572037644	COL18A1;SERPINA3;ECM1;SPARC;SERPINE2;COL14A1;COL12A1;SERPINE1;TNC;LAMC1;CTSS;CDH2;EMILIN2;EDIL3;POSTN;ANXA1;VWF;BGN;HSPG2;SERPINB8;MMP9;DCN;COL4A2;COL4A1;MMP23B;PXDN;COL6A1;COL8A1;VWA1;CDH13;COL6A3;MXRA5;ANGPTL1;COL15A1;COL11A1;LAMA4;PDGFB;HTRA1;THBS2;FBLN2;THBS1;HSP90B1;SRPX2;SERPINH1;LEFTY2;CTHRC1;ANGPT2;LAMB3;LUM;FN1;LAMB1;SULF1;COL1A1;MFAP5;COL3A1;COL1A2;COL5A1;COL5A2;TGFBI;AGRN;FMOD;FBN1
GO_Cellular_Component_2021	endoplasmic reticulum lumen (GO:0005788)	39/285	3.444954865805124e-10	4.0822715159790733e-08	0	0	3.5447202635533466	77.23569758925625	COL18A1;COL15A1;FKBP14;COL14A1;COL11A1;COL12A1;PDGFB;TNC;LAMC1;PRSS23;FSTL1;THBS1;HSP90B1;CDH2;ARSJ;STC2;PDGFC;SERPINH1;TIMP1;ADAMTS7;IGFBP3;RNASET2;FN1;PLAUR;LAMB1;COL1A1;COL3A1;RCN1;COL1A2;COL4A2;COL5A1;COL4A1;MGAT4A;COL5A2;COL6A1;COL8A1;VWA1;COL6A3;FBN1
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	43/387	2.756349631000426e-08	2.1775162084903366e-06	0	0	2.7936011904761906	48.6275832755666	ITGB1;NRP1;FBLIM1;TNC;NEXN;IQGAP1;THY1;HSP90B1;TNFSF13B;PDLIM1;CDH2;PLAU;JAK2;ACTR3;PDGFRB;ANXA1;TPM4;ITGA4;ITGA2;ACTN1;ITGA1;SPRY4;RHOG;PLAUR;LMO7;ARPC5;REXO2;HSPG2;ENAH;HCK;PROCR;ARPC2;PARVG;FAP;PALLD;ITGA11;ZYX;ITGBL1;CDH13;MYH9;ITGA5;PHLDB2;LIMS1
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	43/394	4.635755625618397e-08	2.642453206048432e-06	0	0	2.73686745353412	46.21715645716036	ITGB1;NRP1;FBLIM1;TNC;NEXN;IQGAP1;THY1;HSP90B1;TNFSF13B;PDLIM1;CDH2;PLAU;JAK2;ACTR3;PDGFRB;ANXA1;TPM4;ITGA4;ITGA2;ACTN1;ITGA1;SPRY4;RHOG;PLAUR;LMO7;ARPC5;REXO2;HSPG2;ENAH;HCK;PROCR;ARPC2;PARVG;FAP;PALLD;ITGA11;ZYX;ITGBL1;CDH13;MYH9;ITGA5;PHLDB2;LIMS1
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	34/274	5.5747957933511226e-08	2.642453206048432e-06	0	0	3.1498723989006674	52.61050767945921	MOXD1;SPARC;CLEC12A;C5AR1;FPR1;ICA1;ITPR2;IQGAP1;SLC2A5;GLIPR1;PLAU;CLEC5A;C3AR1;ITGAX;OLR1;CD14;CD36;CD58;CD33;CD53;ATP8B4;SLC11A1;RHOG;PLAUR;CYBB;NBEAL2;DNAJC13;LILRB2;LILRB3;BST1;RAB31;TYROBP;PECAM1;PAM
GO_Cellular_Component_2021	platelet alpha granule (GO:0031091)	17/90	3.5473890902558365e-07	1.4012186906510552e-05	0	0	5.121136385206745	76.0585224432649	SRGN;SERPINA3;SPARC;SERPINE2;VWF;PROS1;ACTN1;HGF;SERPINE1;PDGFB;FN1;THBS2;THBS1;PECAM1;CD36;TIMP1;LEFTY2
GO_Cellular_Component_2021	intracellular organelle lumen (GO:0070013)	69/848	7.088191844302786e-07	2.399859238713943e-05	0	0	1.9954424023743664	28.254796686625053	CDA;COL18A1;SPARC;TNFAIP6;FKBP14;COL14A1;GMFG;PROS1;COL12A1;TNC;LAMC1;PRSS23;CTSS;HK3;CDH2;CA5A;PGM2;TIMP1;JAK2;ADAMTS7;APAF1;DYNLT1;RNASET2;IGFBP3;BGN;PLAUR;TRNT1;HSPG2;MMP9;DCN;OSCAR;MMP11;RCN1;COL4A2;MTHFD2;COL4A1;COL6A1;COL8A1;VWA1;COL6A3;COL15A1;COL11A1;PDGFB;FSTL1;THBS1;HSP90B1;PRDX4;MTHFD1L;ARSJ;ALOX5;STC2;PDGFC;SERPINH1;LUM;HSPA6;FN1;PYCR1;LAMB1;ARPC5;COL1A1;COL3A1;COL1A2;COL5A1;MGAT4A;COL5A2;MNDA;AGRN;FMOD;FBN1
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	34/316	1.6259570342929774e-06	4.281686856971507e-05	0	0	2.6747780033247293	35.653223287807975	NOTCH3;WAS;NEXN;IQGAP1;SCIN;CDH2;CALD1;ARSJ;STK38L;PLS3;KNTC1;TOPBP1;GBP1;ACTR3;ANXA1;TPM4;DDX58;ACTN1;PAWR;ARPC5;CD2AP;FGR;CLDN5;HCK;MYO1B;PARVG;ARPC2;PALLD;ZYX;FSCN1;HCLS1;MYH9;TAX1BP3;MYO1F
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	34/316	1.6259570342929774e-06	4.281686856971507e-05	0	0	2.6747780033247293	35.653223287807975	ARHGAP9;CDA;SERPINA3;ECM1;SPARC;GMFG;PROS1;SERPINE1;PDGFB;THBS1;PYCARD;HK3;PRDX4;ALOX5;PGM2;TIMP1;LEFTY2;CEP290;S100A11;TXNDC5;SRGN;APAF1;DYNLT1;VWF;ACTN1;HGF;RNASET2;HSPA6;FN1;ARPC5;OSCAR;FGR;MNDA;DOCK2
GO_Cellular_Component_2021	platelet alpha granule lumen (GO:0031093)	13/67	6.151036632190904e-06	0.00014577956818292442	0	0	5.274989357173265	63.29401669061949	SRGN;SERPINA3;SPARC;VWF;PROS1;ACTN1;HGF;SERPINE1;PDGFB;FN1;THBS1;TIMP1;LEFTY2
