Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
GO_Molecular_Function_2021	G protein-coupled photoreceptor activity (GO:0008020)	8/15	1.231530276778051e-06	0.0007507685250185166	0	0	16.714844186306266	227.4431142736956	OPN1SW;ELOVL4;GNAT2;OPN1MW;OPN1LW;RHO;RRH;RGR
GO_Molecular_Function_2021	carboxylic acid transmembrane transporter activity (GO:0046943)	15/57	2.0971187849679238e-06	0.0007507685250185166	0	0	5.242306828391734	68.54287954830068	SLC22A4;SLC23A2;SLC13A3;SLC6A13;SLC6A12;SLC6A20;SLC7A2;SLC16A14;SLC7A8;SLC16A6;SLC16A8;SLC16A9;SLC38A3;SLC16A3;SLC19A1
GO_Molecular_Function_2021	organic anion transmembrane transporter activity (GO:0008514)	25/144	5.016478563243972e-06	0.0011176337581088	0	0	3.0953268787705257	37.77160020943497	SLC23A2;OCA2;SLC22A6;SLC35D3;SLC3A2;SLC6A20;SLC1A7;SLC7A2;SLC9A3R1;SLC17A7;SLC25A42;SLC38A3;SLC25A23;SLC19A1;SLC25A25;RTBDN;SLC13A3;ABCC5;SLC6A13;SLC5A6;SLC25A18;SLC6A8;SLC6A9;SLC7A8;SLCO4A1
GO_Molecular_Function_2021	calcium ion binding (GO:0005509)	45/348	6.2437640117810815e-06	0.0011176337581088	0	0	2.2014157937532883	26.381606940413107	RYR1;CABP4;CPNE6;CABP5;HPCA;ITPR1;GUCA1A;LPL;ATP2A2;ATP2A1;PLA2G5;LRP2;NOL3;THBS4;CALB2;CDH3;SCUBE1;CDH1;ENPP2;CDH23;MAN1C1;CAPN3;SLC25A23;SNCB;AOC3;PRNP;SYT4;SYT1;TNNC1;KCNIP4;PLA2G2A;SYT13;SYT7;GRIN1;SYT17;PCP4;PITPNM1;RGN;CASQ2;CDH12;CASQ1;ASTN2;DNASE1L3;PVALB;CDK5R1
GO_Molecular_Function_2021	metal ion binding (GO:0046872)	58/517	2.5930577335451748e-05	0.0037132586744366	0	0	1.8768150239935049	19.8193312378633	RYR1;CPNE6;MT1M;MAST1;GUCA1A;ATP2A2;MT1X;ATP2A1;CALB2;CDH3;CDH1;ENPP2;CAPN3;IDH3A;TNNC1;NME1;PCP4;PITPNM1;RGN;MT1F;CASQ2;CDH12;MT1H;CASQ1;ASTN2;DNASE1L3;PVALB;BRSK1;BRSK2;CABP4;CABP5;HPCA;ITPR1;LPL;PDXP;PLA2G5;LRP2;NOL3;THBS4;SCUBE1;CDH23;MAN1C1;SLC25A23;SNCB;AOC3;PRNP;SYT4;SYT1;EYA2;EPHX2;KCNIP4;PLA2G2A;SYT13;SYT7;SYT17;GRIN1;PIR;CDK5R1
GO_Molecular_Function_2021	monocarboxylic acid transmembrane transporter activity (GO:0008028)	9/28	4.155069401956283e-05	0.0049583828196678	0	0	6.928836174944403	69.9022312304079	SLC5A6;SLC9A3R1;SLC16A6;SLC6A13;SLC6A12;SLC16A8;SLC16A9;SLC16A3;SLC16A14
GO_Molecular_Function_2021	cyclic nucleotide binding (GO:0030551)	8/23	5.896777589922513e-05	0.0060315610776921	0	0	7.796924680740162	75.93050253243969	POPDC3;PDE4D;CNGA1;CNGB3;BVES;SLC19A1;CNGB1;HCN1
GO_Molecular_Function_2021	creatine kinase activity (GO:0004111)	4/5	8.097749106783678e-05	0.0064422092893967	0	0	58.33826968043648	549.6246345821834	CKMT2;CKM;CKMT1A;CKB
GO_Molecular_Function_2021	phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	4/5	8.097749106783678e-05	0.0064422092893967	0	0	58.33826968043648	549.6246345821834	CKMT2;CKM;CKMT1A;CKB
GO_Molecular_Function_2021	hydro-lyase activity (GO:0016836)	12/55	0.00015836034431342575	0.0113386006528412	0	0	4.086456908344733	35.75910290690064	CA12;CA11;CA10;GMDS;CA4;ECHDC2;ECHDC3;ACO2;ENO2;ENO3;CA14;FAHD2B
GO_Molecular_Function_2021	potassium channel activity (GO:0005267)	16/91	0.00020912579037240636	0.0136121878096948	0	0	3.1283293994230266	26.505004270169767	KCNH2;KCNB1;KCNK12;GRIK1;KCNA5;KCNK17;KCNT1;KCNQ2;KCNN2;TMEM38A;TMEM38B;KCNK1;KCNK3;CCDC51;HCN1;KCNK4
