Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
KEGG_2021_Human	ECM-receptor interaction	24/88	3.536536489329501e-13	8.947437318003635e-11	0	0	8.317665890570431	238.4712935144293	ITGB1;ITGA4;VWF;LAMB3;ITGA2;LAMA4;ITGA1;TNC;FN1;LAMB1;LAMC1;THBS2;HSPG2;THBS1;COL1A1;COL1A2;COL4A2;COL4A1;COL6A1;ITGA11;COL6A3;CD36;ITGA5;AGRN
KEGG_2021_Human	Focal adhesion	34/201	1.4170698568480392e-11	1.7925933689127693e-09	0	0	4.5442683537518604	113.5151180441546	ITGB1;SHC1;ROCK2;LAMA4;PDGFB;TNC;LAMC1;THBS2;THBS1;PDGFC;PDGFRB;ITGA4;VWF;LAMB3;ACTN1;HGF;ITGA2;ITGA1;FN1;LAMB1;VAV1;PGF;COL1A1;COL1A2;PARVG;COL4A2;COL4A1;ITGA11;COL6A1;ZYX;COL6A3;ITGA5;BIRC2;BIRC3
KEGG_2021_Human	Influenza A	30/172	1.0306125138611138e-10	8.691498866895392e-09	0	0	4.69965160246355	108.07176722033608	FASLG;TNF;IFNA8;PYCARD;SOCS3;HLA-DMA;HLA-DMB;CASP3;CASP1;NLRP3;CCL2;JAK2;BID;IKBKE;HLA-DQA1;IFNAR2;HLA-DRB4;APAF1;DDX58;IFNGR1;STAT1;MX2;TNFRSF10B;TNFRSF10A;CDK6;OAS2;IL1B;HLA-DRA;FAS;TLR7
KEGG_2021_Human	Human papillomavirus infection	43/331	2.3021518504616016e-10	1.3639728197115516e-08	0	0	3.3467551256613755	74.27121202881932	PTGER4;ITGB1;NOTCH3;CDKN1A;LAMA4;TNC;FASLG;LAMC1;THBS2;IFNA8;TNF;THBS1;OASL;LFNG;PPP2R3C;CASP3;IKBKE;IFNAR2;PDGFRB;ITGA4;VWF;LAMB3;STAT1;ITGA2;MX2;FZD6;ITGA1;FN1;ISG15;LAMB1;COL1A1;COL1A2;CDK6;COL4A2;COL4A1;MFNG;IRF1;ITGA11;COL6A1;FAS;COL6A3;ITGA5;CREB5
KEGG_2021_Human	Hematopoietic cell lineage	22/99	2.6955984579279676e-10	1.3639728197115516e-08	0	0	6.318234610917537	139.2174389573622	IL4R;HLA-DRB4;ITGA4;IL1R1;IL1R2;ITGA2;ITGA1;CD1C;TNF;CSF2RA;CD3D;HLA-DMA;HLA-DMB;IL1B;HLA-DRA;CD37;CD14;CD36;ITGA5;FCGR1A;HLA-DQA1;CD33
KEGG_2021_Human	Toxoplasmosis	23/112	5.658164967208191e-10	2.1430502668830065e-08	0	0	5.717846877449699	121.74869153892818	ITGB1;HLA-DRB4;LAMB3;IFNGR1;IL10RB;STAT1;LAMA4;IL10RA;HSPA6;LY96;LAMB1;LAMC1;TNF;PIK3CG;HLA-DMA;HLA-DMB;CASP3;ALOX5;HLA-DRA;JAK2;HLA-DQA1;BIRC2;BIRC3
KEGG_2021_Human	PI3K-Akt signaling pathway	44/354	5.929388090190135e-10	2.1430502668830065e-08	0	0	3.181621746318582	67.59651262589469	ITGB1;CDKN1A;LAMA4;PDGFB;TNC;FASLG;LAMC1;THBS2;IFNA8;THBS1;PIK3CG;HSP90B1;PPP2R3C;PDGFC;JAK2;IFNAR2;PDGFRB;IL4R;ANGPT2;ITGA4;VWF;LAMB3;HGF;ITGA2;F2R;ITGA1;FN1;OSM;LAMB1;OSMR;PGF;COL1A1;COL1A2;CDK6;COL4A2;COL4A1;ITGA11;COL6A1;IL2RB;GNB4;COL6A3;ITGA5;PIK3AP1;CREB5
KEGG_2021_Human	Pathways in cancer	56/531	1.5014713489764134e-09	4.748403141137909e-08	0	0	2.657549799529052	53.99296174267367	ITGB1;CDKN1A;SPI1;FASLG;LAMC1;IFNA8;ETS1;CASP3;JAK2;IFNAR2;PDGFRB;IL4R;APAF1;IFNGR1;ITGA2;HGF;F2R;FOS;TRAF1;MMP9;PGF;RUNX1;PAX8;COL4A2;COL4A1;PLCB2;BIRC2;BIRC3;PTGER4;NOTCH3;ROCK2;LAMA4;LEF1;PDGFB;CXCR4;KLK3;HIF1A;CSF2RA;RASGRP1;HSP90B1;STAT4;HMOX1;E2F2;BID;CDKN2B;LAMB3;CDKN2A;STAT1;FZD6;FN1;LAMB1;CDK6;IL2RB;GNB4;FAS;F2RL3
KEGG_2021_Human	Amoebiasis	20/102	1.72232929803067e-08	4.841659026686217e-07	0	0	5.379702116835769	96.17295156094517	LAMB3;IL1R1;ACTN1;IL1R2;LAMA4;FN1;LAMB1;LAMC1;CD1C;TNF;COL1A1;COL3A1;COL1A2;COL4A2;COL4A1;CASP3;IL1B;CD14;RAB7B;PLCB2
KEGG_2021_Human	Lipid and atherosclerosis	30/215	2.390808016650431e-08	6.048744282125591e-07	0	0	3.5991255029942018	63.161231079201634	ROCK2;CCL3L3;LY96;FASLG;IFNA8;TNF;HSP90B1;PYCARD;CASP3;CASP1;CCL3;OLR1;NLRP3;CCL2;CD14;CD36;JAK2;BID;IKBKE;APAF1;HSPA6;CYBB;TNFRSF10B;TNFRSF10A;FOS;MMP9;VAV1;IL1B;FAS;PLCB2
