Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Reactome_2022	Visual Phototransduction R-HSA-2187338	34/98	9.215849792544823e-17	1.1252552596697232e-13	0	0	7.906848563447725	291.9447416847896	SLC24A1;SDC4;RDH8;GUCA1B;LPL;GUCA1C;LRP2;LRP8;RLBP1;GNGT1;TTR;RDH12;OPN1LW;RDH10;CYP4V2;CNGA1;GPC3;RHO;LRAT;PDE6B;GNAT1;PDE6A;PDE6G;ABCA4;MYO7A;RPE65;RBP4;OPN1SW;RBP3;RGS9BP;RBP1;RDH5;GNB5;CNGB1
Reactome_2022	Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902	15/23	3.7294743757562844e-13	2.2768441063992112e-10	0	0	27.572228773584907	789.0438151309188	RDH8;ABCA4;MYO7A;RLBP1;RPE65;RBP4;TTR;RDH12;RBP3;CYP4V2;RDH10;RBP1;RHO;RDH5;LRAT
Reactome_2022	Neuronal System R-HSA-112316	62/386	2.111306304059469e-11	8.350929356362923e-09	0	0	2.872557319223986	70.61070249932182	GABRB3;SNAP25;GABRB1;GRIK1;PTPRF;GNGT1;PANX2;GABRR1;GNGT2;ALDH2;LRRTM1;NEFL;GLUL;KCNH2;SLC32A1;SLC6A13;CACNA2D2;SLC6A12;KCNK17;SYN2;GABRG2;SYN1;ALDH5A1;KCNQ2;MAPT;VAMP2;SHANK2;CAMK2B;CHRNA3;GLS2;SRC;STXBP1;NRXN2;KCNA5;ADCY1;PPM1E;SLC1A7;NCALD;GNG3;EPB41L1;GNG7;GNG8;SLC17A7;KCNN2;CACNG3;GABBR2;MPP2;SYT1;HOMER2;KCNB1;GAD1;KCNJ14;GNG11;SYT7;GNG13;NBEA;GNB3;GNB5;KCNK1;KCNK3;KCNK4;HCN1
Reactome_2022	Transport Of Small Molecules R-HSA-382551	93/706	2.7357671929116864e-11	8.350929356362923e-09	0	0	2.299835228344004	55.93664788914972	RYR1;SLC44A3;SLC2A1;CLTA;ATP2A2;ATP2A1;SLC4A2;VLDLR;SLC7A10;SLC4A5;SLC8A2;GNGT1;GNGT2;LIPG;BSG;CA4;SLC16A8;SLC16A3;MYLIP;SLC13A3;SLC15A2;SLC13A4;ATP6V1G2;SLC32A1;SLC30A2;SLC6A15;TSC22D3;ABCC5;SLC2A12;SLC6A13;SLC6A12;LSR;ATP1B2;ATP1B1;SLC5A6;SLC25A18;SLC7A8;SLCO4A1;SCNN1A;SLC29A4;UBA52;SLC25A4;ABCG4;STEAP2;ATP6V1B1;SLC22A4;CAMK2B;SLC24A1;CETP;SLC22A6;SLC22A5;TTYH2;SLC20A2;WNK4;CLCNKA;NEDD4L;ATP10B;LPL;SLC3A2;ADCY1;SLC6A20;SLC1A7;SLC7A2;CYB5R2;TRPM1;SLC25A29;GNG3;GNG7;GNG8;SLC17A7;APOD;SLC38A3;TRPM3;ATP6V0A1;ATP6V1C2;MCOLN3;SLC12A5;ABCA4;ATP2B3;ABCA7;ABCA8;GNG11;TPCN2;GNG13;SLC8A3;CLCN4;SLC6A9;WNK2;LCN2;GNB3;AQP11;GNB5;SLC22A8
Reactome_2022	Diseases Associated With Visual Transduction R-HSA-2474795	10/13	2.815740244410315e-10	6.876037676849989e-08	0	0	48.83842338814931	1073.987490394586	OPN1SW;RBP4;TTR;RDH12;OPN1LW;ABCA4;RBP1;RDH5;LRAT;RLBP1
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	44/246	5.678239462690243e-10	1.1555217306574649e-07	0	0	3.243844738456146	69.05889086800599	GABRB3;CAMK2B;SNAP25;GABRB1;CHRNA3;GLS2;SRC;STXBP1;GRIK1;ADCY1;SLC1A7;PPM1E;NCALD;GNGT1;GABRR1;GNG3;GNGT2;ALDH2;EPB41L1;GNG7;NEFL;GNG8;SLC17A7;GLUL;CACNG3;GABBR2;MPP2;SLC32A1;SYT1;GAD1;SLC6A13;CACNA2D2;SLC6A12;GNG11;SYN2;GABRG2;SYN1;GNG13;ALDH5A1;NBEA;GNB3;MAPT;GNB5;VAMP2
Reactome_2022	Activation Of Phototransduction Cascade R-HSA-2485179	9/11	9.002452498936428e-10	1.570284928743054e-07	0	0	65.88380281690141	1372.251160679108	GNGT1;SLC24A1;PDE6G;CNGA1;RHO;PDE6B;GNAT1;PDE6A;CNGB1
Reactome_2022	Muscle Contraction R-HSA-397014	36/196	1.0018383846854565e-08	1.5290558346261776e-06	0	0	3.3368705035971225	61.461297410882686	RYR1;CAMK2B;ITPR1;LMOD1;ATP2A2;KCNA5;ATP2A1;SLC8A2;CACNA1G;NPPC;TTR;ALDH2;MYH11;SCN3B;SCN1B;KCNH2;TMOD1;KCNK12;TPM2;KCNIP4;KCNJ14;CACNA2D2;ATP2B3;KCNK17;ATP1B2;ATP1B1;HIPK2;MYL4;SLC8A3;MYL5;DES;FGF13;KCNK1;KCNK3;SCN2B;KCNK4
Reactome_2022	SLC-mediated Transmembrane Transport R-HSA-425407	41/247	2.0431721323994216e-08	2.7719035262885485e-06	0	0	2.956205488631582	52.343098153162	SLC22A4;SLC24A1;SLC22A6;SLC44A3;SLC22A5;SLC20A2;SLC2A1;SLC3A2;SLC4A2;SLC6A20;SLC7A10;SLC1A7;SLC4A5;SLC7A2;SLC8A2;SLC25A29;BSG;APOD;SLC17A7;SLC16A8;SLC38A3;SLC16A3;SLC13A3;SLC15A2;SLC13A4;SLC12A5;SLC32A1;SLC30A2;SLC6A15;SLC2A12;SLC6A13;SLC6A12;SLC5A6;SLC8A3;SLC25A18;SLC6A9;SLC7A8;SLCO4A1;SLC29A4;SLC22A8;SLC25A4
Reactome_2022	Phototransduction Cascade R-HSA-2514856	13/33	5.202390122999905e-08	6.352118340182884e-06	0	0	9.537244897959184	159.95449969390967	SLC24A1;PDE6G;GUCA1B;GUCA1C;GNGT1;RGS9BP;CNGA1;RHO;PDE6B;GNAT1;PDE6A;GNB5;CNGB1
Reactome_2022	Cardiac Conduction R-HSA-5576891	26/126	1.0052933740685907e-07	1.1158756452161356e-05	0	0	3.837731958762887	61.83666982051889	RYR1;CAMK2B;ITPR1;ATP2A2;ATP2A1;KCNA5;SLC8A2;NPPC;SCN3B;SCN1B;KCNH2;KCNK12;KCNIP4;KCNJ14;CACNA2D2;ATP2B3;ATP1B2;KCNK17;ATP1B1;HIPK2;SLC8A3;FGF13;KCNK1;KCNK3;SCN2B;KCNK4
Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	11/25	1.445512406495962e-07	1.4708088736096411e-05	0	0	11.514162561576354	181.34382066529392	GNGT1;GNG3;GNGT2;SRC;GNA11;GNG7;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	Inactivation, Recovery And Regulation Of Phototransduction Cascade R-HSA-2514859	12/32	3.235966793772085e-07	3.039319580919781e-05	0	0	8.796705882352942	131.4559311076106	GNGT1;PDE6G;RGS9BP;GUCA1B;CNGA1;RHO;PDE6B;GUCA1C;GNAT1;PDE6A;GNB5;CNGB1
Reactome_2022	G Beta:Gamma Signaling Thru BTK R-HSA-8964315	9/18	5.263269741673115e-07	4.590323110416338e-05	0	0	14.635367762128324	211.5885344993641	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326	11/29	8.829624642438155e-07	6.172976309505259e-05	0	0	8.953544061302683	124.81225331686548	GNGT1;GNG3;GNGT2;GNG7;GNG8;GNB3;GRIK1;GNB5;GNG11;NCALD;GNG13
Reactome_2022	GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590	9/19	9.427994199378808e-07	6.172976309505259e-05	0	0	13.17112676056338	182.7416428832032	SNAP25;ALDH5A1;SLC32A1;SYT1;GAD1;STXBP1;SLC6A13;SLC6A12;VAMP2
Reactome_2022	Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851	9/19	9.427994199378808e-07	6.172976309505259e-05	0	0	13.17112676056338	182.7416428832032	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	G-protein Activation R-HSA-202040	10/24	1.0026527098642894e-06	6.172976309505259e-05	0	0	10.459223626803894	144.47180589367667	GNGT1;GNG3;GNGT2;GNA11;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Thromboxane Signaling Thru TP Receptor R-HSA-428930	10/24	1.0026527098642894e-06	6.172976309505259e-05	0	0	10.459223626803894	144.47180589367667	GNGT1;GNG3;GNGT2;GNA11;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Ca2+ Pathway R-HSA-4086398	16/61	1.011134530631492e-06	6.172976309505259e-05	0	0	5.222274674359647	72.09056466275563	PDE6G;ITPR1;FZD9;GNG11;GNG13;GNGT1;GNAO1;GNG3;GNGT2;GNAT2;GNG7;GNG8;GNB3;PDE6B;PDE6A;GNB5
Reactome_2022	Melanin Biosynthesis R-HSA-5662702	5/5	1.095323741917284e-06	6.368525185147638e-05	0	0	93565.0	1284129.1545114648	OCA2;SLC45A2;DCT;TYRP1;TYR
Reactome_2022	Regulation Of Insulin Secretion R-HSA-422356	18/77	1.368296440536898e-06	7.594045244979784e-05	0	0	4.484673638658492	60.55181262316376	CHRM3;SNAP25;KCNB1;STXBP1;SLC2A1;ITPR1;CACNA2D2;GNG11;GNG13;GNGT1;GNG3;GNGT2;GNA11;GNG7;GNG8;GNB3;GNB5;VAMP2
Reactome_2022	G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616	9/20	1.6161545179036033e-06	8.222186109834581e-05	0	0	11.973111395646606	159.66695988476823	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217	9/20	1.6161545179036033e-06	8.222186109834581e-05	0	0	11.973111395646606	159.66695988476823	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Potassium Channels R-HSA-1296071	21/102	1.7339614042661594e-06	8.468667498435923e-05	0	0	3.81557544906676	50.61399728423847	KCNH2;GABBR2;KCNB1;KCNJ14;KCNA5;KCNK17;GNG11;GNG13;GNGT1;GNG3;GNGT2;GNG7;KCNQ2;GNB3;GNG8;KCNN2;GNB5;KCNK1;KCNK3;HCN1;KCNK4
Reactome_2022	Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122	12/37	1.964958194893172e-06	9.216338852465795e-05	0	0	7.035482352941177	92.4465166364432	GNGT1;GNG3;GNGT2;RGS9BP;GNA11;GNG7;GNG8;GNB3;GNB5;RGS11;GNG11;GNG13
Reactome_2022	Neurotransmitter Release Cycle R-HSA-112310	14/50	2.03801104845681e-06	9.216338852465795e-05	0	0	5.705638474295191	74.76404030318467	SNAP25;SLC32A1;SYT1;GLS2;STXBP1;GAD1;SLC6A13;SLC6A12;SYN2;SLC1A7;SYN1;ALDH5A1;SLC17A7;VAMP2
Reactome_2022	Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393	21/104	2.411992441895462e-06	0.00010518009898408424	0	0	3.723234168903101	48.16024773548973	SLC24A1;SLC15A2;SLC12A5;SLC32A1;SLC20A2;SLC6A15;SLC6A12;SLC3A2;SLC4A2;SLC6A20;SLC7A10;SLC1A7;SLC4A5;SLC7A2;SLC8A2;SLC8A3;SLC25A18;SLC25A29;SLC7A8;SLC17A7;SLC38A3
Reactome_2022	Presynaptic Function Of Kainate Receptors R-HSA-500657	9/21	2.6666351704314336e-06	0.0001120116354421604	0	0	10.974765258215962	140.8577441105532	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926	11/32	2.752128634942516e-06	0.0001120116354421604	0	0	7.673234811165845	98.24146805416412	GNGT1;GNG3;GNGT2;SRC;GNA11;GNG7;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	GABA Receptor Activation R-HSA-977443	15/59	3.358235210688317e-06	0.00013227113523388504	0	0	5.003484133790738	63.064389137578594	GABRB3;GABBR2;GABRB1;ADCY1;GNG11;GABRG2;GNG13;GNGT1;GABRR1;GNG3;GNGT2;GNG7;GNG8;GNB3;GNB5
Reactome_2022	Glucagon-type Ligand Receptors R-HSA-420092	11/33	3.888811954387251e-06	0.00014388604231232828	0	0	7.324059561128527	91.23878979908253	GNGT1;VIPR1;GNG3;GNGT2;GNG7;CPAMD8;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	Signal Amplification R-HSA-392518	11/33	3.888811954387251e-06	0.00014388604231232828	0	0	7.324059561128527	91.23878979908253	GNGT1;GNG3;GNGT2;SRC;GNA11;GNG7;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170	9/22	4.255026099066871e-06	0.00015280549608707794	0	0	10.130010834236186	125.28199386969554	GNGT1;GNG3;GNGT2;GNG7;GNB3;GNG8;GNB5;GNG11;GNG13
Reactome_2022	Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042	10/28	5.29129590738072e-06	0.0001845906372260531	0	0	8.133211520055687	98.81402530431023	GNGT1;GNG3;GNGT2;GNG7;GNG8;CACNA2D2;GNB3;GNB5;GNG11;GNG13
Reactome_2022	Inwardly Rectifying K+ Channels R-HSA-1296065	11/35	7.440064932500014e-06	0.0002511792367709025	0	0	6.713002873563219	79.27137371280371	GNGT1;GABBR2;GNG3;GNGT2;GNG7;KCNJ14;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	Activation Of G Protein Gated Potassium Channels R-HSA-1296041	10/29	7.611492023360682e-06	0.0002511792367709025	0	0	7.704735605654701	90.80686849630386	GNGT1;GABBR2;GNG3;GNGT2;GNG7;GNG8;GNB3;GNB5;GNG11;GNG13
Reactome_2022	Integration Of Energy Metabolism R-HSA-163685	20/105	1.0507920691956108e-05	0.0003376360832862738	0	0	3.4593992293049816	39.65641220462776	CHRM3;SNAP25;KCNB1;STXBP1;ITPR1;SLC2A1;CACNA2D2;ADCY1;ACACB;GNG11;GNG13;GNGT1;GNG3;GNGT2;GNA11;GNG7;GNB3;GNG8;GNB5;VAMP2
Reactome_2022	Creatine Metabolism R-HSA-71288	6/10	1.1770602149583804e-05	0.0003592976306160456	0	0	21.907494145199063	248.64798781459396	CKMT2;SLC6A8;CKM;CKMT1A;SLC6A12;CKB
Reactome_2022	Neurotoxicity Of Clostridium Toxins R-HSA-168799	6/10	1.1770602149583804e-05	0.0003592976306160456	0	0	21.907494145199063	248.64798781459396	SNAP25;SV2B;SYT1;SV2A;VAMP1;VAMP2
Reactome_2022	G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451	9/25	1.465283656382566e-05	0.0004363686205958813	0	0	8.22931338028169	91.59947189614849	GNGT1;GNG3;GNGT2;GNG7;GNG8;GNB3;GNB5;GNG11;GNG13
