Gene_set	Term	Overlap	P-value	Adjusted_P-value	Old_P-value	Old_Adjusted_P-value	Odds_Ratio	Combined_Score	Genes
Reactome_2022	Immune System R-HSA-168256	176/1943	4.411165985416578e-21	4.96256173359365e-18	0	0	2.444309432155925	114.56514460481108	CD86;CDA;TNFRSF6B;GMFG;PROS1;TNF;PYCARD;SOX2;PLAU;CLEC5A;C3AR1;MAP3K8;TNFRSF4;IFNAR2;GBP5;MEF2C;IL4R;IL1R1;IL1R2;SLC11A1;RNASE6;CYBB;LMO7;OSCAR;CLEC4A;TYROBP;RAB31;HECW2;PSME4;FSCN1;CD300C;ALPK1;CFH;SHC1;CFI;C5AR1;FPR1;LY96;ITPR2;TNFRSF11B;IQGAP1;CD1C;RASGRP1;HIF1A;CSF2RA;HSP90B1;SOCS3;PRDX4;CLEC7A;INPP5D;HMOX1;NLRP3;SLAMF6;CD300LF;S100A11;HLA-DQA1;TXNDC5;ATP8B4;HLA-DRB4;HSPA6;FN1;LY86;LIF;NBEAL2;ISG15;DNAJC13;ARPC5;PILRA;BST1;COL1A2;ARPC2;TNFSF4;HLA-DRA;XAF1;ARHGAP9;ITGB1;SERPINA3;CDKN1A;TNFAIP6;SH3KBP1;TNFAIP3;FASLG;PTPN22;TREM2;SLC2A5;CD3D;IFNA8;CTSS;IL18BP;TNFSF13B;OASL;GLIPR1;CASP3;CASP4;ITGAX;CASP1;CTLA4;OLR1;PGM2;CD36;TIMP1;JAK2;IKBKE;CEP290;CD33;ACTR3;CD53;ANXA1;APAF1;ITGA4;DYNLT1;RIPK2;IFNGR1;RNASET2;RHOG;PLAUR;IRAK3;FOS;BTN3A2;OSMR;MMP9;VAV1;GNL3;ENAH;TLR1;FGR;HCK;AIM2;OAS2;IL1B;IRF1;NUP50;PECAM1;IRF8;MYH9;TLR7;DOCK2;HCST;BIRC2;BIRC3;SP100;CLEC12A;WAS;HLA-DMA;HLA-DMB;IFI16;ALOX5;STAT4;CCL3;IL21R;CCL2;CD58;GBP2;FCGR1A;GBP1;MICB;KLRG1;STAT1;IL10RB;TRAT1;MX2;IL10RA;PTPN12;LILRB2;LILRB4;BATF;SPSB1;KLHL5;NEDD4;IL2RB;MNDA;TRIM38;SEC24D;FCGR2B;PIK3AP1;PTPN2
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	55/291	3.2692901403548924e-20	1.838975703949627e-17	0	0	5.3142911242119055	238.4369853125876	ITGB1;COL18A1;SPARC;COL14A1;COL12A1;SERPINE1;LOXL3;PLOD2;LAMC1;CTSS;CASP3;ITGAX;TIMP1;ITGA4;ACTN1;ITGA2;ITGA1;BGN;HSPG2;MMP9;DCN;MMP11;COL4A2;LOX;COL4A1;PXDN;COL6A1;PECAM1;COL8A1;COL6A3;ITGA5;COL15A1;COL11A1;LAMA4;PDGFB;HTRA1;FBLN2;THBS1;SERPINH1;LAMB3;LUM;FN1;LAMB1;COL1A1;MFAP5;COL3A1;CAPN11;COL1A2;BMP1;COL5A1;COL5A2;ITGA11;AGRN;FMOD;FBN1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	82/702	6.177511733591459e-16	2.316566900096797e-13	0	0	3.054154081591559	106.95783787509974	ITGB1;CD86;CDKN1A;TNFRSF6B;FASLG;TNF;IFNA8;IL18BP;TNFSF13B;OASL;SOX2;CASP3;ITGAX;CASP1;MAP3K8;TIMP1;CD36;JAK2;TNFRSF4;IFNAR2;GBP5;MEF2C;ANXA1;IL4R;IFNGR1;RIPK2;IL1R1;IL1R2;IRAK3;FOS;OSMR;MMP9;VAV1;GNL3;HCK;OAS2;IL1B;IRF1;NUP50;PSME4;FSCN1;IRF8;ALPK1;BIRC2;BIRC3;SP100;SHC1;FPR1;TNFRSF11B;HIF1A;CSF2RA;HSP90B1;SOCS3;ALOX5;INPP5D;STAT4;CCL3;IL21R;HMOX1;CCL2;FCGR1A;GBP2;GBP1;HLA-DQA1;HLA-DRB4;IL10RB;STAT1;IL10RA;MX2;FN1;LIF;ISG15;PTPN12;BATF;COL1A2;TNFSF4;NEDD4;IL2RB;HLA-DRA;TRIM38;XAF1;PTPN2
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	21/57	1.3051372678464551e-14	3.670698565818154e-12	0	0	12.912509667440062	412.81142434497474	COL18A1;COL15A1;LAMB3;COL11A1;LAMA4;LOXL3;MMP9;CTSS;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;COL6A3;COL8A1
Reactome_2022	Collagen Formation R-HSA-1474290	25/90	7.173498013497943e-14	1.614037053037037e-11	0	0	8.54043392504931	258.48304713917935	COL18A1;COL15A1;COL14A1;COL11A1;LAMA4;COL12A1;LOXL3;PLOD2;CTSS;SERPINH1;LAMB3;MMP9;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;COL6A3;COL8A1
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	26/107	7.082658080781163e-13	1.327998390146468e-10	0	0	7.129896134952533	199.46566723341024	ITGB1;CDKN1A;FASLG;TNF;HIF1A;HSP90B1;SOX2;SOCS3;ALOX5;ITGAX;HMOX1;CCL2;CD36;TIMP1;JAK2;IL4R;ANXA1;STAT1;FN1;LIF;FOS;MMP9;BATF;COL1A2;IL1B;FSCN1
Reactome_2022	Hemostasis R-HSA-109582	63/576	2.9807522918454277e-11	4.790494754751582e-09	0	0	2.786221651690201	67.52759322433437	ITGB1;DOCK6;SERPINA3;ECM1;CD84;SPARC;SERPINE2;DGKA;PROS1;SERPINE1;PLEK;IFNA8;PIK3CG;DOCK10;DOCK11;GRB14;PLAU;ITGAX;OLR1;TIMP1;CD36;JAK2;SRGN;GUCY1A2;PRKCH;TRPC6;ITGA4;VWF;ITGA2;ACTN1;F2R;ITGA1;RHOG;PLAUR;SERPINB8;VAV1;APBB1IP;FGR;PROCR;IRF1;PECAM1;CD48;ITGA5;ZFPM2;DOCK2;SHC1;PDGFB;ITPR2;TFPI;RASGRP1;THBS1;INPP5D;CD58;LEFTY2;ANGPT2;FN1;TNFRSF10B;TNFRSF10A;EHD2;MAFF;GNB4;ESAM;F2RL3
Reactome_2022	Innate Immune System R-HSA-168249	92/1035	9.787485151833206e-11	1.2433065947341044e-08	0	0	2.2415590021892635	51.66195335245903	ARHGAP9;CDA;SERPINA3;TNFAIP6;GMFG;PROS1;TNFAIP3;TREM2;SLC2A5;IFNA8;CTSS;PYCARD;GLIPR1;PLAU;CLEC5A;CASP4;C3AR1;ITGAX;CASP1;OLR1;PGM2;MAP3K8;CD36;IKBKE;CEP290;CD33;ACTR3;CD53;MEF2C;APAF1;DYNLT1;RIPK2;RNASET2;SLC11A1;RNASE6;RHOG;PLAUR;CYBB;IRAK3;FOS;MMP9;VAV1;OSCAR;CLEC4A;TLR1;FGR;HCK;TYROBP;RAB31;AIM2;IL1B;PSME4;PECAM1;MYH9;TLR7;ALPK1;DOCK2;BIRC2;BIRC3;CFH;CLEC12A;SHC1;CFI;C5AR1;FPR1;WAS;LY96;ITPR2;IQGAP1;RASGRP1;HSP90B1;PRDX4;IFI16;CLEC7A;ALOX5;HMOX1;NLRP3;CD58;FCGR1A;S100A11;TXNDC5;ATP8B4;HSPA6;LY86;NBEAL2;ISG15;DNAJC13;ARPC5;LILRB2;BST1;ARPC2;MNDA
Reactome_2022	Signaling By Interleukins R-HSA-449147	53/453	9.946452757872835e-11	1.2433065947341044e-08	0	0	2.9879548192771086	68.8162449185468	ITGB1;CD86;CDKN1A;FASLG;TNF;IL18BP;SOX2;CASP3;ITGAX;CASP1;MAP3K8;TIMP1;CD36;JAK2;MEF2C;ANXA1;IL4R;RIPK2;IL1R1;IL1R2;IRAK3;FOS;OSMR;MMP9;VAV1;HCK;IL1B;PSME4;FSCN1;ALPK1;SHC1;FPR1;HIF1A;CSF2RA;HSP90B1;SOCS3;ALOX5;INPP5D;STAT4;CCL3;IL21R;HMOX1;CCL2;IL10RB;STAT1;IL10RA;FN1;LIF;PTPN12;BATF;COL1A2;IL2RB;PTPN2
Reactome_2022	Collagen Chain Trimerization R-HSA-8948216	15/44	2.9051028766244173e-10	3.2682407362024696e-08	0	0	11.374543143174956	249.77793939674464	COL18A1;COL15A1;COL14A1;COL11A1;COL12A1;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL5A2;COL6A1;COL6A3;COL8A1
Reactome_2022	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	18/67	4.1527593193705165e-10	4.2471402129925735e-08	0	0	8.09777043765483	174.92866797580868	COL18A1;COL15A1;COL14A1;COL11A1;COL12A1;PLOD2;COL1A1;COL3A1;BMP1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A1;COL5A2;SERPINH1;COL6A3;COL8A1
Reactome_2022	Integrin Cell Surface Interactions R-HSA-216083	17/66	2.5871219964416955e-09	2.4254268716640895e-07	0	0	7.639063015506434	151.04505236719248	ITGB1;COL18A1;ITGA4;LUM;ITGA2;ITGA1;FN1;HSPG2;THBS1;COL4A2;COL4A1;ITGA11;ITGAX;PECAM1;ITGA5;AGRN;FBN1
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	50/468	7.529271504232671e-09	6.515715724816735e-07	0	0	2.685141042062758	50.22413347662308	ARHGAP9;CDA;SERPINA3;TNFAIP6;GMFG;SLC2A5;CTSS;PYCARD;GLIPR1;PLAU;CLEC5A;C3AR1;ITGAX;OLR1;PGM2;CD36;CEP290;CD33;CD53;APAF1;DYNLT1;RNASET2;SLC11A1;RHOG;PLAUR;CYBB;MMP9;OSCAR;FGR;RAB31;TYROBP;PECAM1;DOCK2;CLEC12A;C5AR1;FPR1;IQGAP1;PRDX4;ALOX5;CD58;S100A11;TXNDC5;ATP8B4;HSPA6;NBEAL2;DNAJC13;ARPC5;LILRB2;BST1;MNDA
Reactome_2022	Interferon Gamma Signaling R-HSA-877300	18/89	5.3775907127966295e-08	4.321278251354435e-06	0	0	5.582154196857445	93.43655473031473	GBP5;SP100;HLA-DRB4;IFNGR1;STAT1;OASL;SOCS3;OAS2;IRF1;IRF8;HLA-DRA;TRIM38;JAK2;FCGR1A;GBP2;GBP1;HLA-DQA1;PTPN2
Reactome_2022	ECM Proteoglycans R-HSA-3000178	14/55	7.752849426897688e-08	5.814637070173266e-06	0	0	7.495691711807797	122.7241142845875	ITGB1;SPARC;LUM;ITGA2;LAMA4;SERPINE1;BGN;LAMB1;LAMC1;HSPG2;DCN;ITGAX;AGRN;FMOD
Reactome_2022	Laminin Interactions R-HSA-3000157	9/22	1.8111406029331049e-07	1.2734582364373392e-05	0	0	15.132547086780496	234.91976192938665	ITGB1;COL18A1;LAMB3;ITGA2;LAMA4;ITGA1;LAMB1;LAMC1;HSPG2
Reactome_2022	Interleukin-10 Signaling R-HSA-6783783	12/45	3.805711725326001e-07	2.518485700583383e-05	0	0	7.967435549525102	117.77138657588512	CD86;IL10RB;IL1R1;IL10RA;IL1R2;IL1B;FPR1;CCL3;LIF;CCL2;TIMP1;TNF
Reactome_2022	Interferon Signaling R-HSA-913531	26/200	8.228356956666952e-07	5.142723097916845e-05	0	0	3.3028742338282435	46.27495015969207	SP100;IFNA8;OASL;SOCS3;JAK2;FCGR1A;GBP2;GBP1;HLA-DQA1;IFNAR2;GBP5;HLA-DRB4;IFNGR1;STAT1;MX2;ISG15;GNL3;OAS2;NEDD4;IRF1;NUP50;HLA-DRA;IRF8;TRIM38;XAF1;PTPN2
Reactome_2022	Non-integrin membrane-ECM Interactions R-HSA-3000171	11/41	1.0919231877352568e-06	6.465334664221915e-05	0	0	8.025879204892966	110.17581878947313	ITGB1;LAMB3;LAMA4;ACTN1;ITGA2;PDGFB;LAMB1;LAMC1;AGRN;THBS1;HSPG2
Reactome_2022	Degradation Of Extracellular Matrix R-HSA-1474228	18/109	1.2888614529772695e-06	7.249845672997141e-05	0	0	4.350733659404179	59.00356796535173	COL18A1;COL15A1;LAMB3;COL14A1;LAMA4;COL12A1;HTRA1;LAMB1;LAMC1;HSPG2;MMP9;CTSS;DCN;MMP11;CAPN11;BMP1;CASP3;TIMP1
Reactome_2022	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	19/123	1.871633998901232e-06	0.00010026610708399456	0	0	4.020288016381766	53.022367385258285	ITGB1;ITGA4;TREM2;PILRA;LILRB2;CD1C;CD3D;LILRB4;OSCAR;TYROBP;SLAMF6;CD300C;CD300LF;FCGR1A;FCGR2B;HCST;CD33;KLRG1;MICB
Reactome_2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	29/254	2.900603534978248e-06	0.00014832631712956951	0	0	2.8512516263335934	36.35514539865269	SERPINA3;ECM1;SPARC;SHC1;DGKA;PROS1;SERPINE1;PLEK;PDGFB;ITPR2;RASGRP1;THBS1;PIK3CG;CD36;TIMP1;LEFTY2;SRGN;PRKCH;TRPC6;VWF;ACTN1;F2R;FN1;RHOG;VAV1;APBB1IP;GNB4;PECAM1;F2RL3
Reactome_2022	Signal Transduction R-HSA-162582	153/2465	6.216040565205267e-06	0.0003040454624285185	0	0	1.523418614020951	18.26331731199217	CD86;OXTR;SPARC;ZWILCH;GPR65;DGKA;SERPINE1;PRDM1;TNF;SOX2;DOCK10;DOCK11;RGS1;ADORA3;ARHGDIB;C3AR1;EPSTI1;KNTC1;PDGFRB;MEF2C;PRKCH;TPM4;ACTN1;TMOD3;F2R;CYBB;DKK1;PGF;RUNX1;COL4A2;COL4A1;MFNG;PSME4;NOTCH3;SHC1;C5AR1;PDGFB;FPR1;ITPR2;IQGAP1;ARHGAP15;RASGRP1;HIF1A;CSF2RA;SOCS3;SCFD1;PDGFC;NLRP3;ECT2;ANKRD26;CBX2;FZD6;FN1;TNFRSF10B;TNFRSF10A;INHBB;ARPC5;ARHGAP25;GFAP;DIAPH2;COL1A2;ARHGAP30;ARPC2;ID4;GNB4;NMUR2;GRAP;ARHGAP9;ITGB1;DOCK6;NRP1;CDKN1A;AHCTF1;BMPR2;SH3KBP1;TNFAIP3;FASLG;PTPRK;LAMC1;PIK3CG;ARHGAP4;LFNG;SPRED1;CASP3;TAGAP;JAK2;GPSM3;ACTR3;ANXA1;TRPC6;PLEKHG2;VWF;RIPK2;GPR35;ITGA2;RHOG;GFRA1;FOS;TRAF1;GMIP;REXO2;MMP9;VAV1;ARL4C;APBB1IP;NR5A2;PXDN;RHOJ;COL6A1;COL6A3;MYH9;TAX1BP3;ITGA5;DOCK2;PLCB2;BIRC2;BIRC3;CX3CR1;PTGER4;RGS18;RGS19;ROCK2;LAMA4;LEF1;WAS;CXCR4;THBS2;UACA;FSTL1;THBS1;P2RY6;WIF1;CCL3;NHS;CCL2;PPP1R14A;CDKN2B;LAMB3;STAT1;TRAT1;LAMB1;PTPN12;CDC42BPA;DEF6;FMNL3;DHRS9;NEDD4;IL2RB;RGS10;F2RL1;PIK3AP1;PTPN2;F2RL3
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	19/134	6.84694610820372e-06	0.00032095059882204937	0	0	3.633635265700483	43.21012893583963	ITGB1;CD84;ANGPT2;ITGA4;SHC1;PROS1;FN1;TNFRSF10B;TNFRSF10A;PROCR;GRB14;INPP5D;ITGAX;PECAM1;OLR1;ESAM;CD48;ITGA5;CD58
Reactome_2022	Scavenging By Class A Receptors R-HSA-3000480	7/19	1.0089559812925426e-05	0.0004540301915816442	0	0	12.722127092846272	146.3554690359203	COL1A1;MSR1;COL3A1;COL1A2;COL4A2;COL4A1;HSP90B1
Reactome_2022	RAC1 GTPase Cycle R-HSA-9013149	22/178	1.285609636541276e-05	0.0005562734004265137	0	0	3.1056761666517763	34.97516978782526	ARHGAP9;DOCK6;ITGB1;PLEKHG2;WAS;CYBB;IQGAP1;ARHGAP15;GMIP;CDC42BPA;ARHGAP25;VAV1;DEF6;ARHGAP4;DOCK10;DOCK11;ARHGAP30;ARHGDIB;TAGAP;NHS;ECT2;DOCK2
Reactome_2022	Signaling By PDGF R-HSA-186797	11/52	1.338490110957522e-05	0.0005577042128989675	0	0	5.86921011411949	65.86065617783562	PDGFRB;COL4A2;COL4A1;STAT1;COL6A1;PDGFC;PDGFB;COL6A3;PTPN12;THBS2;THBS1
Reactome_2022	NCAM1 Interactions R-HSA-419037	9/37	2.4928286839162356e-05	0.0010015829533592	0	0	7.020308924485126	74.4118162664475	COL4A2;COL4A1;COL6A1;ST8SIA4;COL6A3;GFRA1;CACNA1C;AGRN;CACNA1H
Reactome_2022	Regulated Necrosis R-HSA-5218859	11/57	3.342387147877483e-05	0.0012966157039179	0	0	5.229881332269645	53.90041321916094	CASP3;IL1B;IRF1;CASP4;CASP1;TNFRSF10B;FASLG;TNFRSF10A;BIRC2;GNL3;BIRC3
Reactome_2022	MET Activates PTK2 Signaling R-HSA-8874081	6/17	5.9256920286874765e-05	0.002174048984942	0	0	11.883072457758889	115.6654066425726	ITGB1;LAMB3;ITGA2;LAMA4;LAMB1;LAMC1
